sample_id,title,author,n_quotes,event,gnomic,dialogue,paratext,unclear,ev_past,ev_present,event_past,event_present,beat_past,beat_present,pct_present,situation,label,confidence,why
top2023:TOM LAKE|Ann Patchett,TOM LAKE,Ann Patchett,71,50,14,6,0,1,31,25,28,22,3,3,0.44642857142857145,dual,DUAL,high,"55% past / 45% present of 56, situation=dual"
top2023:HAPPY PLACE|Emily Henry,HAPPY PLACE,Emily Henry,49,21,7,21,0,0,7,23,7,14,0,9,0.7666666666666667,dual,DUAL,high,"23% past / 77% present of 30, situation=dual"
top2023:THE HOUSE IN THE PINES|Ana Reyes,THE HOUSE IN THE PINES,Ana Reyes,27,20,1,6,0,0,13,7,13,7,0,0,0.35,dual,DUAL,high,"65% past / 35% present of 20, situation=dual"
top2023:I WILL FIND YOU|Harlan Coben,I WILL FIND YOU,Harlan Coben,20,5,11,4,0,0,5,2,3,2,2,0,0.2857142857142857,dual,DUAL,med,"71% past / 29% present of 7, situation=dual"
top2023:THE LITTLE LIAR|Mitch Albom,THE LITTLE LIAR,Mitch Albom,24,3,19,1,1,0,2,2,1,2,1,0,0.5,dual,INSUFFICIENT,,only 4 event quotes
top2023:IDENTITY|Nora Roberts,IDENTITY,Nora Roberts,22,1,7,13,1,0,1,0,1,0,0,0,0.0,retrospective,INSUFFICIENT,,only 1 event quotes
top2023:THE NIGHTINGALE|Kristin Hannah,THE NIGHTINGALE,Kristin Hannah,62,45,10,5,2,0,26,21,25,20,1,1,0.44680851063829785,retrospective,PAST,CONFLICT,"55% past / 45% present of 47, situation=retrospective"
top2023:I HAVE SOME QUESTIONS FOR YOU|Rebecca Makkai,I HAVE SOME QUESTIONS FOR YOU,Rebecca Makkai,58,43,8,6,0,1,34,10,33,10,1,0,0.22727272727272727,retrospective,PAST,high,"77% past / 23% present of 44, situation=retrospective"
top2023:PINEAPPLE STREET|Jenny Jackson,PINEAPPLE STREET,Jenny Jackson,27,19,2,5,1,0,21,0,19,0,2,0,0.0,retrospective,PAST,high,"100% past / 0% present of 21, situation=retrospective"
top2023:HANG THE MOON|Jeannette Walls,HANG THE MOON,Jeannette Walls,26,10,11,5,0,0,2,9,2,8,0,1,0.8181818181818182,retrospective,PAST,CONFLICT,"18% past / 82% present of 11, situation=retrospective"
top2023:HELLO BEAUTIFUL|Ann Napolitano,HELLO BEAUTIFUL,Ann Napolitano,26,15,2,9,0,0,19,0,15,0,4,0,0.0,retrospective,PAST,high,"100% past / 0% present of 19, situation=retrospective"
top2023:THE ARMOR OF LIGHT|Ken Follett,THE ARMOR OF LIGHT,Ken Follett,25,15,3,7,0,0,18,0,15,0,3,0,0.0,retrospective,PAST,high,"100% past / 0% present of 18, situation=retrospective"
top2023:THE HEAVEN & EARTH GROCERY STORE|James McBride,THE HEAVEN & EARTH GROCERY STORE,James McBride,21,11,5,5,0,0,13,0,11,0,2,0,0.0,retrospective,PAST,high,"100% past / 0% present of 13, situation=retrospective"
top2023:DIRTY THIRTY|Janet Evanovich,DIRTY THIRTY,Janet Evanovich,19,5,4,9,0,1,6,3,2,3,4,0,0.3333333333333333,retrospective,PAST,high,"67% past / 33% present of 9, situation=retrospective"
top2023:YELLOWFACE|R.F. Kuang,YELLOWFACE,R.F. Kuang,80,44,30,6,0,0,12,36,11,33,1,3,0.75,simultaneous,PRESENT,high,"25% past / 75% present of 48, situation=simultaneous"
top2023:THE COVENANT OF WATER|Abraham Verghese,THE COVENANT OF WATER,Abraham Verghese,75,28,35,12,0,0,2,28,2,26,0,2,0.9333333333333333,simultaneous,PRESENT,high,"7% past / 93% present of 30, situation=simultaneous"
top2023:IRON FLAME|Rebecca Yarros,IRON FLAME,Rebecca Yarros,51,5,4,34,2,6,0,27,0,5,0,22,1.0,simultaneous,PRESENT,high,"0% past / 100% present of 27, situation=simultaneous"
top2023:HOLLY|Stephen King,HOLLY,Stephen King,41,14,18,7,2,0,1,15,1,13,0,2,0.9375,simultaneous,PRESENT,high,"6% past / 94% present of 16, situation=simultaneous"
top2023:NONE OF THIS IS TRUE|Lisa Jewell,NONE OF THIS IS TRUE,Lisa Jewell,27,11,6,8,2,0,1,10,1,10,0,0,0.9090909090909091,simultaneous,PRESENT,high,"9% past / 91% present of 11, situation=simultaneous"
top2023:FOURTH WING|Rebecca Yarros,FOURTH WING,Rebecca Yarros,26,4,6,16,0,0,0,5,0,4,0,1,1.0,simultaneous,PRESENT,med,"0% past / 100% present of 5, situation=simultaneous"
top2023:THE FIVE-STAR WEEKEND|Elin Hilderbrand,THE FIVE-STAR WEEKEND,Elin Hilderbrand,24,12,3,9,0,0,1,14,1,11,0,3,0.9333333333333333,simultaneous,PRESENT,high,"7% past / 93% present of 15, situation=simultaneous"
top2023:SOMEONE ELSE'S SHOES|Jojo Moyes,SOMEONE ELSE'S SHOES,Jojo Moyes,22,8,7,7,0,0,1,10,1,7,0,3,0.9090909090909091,simultaneous,PRESENT,high,"9% past / 91% present of 11, situation=simultaneous"
