sample_id,quote_id,quote_text
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06142,Ellen Adams was used to people underestimating her. Accomplished middle-aged women were often diminished by small men.
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06143,"Einstein had said: “I know not with what weapons World War III will be fought, but World War IV will be fought with sticks and stones."
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06144,"While you were looking outward, scanning the horizon for threats,"" he continues, ""you missed what was happening in your own backyard. What was taking root right here, on American soil. In your towns, your shops, in your heartland. Among your friends, in your families. The sensible conservatives moving to the right. The right moving far right. The far right becoming alt-right. Becoming, in their rage and frustration, radicalized thanks to an internet filled with crazy theories, false 'facts' and smug politicians allowed to spew lies."
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06145,"Given the choice between bedlam and a dictatorship, what do you think the American people will choose? Driven by fear of another attack, in a state of terror, they'll do the terrorists' work for them. They'll destroy their own freedoms. Accept, even applaud , the the suspension of rights. Internment camps. Torture. Expulsions. The liberal agenda, women's equality, gay marriage, immigrants, will be blamed for the death of the real America. But thanks to the bold action of a patriotic few, the white Angle-Saxon Christian, God-fearing America of their grandparents will be restored. And if they have to slaughter a few thousand to achieve it, well, it is war, after all. The beacon that was America will die, by suicide. Frankly it was coughing up blood anyway."
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06146,"He was experienced enough to know that the weak blustered, denied, lied, and struck out wildly. The powerful admitted a mistake, thereby robbing it of its hold on them. Only the truly formidable could afford to show contrition. Far from displaying weakness, the American Secretary of State had demonstrated immense strength and resolve."
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06147,"Total loyalty to President Dunn and his decisions, no matter how ego-driven and uninformed and outright dangerous they were, had been demanded. Competence was replaced by blind loyalty as the determining factor for employment by an increasingly deranged administration."
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06148,The propogandist is his own first customer.
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06149,"the conspirators aren’t the only ones who feel we’ve lost our way. They’re the most obvious, but there are tens of millions who agree. Good people. Decent people. Who might not share our politics but who’d give us the shirt off their backs if we needed it."
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06150,It was the strong shadow that accompanied the bright light of democracy. People were free to abuse their freedoms.
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06151,"They think they’re patriots, saving their country.” “Their country. That’s how they see it. Us and Them. They’re as radicalized as Al-Qaeda. Domestic terrorists."
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06152,"At that level of politics, Ellen Adams was appreciating, if you weren’t at the table, you were on the menu."
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06153,"The previous administration had purged anybody who criticized policy. It punished dissenting voices. It silenced all critics, from Senators to members of Congress, from cabinet secretaries to chiefs of staff to janitors"
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06154,"Ellen’s head of Diplomatic Security, a longtime veteran of the service, turned in the front seat to look at Mrs. Cleaver as she combined and conjugated words that should never, really, have conjugal relations."
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06155,"The end is defined by the means,"
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06156,It is only with the heart that one can see rightly; what is essential is invisible to the eye.
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06157,this is a work of fiction but the story it tells is all too timely. It’s up to us to make sure its plot stays fictional.
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06158,"All the progress made for human rights could be wiped out. All the girls, all the women, who went to school, got an education. Got jobs. Became teachers and doctors and lawyers, bus drivers. You know what will happen to them if the Taliban has its way.” “Well, I guess we’ll need a strong, internationally respected Secretary of State to let any Afghan government know that rights must be respected. And that Afghanistan must not once again become home to terrorists."
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06159,"When she arrived, she handed Ellen the slip of paper saying, “I hope you know that President Dunn is a great man.” Ellen almost asked if he’d told her to say that, but instead she said, “Perhaps. It’s a shame he’s not a good one."
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06160,"I neither liked nor hated him. He was my Commander-in-Chief. I suspect he was a decent person once. Most people are. Few grow up hoping to destroy their country.” “But you’re saying the ones behind this don’t think they are destroying the country. Just the opposite. They think they’re patriots, saving their country."
top2021:STATE OF TERROR|Hillary Rodham Clinton and Lou,q06161,"I think he’s being used, not just by the Russians, but by other elements closer to home. “In his party?” “Yes, probably, but it goes far beyond party affiliation. There are those who hate America’s diversity and the changes it’s brought. They see it as a threat, to their livelihoods, to their way of life. They think of themselves, see themselves, as patriots. You must’ve seen them at demonstrations. True believers, neo-Nazis, fascists.” “I have seen them, General, and I can’t believe those people with placards are orchestrating all this."
