sample_id,quote_id,quote_text
top2021:THE WISH|Nicholas Sparks,q05703,"But never forget that love is always stronger than fear. Love saved me, and I know it will save you, too."
top2021:THE WISH|Nicholas Sparks,q05704,"And in the end, isn’t that the most important thing in life? To be truly known and loved by someone you’ve chosen?"
top2021:THE WISH|Nicholas Sparks,q05705,"It’s important to remember that none of us is perfect. Everyone makes mistakes. All we can do is try to be the best version of ourselves as we move forward. In this case, if he asks, you can tell the truth, or you can lie. I suppose it comes down to the kind of person you want to see when you look in the mirror."
top2021:THE WISH|Nicholas Sparks,q05706,"love was the most powerful emotion of all, because it made you vulnerable to the possibility of losing everything that really mattered."
top2021:THE WISH|Nicholas Sparks,q05707,Because we always bring ourselves with us wherever we go. It’s one of the universal truths of life.
top2021:THE WISH|Nicholas Sparks,q05708,Not wanting to lose someone has its roots in fear.
top2021:THE WISH|Nicholas Sparks,q05709,"I've always believed that art and faith have much in common. Both allow people to explore the subtleties of their own emotions and to find their own answers to what the art represents to them. Your work and Trinity's always make me -think-, and more importantly, they make me -feel- in ways that often lead to a sense of wonder. Just like faith.[Mark Price, to Maggie Dawes]"
top2021:THE WISH|Nicholas Sparks,q05710,teaching is impossible unless a student wants to learn.
top2021:THE WISH|Nicholas Sparks,q05711,"When I thought back, it seemed like I’d spent all my time trying to get people to like me, as opposed to figuring out whether I liked them."
top2021:THE WISH|Nicholas Sparks,q05712,and I remember thinking that I wanted to be around someone like that forever. Someone who could laugh at the inconveniences of life and find joy in any occasion. That’s when I knew she was the one.
top2021:THE WISH|Nicholas Sparks,q05713,"What attracted you to the other person in the past, how did that person treat you in the past, how compatible were you in the past? It's the same questions in the present, except that a physical longing for the other person is added. The desire to touch and hold and kiss. And if all of the answers make you feel like you never want to be with anyone else, then it's probably love"
top2021:THE WISH|Nicholas Sparks,q05714,Wanting to be with someone is a positive thing. It's about love and respect and desire. But not wanting to lose someone isn't about those things. It's about fear.
top2021:THE WISH|Nicholas Sparks,q05715,"That was the thing about battling cancer. The waiting. So much of the last few years had been about waiting. Waiting for the appointment with the doctor, waiting for treatment, waiting to feel better after the treatment, waiting to see whether the treatment had worked, waiting until she was well enough to try something new. Until her diagnosis, she’d viewed waiting for anything as an irritation, but waiting had slowly but surely become the defining reality of her life. Even now, she suddenly thought. Here I am, waiting to die."
top2021:THE WISH|Nicholas Sparks,q05716,"Art and photography allowed for the communication of new ideas, often in ways that words did not."
top2021:THE WISH|Nicholas Sparks,q05717,"She said that life was about seasons, and that the season had changed."
top2021:THE WISH|Nicholas Sparks,q05718,"Visiting other places changes your perspective. It helps you understand that no matter where you are, or what country you’re in, people are pretty much the same everywhere."
top2021:THE WISH|Nicholas Sparks,q05719,The silence depressed me. It wasn’t the silence of silence. It was my own silence.
top2021:THE WISH|Nicholas Sparks,q05720,Because we both loved each other enough to allow the other to grow.
top2021:THE WISH|Nicholas Sparks,q05721,"Worrying, after all, had its roots in disapproval—"
top2021:THE WISH|Nicholas Sparks,q05722,"A short while later, when Bryce’s dad leaned over and tenderly kissed his wife, I found myself trying to remember the last time I’d seen my father kiss my mother in the same way."
top2021:THE WISH|Nicholas Sparks,q05723,"Do you ever feel like you’re all alone?” She lowered her gaze, an odd expression on her face. “All the time,” she said, her voice barely above a whisper."
top2021:THE WISH|Nicholas Sparks,q05724,"Why doesn’t any of this bother you?” “Because,” he answered, still placing the lights, “the same thing happened to my mom. She was a teenager when she became pregnant. I guess the only difference was that my dad married her, and I eventually came along."
top2021:THE WISH|Nicholas Sparks,q05725,"Gwen and I are going to make a quick run to the store to get some eggnog,” she said. “If you two want to get started on the lights, feel free. We’ll be back in a few minutes."
top2021:THE WISH|Nicholas Sparks,q05726,Maybe not. But you should have seen your expression. You’re very pretty when you have no idea what to say.
top2021:THE WISH|Nicholas Sparks,q05727,"Those are usually the best kind of stories.” Maggie bent her head, feeling the images begin to surface at the edge of her mind. With the images, the words would eventually come, she knew. “In 1995, when I was sixteen years old, I began to lead a secret life,” she started."
top2021:THE WISH|Nicholas Sparks,q05728,"I understood then what my aunt had been trying to tell me, just as I knew my parents still loved me. I knew they wanted the best for me, now and in the future. But they wanted to see their own feelings in the photos, not mine. They wanted me to see myself in the same way they did. My parents, I knew, wanted to see disappointment."
top2021:THE WISH|Nicholas Sparks,q05729,"If we're meant to be, we can't just love each other as teenagers. We have to love each other as adults."
top2021:THE WISH|Nicholas Sparks,q05730,"There is no teaching, there is only learning’ over and over."
