sample_id,quote_id,quote_text
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07367,What small tragedies their lives had turned out to be.
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07368,It’s not safe for you here.
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07369,"The cost of this marriage, she knew, would be keeping those secrets. She just hoped it would be worth it."
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07370,"Krissy knew she should have been grateful to have Jace safe here with her, away from the watchful eyes of the police, but she wasn’t. Instead, all she felt when she saw him was a deep resentment that he wasn’t his sister."
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07371,The moment felt both monumental and like nothing at all.
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07372,"Her uncle was a good man. He wasn’t like Elliott Wallace. He would never, could never, hurt anyone, let alone a six-year-old girl. And yet, for the first time since she’d been there, that night she locked her bedroom door."
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07373,"Krissy felt something harden inside her—all these women, their daughters alive and well, come to get off on how benevolent and sad Krissy’s story made them feel. She would gladly murder any one of their daughters right now to have hers back for one more day."
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07374,All I’m saying is—this town puts a label on us the day we’re born.
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07375,I’m worried about her. She’s been asking a lot about January. I’m afraid she’ll find out what really happened.
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07376,"The residents of Wakarusa, Indiana, could spin gossip faster than a spider spins its web. Each time one of their own did something they shouldn’t—when Abby Schmuckers got caught shoplifting lipstick from the dime store; when the Becker kid dropped out of the 4-H volunteer club; when Jonah Schneider fell asleep and snored in church—the Wakarusa gossip chain would flap their jaws, chewing the tidbit over so thoroughly that by the time they’d finally spat it out again, the Truth was misshapen and unrecognizable, warped into the Story. And because the people of Wakarusa were churchgoing, law-abiding, capital-G God-fearing people, the Story was"
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07377,"imagined it landing with a thud on the front porch, burping out entrails of macaroni"
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07378,"Three years ago, she’d shaken hands with, sat across from, and listened to the lies of a killer."
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07379,"She felt, deep inside her, that this was the man who’d killed all those girls, that she was staring at the face of a murderer."
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07380,"The moon came up from behind the clouds, and suddenly, the room was illuminated. That’s when she saw it."
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07381,She inhaled a shaky breath. Her face felt wobbly with sudden emotion as though her features were distorting and melting with it.
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07382,"Ever since I married Bob thirty years ago, Elliott’s used us like a bank. He wouldn’t call for months on end, and when he did, he’d pretend it was to catch up. But then, inevitably, he’d work into the conversation how broke he was and how he needed money for this or that. Bob always told me I was too soft, that I gave in too easy, but—"
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07383,Wasn’t that why anyone did anything destructive? From feeling unloved?
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07384,"Krissy, Billy, me, and your uncle all grew up here together. I think he goes by his first name now—Luke—but the only thing we ever called him was Dave."
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07385,The only trouble was she had no idea if he was aiming a gun at her head now because he didn’t recognize her or because he did.
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07386,"the Story was always adorned with pearls of sweetness to coat its sharp edges: Bless her heart, but…I’ll be praying for them, because did you hear…? Lord have mercy on their souls."
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07387,"Staring down the barrel of her uncle’s rifle, Margot was seized by panic."
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07388,Jay. I’m just trying to understand if there’s a connection between that barn note and what happened to your sister. I just want to hear your version of what happened that night.
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07389,"A crime of hate. Margot had never thought of it like that, but she realized he had a point. A little girl’s head bashed in, her body abandoned in a ditch, angry words all over her walls."
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07390,"He shook his head, and when he spoke next, his voice was hard. “My wife did not kill our daughter. Krissy loved January. She may not have been the perfect mom, but”—he took a breath—“she loved her."
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07391,know everyone here believes that whoever kidnapped Natalie Clark also killed January. I’d bet you anything they’re gonna think this barn note was written by the same guy.
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07392,"According to her mother, Samantha Clark, the girl disappeared from a crowded local playground. Mrs. Clark had been feeding her youngest, an infant, when she looked up to check on Natalie and her son, but Natalie was nowhere to be found."
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07393,"wasn’t even close, but it was more than she’d ever had before, and so she held on to it, hands tight."
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07394,audience. And January’s good. You saw it—all those medals.” The detective leaned
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07395,"Some she’d never heard of—WRTV, WNDU,"
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07396,She heard a sound - a soft guttural moan - and realized it had come from her own mouth.
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07397,"As Krissy stared at the horrible tableau beneath her, her mind felt scrubbed except for one word: No."
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07398,"And she wondered, as he gazed back at her with those flat, serious eyes, if she’d made the right decision, or if protecting him had been a horrible mistake."
top2022:ALL GOOD PEOPLE HERE|Ashley Flowers with Alex Kiest,q07399,"It was then, as she stared at the dark splotch on her daughter’s body, that Kissy realized she was afraid of her own son."
