sample_id,quote_id,quote_text
top2022:HORSE|Geraldine Brooks,q07304,You never get a second chance to have a first impression.
top2022:HORSE|Geraldine Brooks,q07305,"You have to know that bigots are unwittingly handing you an edge. By thinking you're lesser than they are, they underestimate you. Lean on that. Learn to use it, and you'll get the upper hand."
top2022:HORSE|Geraldine Brooks,q07306,"Only horses were honest, in the end."
top2022:HORSE|Geraldine Brooks,q07307,"It had seemed to him an evil fate, a geographical accident, that had forced them to take up arms in what was, to him, a war to secure the rich man’s wealth. Beyond what was strictly required for their care, he would talk to them, to better know their minds. But after a time, he had stopped seeking such dialogue. They were, all of them, lost to a narrative untethered to anything he recognized as true. Their mad conception of Mr. Lincoln as some kind of cloven-hoofed devil’s scion, their complete disregard—denial—of the humanity of the enslaved, their fabulous notions of what evils the Federal government intended for them should their cause fail—all of it was ingrained so deep, beyond the reach of reasonable dialogue or evidence."
top2022:HORSE|Geraldine Brooks,q07308,All men are equal on the turf or under it.
top2022:HORSE|Geraldine Brooks,q07309,"Well, they say trauma etches the neurons, and I was traumatized by my appalling behavior.” Typical, Theo thought. He’d been accused, yet she was traumatized."
top2022:HORSE|Geraldine Brooks,q07310,It wasn’t his job to enlighten White people about their own racism.
top2022:HORSE|Geraldine Brooks,q07311,"He led Jess to a painting of a Black woman selling flowers. She leaned in and read the wall plate. “Frédéric Bazille, Young Woman with Peonies. I don’t know this artist.” “He was in the outer circle of the French Impressionists. Look how she offers the bouquet to a potential client, but she doesn’t seem to care if he buys them or not. She’s got that little frown line between her eyes—see, there?—‘Take it or leave it, mister’—as if she’s impatient that he can’t make up his mind. She’s not a bit ingratiating. And the peonies, of course, are Bazille’s bisou to Manet, who was the leader of the French avant-garde at the time. Manet loved peonies, cultivated them. There’s a peony at the center of the bouquet that the Black servant is offering the prostitute in Manet’s Olympia. That painting was at the height of its notoriety when Bazille painted this one. Everyone in the Paris art world would’ve got the reference.” “A Black servant in Olympia? I only remember the scowly White nude, and how upset everyone was that Manet didn’t paint her in a classical style.” Theo pulled out his cell phone and called up the image with a few taps. “Here,” he said, handing it to Jess. “Wow. I’ve looked at that picture dozens of times. How could I not have noticed her?” Theo frowned. “I’d be surprised, I guess, except that I once sat through a forty-minute lecture on that painting and the professor didn’t mention her. He spent more time on the black cat at the nude’s feet than the interesting woman who occupies half the canvas. I call it the Invisible Man effect, or in this case, Invisible Woman. Which is kind of the whole point of my work. To say, Hey, we’re here. We’ve always been here."
top2022:HORSE|Geraldine Brooks,q07312,Perhaps you don’t have a painter’s hand… But I do know this: you have a critic’s eye. You can see what makes a painting good. That’s also a gift.
top2022:HORSE|Geraldine Brooks,q07313,"It wasn’t a good idea to speak without putting a deal of thought into it. Words could be snares. Less of them you laid out there, less likely they could trap you up."
