sample_id,quote_id,quote_text
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06732,"Humans. For the most part, you are dull and blundering. But occasionally, you can be remarkably bright creatures."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06733,Why can humans not use their millions of words to simply tell one another what they desire?
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06734,Secrets are everywhere. Some humans are crammed full of them. How do they not explode? It seems to be a hallmark of the human species: abysmal communication skills.
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06735,"Tova has always felt more than a bit of empathy for the sharks, with their never-ending laps around the tank. She understands what it means to never be able to stop moving, lest you find yourself unable to breathe."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06736,You can't fix someone who is determined to stay broken.
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06737,"As a general rule, I like holes. A hole at the top of my tank gives me freedom. But I do not like the hole in her heart. She only has one, not three, like me. Tova’s heart. I will do everything I can to help her fill it."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06738,"Smart cookie. I am smart, but I am not a snack object dispensed from a packaged food machine. What a preposterous thing to say."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06739,"What do you think I’m trying to do? Not my fault I was dealt a shitty hand.” “No, the deal is never anyone’s fault. But you control the way you play."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06740,"Some trees aren’t meant to sprout tender new branches, but to stand stoically on the forest floor, silently decaying."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06741,"Day 1,361 of My Captiv- Oh, Let Us Cut the Shit, Shall We? We Have a Ring to Retrieve."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06742,Humans are the only species who subvert truth for their own entertainment. They call them jokes. Sometimes puns.
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06743,"Tova knew there was a bottom to those depths of despair. Once your soul was soaked through with grief, any more simply ran off, overflowed, the way maple syrup on Saturday morning pancakes always cascaded onto the table whenever Erik was allowed to pour it on himself."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06744,Tell me again about the intelligence of humans. They cannot even manage to comprehend predictable meteorological events.
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06745,"We must say goodbye, friend. But I’m glad Terry saved you, because you saved me."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06746,"Ah, to be a human, for whom bliss can be achieved by mere ignorance! Here, in the kingdom of animals, ignorance is dangerous. The poor herring dropped into the tank lacks any awareness of the shark lurking below. Ask the herring whether what he doesn’t know can hurt him."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06747,"How did you, like, go on?” He looks down at her and swallows hard. “I mean, he was here one day and gone the next. How do you recover from something like that?” Tova hesitates. “You don’t recover. Not all the way. But you do move on. You have to."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06748,"The Knit-Wits have been her friends for years, and sometimes she still feels as if she’s a mistaken jigsaw piece who found her way into the wrong puzzle."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06749,My death is imminent. But I am not dead yet.
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06750,"The parents will grow old atop this mountain of a family they’ve built, and even if parts of it crumble, from time to time, there will be enough left to support them."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06751,"My neurons number half a billion, and they are distributed among my eight arms. On occasion, I have wondered whether I might have more intelligence in a single tentacle than a human does in its entire skull."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06752,"But I have grown to enjoy the bucket. With the bucket comes a sensation of total nothingness, which, in most ways, is more pleasant than the everything-ness."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06753,"When I choose to hear, I hear everything."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06754,Being a parent is not for the faint of heart.
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06755,"The sea, too, is very good at keeping secrets."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06756,"But I have knowledge. To the extent happiness is possible for a creature like me, it lies in knowledge."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06757,"How does it feel, you ask? It is comfortable. It is home. I am lucky. I am grateful"
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06758,"Marcellus was, in fact, an exceptional octopus."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06759,Young humans would fail abysmally in the sea.
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06760,"These women have always worn motherhood big and loud on their chests, but Tova keeps hers inside, sunk deep in her guts like an old bullet. Private."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06761,"But then, so much about her life never turned out how she intended."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06762,"But young women don’t want bone china anymore. They’ve no use for old Swedish things. They have their own dinnerware, probably from Ikea. New Swedish things."
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06763,"Marcellus, it’s me.” The octopus shifts slightly out of its corner and peers at her, blinking its creepy eye. Who is this lady? And how did she get in here, anyway? She nods, encouraging. “It’s okay.” She holds out her hand, and to Cameron’s shock the creature extends one of its arms and winds it around her wrist. She repeats, “It’s okay. I’m going to help you down now, all right?” The octopus nods. Wait, no. It did not. Did it? He rubs his eyes. Are they pumping hallucinogens through the ductwork here?"
top2022:REMARKABLY BRIGHT CREATURES|Shelby Van Pelt,q06764,"How delicate those wounds were back then, how little it took to nudge the scabs out of place and start the bleeding anew."
