sample_id,quote_id,quote_text
top2022:VERITY|Colleen Hoover,q07254,I think the idea of me is better than the reality of me.
top2022:VERITY|Colleen Hoover,q07255,No one is likable from the inside out.
top2022:VERITY|Colleen Hoover,q07256,Find what you love and let it kill you.
top2022:VERITY|Colleen Hoover,q07257,I wasn’t heroic. I wasn’t simple. I was difficult. An emotionally challenging puzzle he wasn’t up for solving.
top2022:VERITY|Colleen Hoover,q07258,"What you read will taste so bad at times, you’ll want to spit it out, but you’ll swallow these words and they will become part of you, part of your gut, and you will hurt because of them."
top2022:VERITY|Colleen Hoover,q07259,It’s what you do when you’ve experienced the worst of the worst. You seek out people like you…people worse off than you…and you use them to make yourself feel better about the terrible things that have happened to you.
top2022:VERITY|Colleen Hoover,q07260,"A writer should never have the audacity to write about themselves unless they’re willing to separate every layer of protection between the author’s soul and their book. The words should come directly from the center of the gut, tearing through flesh and bone as they break free. Ugly and honest and bloody and a little bit terrifying, but completely exposed."
top2022:VERITY|Colleen Hoover,q07261,The world was her manuscript. No surface was safe.
top2022:VERITY|Colleen Hoover,q07262,the things lurking around inside the mind can be just as dangerous as tangible threats.
top2022:VERITY|Colleen Hoover,q07263,Most people come to New York to be discovered. The rest of us come here to hide.
top2022:VERITY|Colleen Hoover,q07264,I stretch truths where I see fit. I’m a writer.
top2022:VERITY|Colleen Hoover,q07265,"The good thing about sins is they don’t have to be atoned for immediately,"
top2022:VERITY|Colleen Hoover,q07266,"It’s natural, to assume the worst in people, even if that assumption is only for a split second"
top2022:VERITY|Colleen Hoover,q07267,I was good at spewing bullshit. It's why I became a writer.
top2022:VERITY|Colleen Hoover,q07268,"Some families are lucky enough to never experience a single tragedy. But then there are those families that seem to have tragedies waiting on the back burner. What can go wrong, goes wrong. And then gets worse."
top2022:VERITY|Colleen Hoover,q07269,"I needed for the imaginary version of my world to be darker than my real world. Otherwise, I would have wanted to leave them both."
top2022:VERITY|Colleen Hoover,q07270,The kiss was full of both desire and respect—two things a lot of men didn’t seem to know could go hand in hand.
top2022:VERITY|Colleen Hoover,q07271,"One should only walk away from an autobiography with, at best, an uncomfortable distaste for its author."
top2022:VERITY|Colleen Hoover,q07272,"Take care of your physical being. Feed it what it needs, not what the conscience tells you it wants. Giving in to cravings of the mind that ultimately hurt the body is like a weak parent giving in to her child. “Oh, you had a bad day? Do you want an entire box of cookies? Okay, sweetie. Eat it. And drink this soda while you’re at it.” Caring for your body is no different from caring for a child. Sometimes it’s hard, sometimes it sucks, sometimes you just want to give in, but if you do, you’ll pay for the consequences eighteen years down the road."
top2022:VERITY|Colleen Hoover,q07273,"My mother used to say that houses have a soul, and if that is true, the soul of Verity Crawford’s house is as dark as they come."
top2022:VERITY|Colleen Hoover,q07274,"Your writing matters to me, Lowen."
top2022:VERITY|Colleen Hoover,q07275,"If we were friends, I would do something to comfort him. Maybe grab his hand and hold it. But there’s too much inside me that wants to be more than his friend, which means we can’t be friends at all. If an attraction is present between two people, those two people can only be one of two things. Involved or not involved. There is no in-between."
top2022:VERITY|Colleen Hoover,q07276,And that’s how easy it is for a writer to pretend to be someone they aren’t.
top2022:VERITY|Colleen Hoover,q07277,"I don’t want to call him an asshole. He’s a little kid, and he’s been through a lot. But I think he might be an asshole."
top2022:VERITY|Colleen Hoover,q07278,It was amazing how different sex felt when a person used more than their body. I involved my heart and my gut and my mind and my hope. I fell in that moment. Not in love. I just…fell.
top2022:VERITY|Colleen Hoover,q07279,"Here, I’m invisible. Unimportant. Manhattan is too crowded to give a shit about me, and I love her for it."
top2022:VERITY|Colleen Hoover,q07280,"If this bitch turned off that goddamn television, I’m walking out that front door without shoes on and I’m never coming back."
top2022:VERITY|Colleen Hoover,q07281,"I’m the awkward writer who posts a picture of my book and says, “It’s an okay book. There are words in it. Read it if you want."
top2022:VERITY|Colleen Hoover,q07282,"No matter which way I look at it, it’s clear that Verity was a master at manipulating the truth. The only question that remains is: Which truth was she manipulating?"
top2022:VERITY|Colleen Hoover,q07283,"I wanted him to panic, to worry, to feel bad for me, to cry for me. To cry for me."
top2022:VERITY|Colleen Hoover,q07284,"With every day that passed, that first night with him was further validated. And that’s what love at first sight is. It isn’t really love at first sight until you’ve been with the person long enough for it to become love at first sight."
top2022:VERITY|Colleen Hoover,q07285,"I’ve heard of Resting Bitch Face, but I relate more to Resting Bored Face."
top2022:VERITY|Colleen Hoover,q07286,You can’t look at someone the way he looked at me—with the entirety of his past—without also imagining the future.
top2022:VERITY|Colleen Hoover,q07287,One more chapter and I’ll stop. That’s it.
