sample_id,quote_id,quote_text
top2023:IRON FLAME|Rebecca Yarros,q07733,"I do. I’m sorry if you expect me to do the noble thing. I warned you. I’m not sweet or soft or kind, and you fell anyway. This is what you get, Violet— me. The good, the bad, the unforgivable. All of it. I am yours.” His arm wraps around the small of my back, holding me steady and close. “You want to know something true? Something real? I love you. I’m in love with you. I have been since the night the snow fell in your hair and you kissed me for the first time. I’m grateful my life is tied to yours because it means I won’t have to face a day without you in it. My heart only beats as long as yours does, and when you die, I’ll meet Malek at your side. It’s a damned good thing that you love me, too, because you’re stuck with me in this life and every other that could possibly follow."
top2023:IRON FLAME|Rebecca Yarros,q07734,"Violence, remember it's only the body that's fragile. You are unbreakable."
top2023:IRON FLAME|Rebecca Yarros,q07735,"You must save yourself,"" Tairn demands. ""I chose you not as my next but as my last, and should you fall, then I will follow."
top2023:IRON FLAME|Rebecca Yarros,q07736,"Because love, at its root, is hope. Hope for tomorrow. Hope for what could be. Hope that the someone you’ve entrusted your everything to will cradle and protect it. And hope? That shit is harder to kill than a dragon."
top2023:IRON FLAME|Rebecca Yarros,q07737,"You’re my gravity. Nothing in my world works without you.” “Gravity,” he whispers, a slow, beautiful smile curving his mouth. “The one force we can never escape,” I tease."
top2023:IRON FLAME|Rebecca Yarros,q07738,The first year is when some of us lose our lives. The second year is when the rest of us lose our humanity.
top2023:IRON FLAME|Rebecca Yarros,q07739,"I love you,” I whisper. “You could throw my entire world into upheaval, and I would still love you. You could keep secrets, run a revolution, frustrate the shit out of me, probably ruin me, and I would still love you. I can’t make it stop. I don’t want to. You’re my gravity. Nothing in my world works without you."
top2023:IRON FLAME|Rebecca Yarros,q07740,"There’s nowhere in existence you could go that I wouldn’t find you, remember?"
top2023:IRON FLAME|Rebecca Yarros,q07741,"Scratch her eyes out,” Andarna suggests. “Really. The eyes are the softest tissue. Just jab your thumbs in there—” “Andarna! Use some common sense,” Tairn snaps. “The kneecaps are a much easier target."
top2023:IRON FLAME|Rebecca Yarros,q07742,"Good idea. I could use a snack.” Andarna’s tone is indecently excited. “We do not eat our allies,” Tairn lectures. “You never let me have any fun."
top2023:IRON FLAME|Rebecca Yarros,q07743,"I think I liked you better before you decided that feelings were something we need to discuss.”“Sorry to inconvenience you, but this year the role of Violet Sorrengail”—he points to me—“ will be played by Xaden Riorson”—he taps his chest—“ who will drag her, kicking and screaming if he has to, into a real relationship with real discussions, because he refuses to lose her again. If I have to evolve, you do, too."
top2023:IRON FLAME|Rebecca Yarros,q07744,"How long do you think it takes for someone to fall out of love?” He studies the skyline. “A day? A month? I’m asking because I don’t have any experience with it.” What the fuck? I fold my arms to keep from giving in to the impulse to jab him with the sharp point of my elbow. “I’m asking,” he continues, his throat working as he swallows, “because I think it will take you all of a heartbeat once you know."
top2023:IRON FLAME|Rebecca Yarros,q07745,"I could torch him if you would like,” Tairn offers. “But you do seem attached."
top2023:IRON FLAME|Rebecca Yarros,q07746,Secrets make for poor leverage. They die with the people who keep them.
top2023:IRON FLAME|Rebecca Yarros,q07747,"You’re capable of hurting me in ways I’m not sure you’ve even begun to fathom, Violet. I might be skilled enough to land a death blow, but you alone have the power to fucking destroy me."
top2023:IRON FLAME|Rebecca Yarros,q07748,I love you. The world does not exist for me beyond you.
top2023:IRON FLAME|Rebecca Yarros,q07749,Love doesn’t even have the decency to die. It just transforms into abject misery.
top2023:IRON FLAME|Rebecca Yarros,q07750,I bet we get seven inches tonight.” “Maybe more if you’re good.
top2023:IRON FLAME|Rebecca Yarros,q07751,"If you didn't figure it out, you weren't worthy of knowing."" She huffs. ""I waited six hundred and fifty years to hatch. Waited until your eighteenth summer, when I heard our elders talk of a weakling daughter of their general, the girl forecasted to become the head of the scribes, and I knew. You would have the mind of a scribe and the heart of a rider. You would be mine."" She leans into my hand. ""You are as unique as I am. We want the same things."" ""You couldn't have known I would be a rider.""""And yet, here we are.""A thousand questions go through my head, none of which we have the time for, so I give her exactly what I wanted–to be seen for who and what she is.""You are not a black dragon, or any of the six that we know of. You're a seventh breed.""""Yes."" Her eyes widen in excitement."
top2023:IRON FLAME|Rebecca Yarros,q07752,"Touch me and I swear to the gods, I’ll cut your fucking hands off and let the quadrant sort you out in the next round of challenges, Dain Aetos."
top2023:IRON FLAME|Rebecca Yarros,q07753,I'm just as reckless for you as you are for me.
top2023:IRON FLAME|Rebecca Yarros,q07754,You do not have the right to burn what is mine.
top2023:IRON FLAME|Rebecca Yarros,q07755,We do not eat our allies. —Tairn’s personal addendum to the Book of Brennanas quoted by Cadet Violet Sorrengail
top2023:IRON FLAME|Rebecca Yarros,q07756,"But I’m begging you, Violet. Don’t offer me your body unless you’re offering me everything. I want you more than I want to fuck you. I want those three little words back."
top2023:IRON FLAME|Rebecca Yarros,q07757,"She made it,” I whisper up to Liam."
top2023:IRON FLAME|Rebecca Yarros,q07758,I can handle pain.” I turn toward her. “I live in pain. I practically built a house there and set up a whole economy. I can take whatever they dish out.
top2023:IRON FLAME|Rebecca Yarros,q07759,Me? Argue with you about books? I only pick fights I can win.
top2023:IRON FLAME|Rebecca Yarros,q07760,"With trembling hands, I unfold the paper—and smile. Xaden Riorson wrote me a letter."
top2023:IRON FLAME|Rebecca Yarros,q07761,Who the fuck’s flight jacket are you wearing?
top2023:IRON FLAME|Rebecca Yarros,q07762,"I haven’t exactly made it easy for you to trust me,” he says, stroking his thumb over my cheek. “I’m still not making it easy. But you and I are not easy people. What we build together has to be strong enough to withstand a storm. Or a war. Easy isn’t going to give that to us."
top2023:IRON FLAME|Rebecca Yarros,q07763,"She makes a good point,"" Andarna agrees. ""Can you carry a luminary?""""That question insults me.""""Can you carry a luminary while insulted?"" she prods.Tairn growls."
top2023:IRON FLAME|Rebecca Yarros,q07764,"That trick you mentioned? You know, with the fingers?” A slow smile spreads across my face. “Thanks."
top2023:IRON FLAME|Rebecca Yarros,q07765,"Words are just as capable of eviscerating someone as a blade,"
top2023:IRON FLAME|Rebecca Yarros,q07766,"You love me,” he whispers. “Stop reminding me. I thought we agreed not to fight tonight.” I snuggle in deeper, his warmth lulling me into that sweet middle space between wakefulness and oblivion. “Maybe you’re not the one I’m reminding."
top2023:IRON FLAME|Rebecca Yarros,q07767,I will happily watch Aretia burn to the fucking ground again if it means you live.
top2023:IRON FLAME|Rebecca Yarros,q07768,"I meant what I said on the parapet. Even when I’m not with you, there’s only you."
top2023:IRON FLAME|Rebecca Yarros,q07769,The problem with mankind is we too often find our souls to be a fair price for power.
top2023:IRON FLAME|Rebecca Yarros,q07770,People are trying to kill you?” Jesinia’s brow knits. “It’s Thursday.
top2023:IRON FLAME|Rebecca Yarros,q07771,"Because you didn’t fall for an ordinary rider. You fell for the leader of a revolution,” he whispers, the sound so soft it barely carries to my ears."
top2023:IRON FLAME|Rebecca Yarros,q07772,"Most generals dream of dying in service to their kingdom. But you know me better than that, my love. When I fall, it will be for one reason only: to protect our children. —Recovered, Unsent Correspondence of General Lilith Sorrengail"
top2023:IRON FLAME|Rebecca Yarros,q07773,"You still don’t trust me, and that’s all right. I told you I’m not in this for a battle. I’m winning the damned war. I’m a fucking fool for saying this, but when haven’t I been a fool when it comes to you?"
top2023:IRON FLAME|Rebecca Yarros,q07774,"Your scales aren't really black.""""No."" Even now, her scales are changing, taking on the grayish hue of the stone around us. ""But he is, and I so badly want to be just like him.""""Tairn."
top2023:IRON FLAME|Rebecca Yarros,q07775,"My gaze finds Xaden’s in under a second, and it’s not because he’s seated at the center of the table, or because he’s one of only two men dressed in black, or even because he’s turned around as if he sensed me coming—which he probably did. I locate him within a heartbeat because he’s the center of my gravity."
top2023:IRON FLAME|Rebecca Yarros,q07776,"You should take her at her word. In fact…” Xaden doesn’t bother to lower his voice. “If you don’t, I’ll take personal offense. She made her choice, and it wasn’t you. It will never be you. I know it. She knows it. The whole quadrant knows it."
top2023:IRON FLAME|Rebecca Yarros,q07777,"My love isn’t fickle.” I shake my head slowly, keeping my gaze locked on his. “So you’d better live, because I’m ready to ask you all the fucking questions."
top2023:IRON FLAME|Rebecca Yarros,q07778,"The four of us stick together. That’s the deal. We make it to graduation, no matter what."
top2023:IRON FLAME|Rebecca Yarros,q07779,To which I will remind you that not a single dragon chose her. You were selected by two.
top2023:IRON FLAME|Rebecca Yarros,q07780,"Who did you kill?"" She directs the question at Xaden. ""Everyone"" he responds unapologetically. She nods, then drops her blade."
top2023:IRON FLAME|Rebecca Yarros,q07781,"Well, this is awkward,” Xaden calls out. And every head in the courtyard turns our direction."
top2023:IRON FLAME|Rebecca Yarros,q07782,"Yeah, well, it cost me you."
top2023:IRON FLAME|Rebecca Yarros,q07783,Now cease this line of thinking. It does not serve to make you stronger.
