sample_id,quote_id,quote_text
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08758,"To love and be loved was more than could ever be expected, more than enough for a thousand ordinary lifetimes."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08759,"Reading isn’t a privilege, sir. I believe we all have the right to leave our problems and escape into another world, if only through the written word."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08760,"Do something meaningful. Or maybe just mean everything you do,” he said."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08761,"When it comes to marriage, love is merely a visitor over a lifetime. Respect and kindness, they are the true foundations."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08762,"If you ever get the chance to make someone smile, or better yet, make someone laugh, then you take it. Each and every time,"
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08763,"The bad are the few, but often they shout louder than the many. Don’t mistake silence for weakness."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08764,"At ten years old he realized that people were born whole, and that the bad things peeled layers from the person you once were, thinning compassion and empathy and the ability to construct a future. At thirteen he knew those layers could sometimes be rebuilt when people loved you. When you loved."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08765,"Best education you can get,” he said. “See through someone else’s eyes and you understand more of everything."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08766,The thirteen-year-old pirate. And the beekeeper that saved his life.
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08767,"Okay is the preserve of the uninspired, Patchwork. I’d rather live and die at the extremes than exist in the middle."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08768,"Franklin Meyer was a cunt, and not the gentleman kind. Franklin’s father was a cunt, too. As kids they were cuntlets. A line of cunts, each one cuntier than the last.” “I wonder what the collective term for—” “A cuntet,” Sammy said knowingly."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08769,"Quickest way to shed ignorance is to read a book. Strips it each page you turn, letting knowledge in, you know."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08770,Nothing about them fit. Nothing about them worked. She loved him entirely and absolutely.
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08771,"Memories lie in people, not places and things."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08772,"If you learn from the times you go wrong, you can revel in the times you don’t."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08773,Why do we hold on to the bad things and forget the good?
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08774,"God is a first call and a last resort, from christening to death bed. In between is where faith is tested. The mundanity. Anyone can drop to their knees when they’re facing crisis, but doing it when everything is steady…"
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08775,"The shrink they make me see, she taps her pencil and frowns at me. And she talks about how we construct our ideals out of our own past mistakes. And I wonder what exactly a mistake is. A thing we should not have done, right? But if learning is built on trial and error there can be no mistakes, only rungs on a ladder to someplace better."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08776,"We look at others with fucking trivial problems, and we think how long they’d last with a taste of our childhoods."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08777,"People say it gets easier, but that’s only because each day we get a little closer to seeing them again."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08778,Saint knew that for some it was written in the stars that no matter how hard they fought their road did not lead somewhere good.
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08779,"Mistakes are the detours that remind you of the true way, Saint."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08780,Time changes our ability to view the things that hurt us.” “But not the pain.” “No. Not the pain.
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08781,"We fell in love and it was like…you know when all of a sudden there’s meaning. Actual true meaning and purpose.” “Like color in the dark,” Patch said."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08782,"Why is your name Saint?” Her breath caught a little. “My grandparents named me.” “Because your mother died before she could.” She nodded. “But the name…” “They said I was every good thing, Patch. Can you believe that?” He turned his head to look at her. “Sure, I can. Entirely and absolutely."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08783,I just wanted to show you that sometimes things survive despite the harshest of odds.
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08784,We’ll exist at the extremes because the middle is where the healthy pass their time.
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08785,"He would be a small scratch in the record of her life, no longer deep enough to alter the perfect rhythm."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08786,Grilled cheese. Ain’t a better meal on this earth.
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08787,"You don’t cry because it’s over, you smile that it happened,” she said."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08788,"Sometimes people reserve so much of themselves. It’s like saving a fine wine for an occasion that never materializes.’ ‘So just drink it then. On a Tuesday when the sun is shining, or when a storm cloud hovers, just drink it,’ he spoke, thinking of Sammy."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08789,"I also know that a group of ladybirds is called a loveliness. I like how some things are just perfect, you know."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08790,"There’s so much to say, Patch.” “But nothing that will change much of anything."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08791,To ask forgiveness for acts I know in my heart I will commit again.
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08792,"That he stole only what he needed, and not ever what he wanted."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08793,"There’s a place where the bees make purple honey.” He listened. “The North Carolina Coastal Plain. The sandhills. No one knows for sure why they do it. But it’s real purple. It glows. It’s like proof, Patch. There’s magical things out there just waiting on you."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08794,"Saint wanted to ask what it was like, to lose the thing that defined you. But perhaps she knew: it left you someone else. A stranger you had no choice but to tolerate, and see each day and feel and fear."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08795,Sometimes there was just enough beauty to temper the pain.
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08796,Fair has little to do with religion and politics.
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08797,"She watched a disaster in Yuba City on the nightly news and wondered how there could be room for so much devastation, how Patch could possibly compete for attention from a God who planned with such grand abject cruelty."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08798,"Saint knew that some people mistook money for class, anger for strength."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08799,"Patch knew that compassion was strength and at times weakness, and that it was what divided conscience."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08800,"She saw flashes of the boy who loved her, of the man growing tired of the woman she was still becoming."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08801,"We all tell you to move forward, but where exactly is forward? There’s no other place we can go. To face the past is to momentarily turn your back on what is now. And when you do that, you miss so damn much."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08802,"He was the kind of boy who would become the kind of man that needed tending. “There isn’t another kind of man,” Norma said,"
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08803,"People have short memories when you do something good, and long when you fuck things up,” Sammy said."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08804,"Being a mother, there’s no practice for it. Just because you can do it, because you’re able, doesn’t mean you’re good at it. And if you’re not, it’s not just your life…"
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08805,"Maybe when we pray we’re not asking for intervention. We’re just reminding ourselves of the things that matter. You screw up and ask forgiveness of yourself. Someone loses their way, and you search your own mind for the guidance to help them."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08806,"She would play that moment back and wonder at a universal network of fate, each decision rippling out from the wings of a butterfly, searching a grid of pattern that had been laid in another life."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08807,"Everyone on this earth is placed here for someone else. You follow your dreams and find them, and you make a match and nothing else matters. Haven’t you heard the frog sing it?"
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08808,"You get a single shot…doesn’t seem fair, but aim right and it’s enough."
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,q08809,families built canopies and spent the day in such unassumed luxury.
