sample_id,quote_id,quote_text
top2024:COUNTING MIRACLES|Nicholas Sparks,q08810,"Then I remind myself that my broken heart also means that there was a time when it wasn't broken, when my heart was light and full. Loving Audrey and my kids brought joy and meaning to my life, and I wouldn't trade that love for anything else in the world."
top2024:COUNTING MIRACLES|Nicholas Sparks,q08811,"Find where you belong and make that place your own,"
top2024:COUNTING MIRACLES|Nicholas Sparks,q08812,"God is faithful, and He will not let you be tested beyond your strength."
top2024:COUNTING MIRACLES|Nicholas Sparks,q08813,"Proverbs 29:11.” Fools give full vent to their rage, but the wise bring calm to the world. He relaxed"
top2024:COUNTING MIRACLES|Nicholas Sparks,q08814,"But you’d never be able to afford it…” “Matthew 19:26.” With God, all things are possible. “But…” “Mark 9:23.” All things are possible to him that believes."
top2024:COUNTING MIRACLES|Nicholas Sparks,q08815,that she let out a breath she hadn’t known she’d been holding.
top2024:COUNTING MIRACLES|Nicholas Sparks,q08816,"These days, it was all computers and phones that took pictures and screens that hypnotized adults and children alike."
top2024:COUNTING MIRACLES|Nicholas Sparks,q08817,"love is more than just an emotion. It’s about sharing a life,"
top2024:COUNTING MIRACLES|Nicholas Sparks,q08818,"The ninth verse in the fourth chapter of Job came to him unbidden: By the breath of God they perish, and by the blast of His anger they come to an end."
top2024:COUNTING MIRACLES|Nicholas Sparks,q08819,"Psalm 34:18 said: The Lord is near to the brokenhearted and saves the crushed in spirit. Matthew 5:4 said: Blessed are those that mourn, for they shall be comforted."
top2024:COUNTING MIRACLES|Nicholas Sparks,q08820,"his anger gave way to sudden fatigue. He’d long since given up trying to understand why a loving God would allow such suffering in the world, and it reminded him of the suffering that he himself had endured."
top2024:COUNTING MIRACLES|Nicholas Sparks,q08821,"Whoever is generous to the poor gives honor to the Lord (Proverbs 19:17). He was kind to everyone he met. Be kind one to another, tenderhearted, and forgiving (Ephesians 4:32)."
top2024:COUNTING MIRACLES|Nicholas Sparks,q08822,"Second Corinthians 4:18.” (So we fix our eyes not on what is seen, but what is unseen. For what is seen is temporary and what is unseen is eternal.) Or if Jasper boasted that he’d hit a home run to win a baseball game, his father would respond, “Romans 11:36.” (Everything comes from God alone. Everything lives by his power, and everything for his glory.)"
top2024:COUNTING MIRACLES|Nicholas Sparks,q08823,"Sometimes I just wish I could take everything I’ve learned, all my accumulated wisdom, and just dump it in her head. Instead, she’s regularly being forced to learn from own her mistakes, and that’s hard for a parent to watch."
top2024:COUNTING MIRACLES|Nicholas Sparks,q08824,I’ve been around longer than you. Some battles you just can’t win.
top2024:COUNTING MIRACLES|Nicholas Sparks,q08825,"Tanner had a feeling he knew what she was going to say. “I like you. Talking to you tonight, I realized how much I enjoy spending time with you, and if we go out again, I’ll probably like you even more. And that scares me. Because you’re going to be leaving town soon. And then, after that, you’ll be leaving the country. I’m not sure that’s what I need in my life right now.” He recognized the truth of what she was saying, even if it wasn’t what he wanted to hear. “I understand.” “But just know that yes, if things were different, I’d have loved to see you again."
top2024:COUNTING MIRACLES|Nicholas Sparks,q08826,"Then she replenished her medical bag and headed for Our Daily Bread. As soon as she entered the nondescript building, she grabbed an apron from one of the hooks on the wall. She called out greetings to the regular volunteers. Entering the bustling kitchen, she did a double take when she noticed a man slicing tomatoes for a huge container of salad. “Tanner?” “Hi, Kaitlyn,” he said with a friendly wave. “Happy Monday.” A few of the other volunteers exchanged glances but said nothing. “What are you doing here?” “Volunteering,” he said. “I called earlier to see if they needed help today, and it turns out that Evelyn couldn’t make it. So here I am.” “But why?” “Because I had some free time, and it’s a good thing to do,” he explained in a matter-of-fact way. “And I wanted to see you again."
top2024:COUNTING MIRACLES|Nicholas Sparks,q08827,"an elephant has forty thousand muscles in its trunk,"
top2024:COUNTING MIRACLES|Nicholas Sparks,q08828,"I was just thinking that Monday is the perfect day to start being the best version of yourself, since you’ve got six more days to practice. Or, Every week should begin with generosity, don’t you think? Wouldn’t the world be a"
top2024:COUNTING MIRACLES|Nicholas Sparks,q08829,"Even though it’s a poor country compared to the U.S. or Europe, there’s a lot of laughter there. People seem to have a knack for finding pleasure in everyday things, despite their hardships."
top2024:COUNTING MIRACLES|Nicholas Sparks,q08830,"Moving from base to base had meant leaving friends behind; it meant struggling to fit into constantly changing environments. It meant being slow to trust and even slower to open up to others,"
