sample_id,quote_id,quote_text
top2024:SWAN SONG|Elin Hilderbrand,q09120,"Mary Oliver poem “The Summer Day”: Tell me, what is it you plan to do / with your one wild and precious life?"
top2024:SWAN SONG|Elin Hilderbrand,q09121,The person who needs the least will always have the power.
top2024:SWAN SONG|Elin Hilderbrand,q09122,Because you aren’t genuine? Coco thinks. Because everything with you is transactional? Because you’re an egregious social climber?
top2024:SWAN SONG|Elin Hilderbrand,q09123,"He once attended a seminar about missing persons and learned that, in some ways, it’s more challenging for people to grapple with loved ones’ disappearances than their deaths. Missing causes one to feel equal parts despondent and hopeful. It nags: What happened? Where is she? The mind craves an answer. Missing is a special hell—and missing at sea"
top2024:SWAN SONG|Elin Hilderbrand,q09124,"Leslee winds her long dark hair around her wrist and forearm. Coco has learned this is a nervous tic, but it’s actually kind of fetching, so much so that Coco is considering growing her hair out."
top2024:SWAN SONG|Elin Hilderbrand,q09125,"In the center are the words The Personal Concierge, and radiating out like spokes on a wheel are lines that end in circled names: Bull, Leslee, Lamont, Kacy."
top2024:SWAN SONG|Elin Hilderbrand,q09126,"Phoebe orders a bottle of Sancerre and Leslee says, “Thank god you’re not a chardonnay drinker."
top2024:SWAN SONG|Elin Hilderbrand,q09127,Has any cocktail that includes blue curaçao ever tasted good?
top2024:SWAN SONG|Elin Hilderbrand,q09128,"Coco can’t believe she just used the word gussied; from time to time, she opens her mouth and Arkansas slips out."
top2024:SWAN SONG|Elin Hilderbrand,q09129,"There’s no response and Coco wonders if now is the time to panic. Her previous three texts—one sent yesterday afternoon from the St. Thomas airport, one sent last night from the Orlando airport (where she shoplifted the new Kristin Hannah book from Hudson News because she’d finished her Jesmyn Ward novel on the plane), and one this morning before takeoff—have gone unanswered. She checks her email. There’s nothing new from Bull Richardson but she’s at least able to reread his previous correspondence:"
top2024:SWAN SONG|Elin Hilderbrand,q09130,"She considers saying, I’ve written a screenplay. And when Bull Richardson quips, Hasn’t everyone? Coco will tell him that her screenplay is based on a true story. Is there a more seductive phrase in the English language?"
top2024:SWAN SONG|Elin Hilderbrand,q09131,Coco sighs and sets down her book. She’s reading The Secret History by Donna Tartt. She can’t believe it’s never been made into a movie.
top2024:SWAN SONG|Elin Hilderbrand,q09132,"Let’s get to your first assignment,” Lucky says. “Character. What I’d like you to do is venture out into the world somewhere, could be your local farmers’ market, your office building—Nancy, I see you work at the RMV, that’s a fertile environment—and choose two individuals to observe. Then I’d like you to dramatize a scene between the two with an eye toward developing this scene into a story. The late great novelist John Gardner famously said that there are only two plots: One, a person goes on a journey, and two, a stranger comes to town.” Lucky pauses and Sharon furiously scribbles on her legal pad. Sharon is hopelessly old-school; both Nancy and Willow type on their laptops. “Go forth and observe, then, my friends. We’ll meet again next week and you can share what you’ve written with the group."
top2024:SWAN SONG|Elin Hilderbrand,q09133,"afraid he’s pushed the limits of his diet far enough. Andrea is the one who places a cannoli on his plate, her cheeks flushed from the wine. She leans over and kisses him on the lips, a good kiss, one that promises more later. “It’s your special night."
top2024:SWAN SONG|Elin Hilderbrand,q09134,"In the library, she replaces Life After Life by Kate Atkinson and takes May We Be Forgiven by A. M. Homes, geniuses both, in her humble opinion."
top2024:SWAN SONG|Elin Hilderbrand,q09135,"On Coco’s nightstand are two novels: Trespasses by Louise Kennedy, The Candy House by Jennifer Egan. Sitting on top of these is the sand dollar Coco found during their trip to Great Point."
top2024:SWAN SONG|Elin Hilderbrand,q09136,Sharon has become the kind of woman she never understood before—someone who doesn’t need to talk about other people to make her days more interesting because her days are interesting enough as it is.
top2024:SWAN SONG|Elin Hilderbrand,q09137,The entire harbor is spread out before us like a banquet.
top2024:SWAN SONG|Elin Hilderbrand,q09138,"The meaning of Heather’s words lands on Monday at the Field and Oar Club. Sharon has just finished a tennis lesson with the new instructor, Mateo, who came to the Field and Oar from Buenos Aires. Mateo has the cheekbones and eyebrows of a luxury-brand model and he thought nothing of wrapping his strong arms around Sharon in an attempt to fix her backhand. A stranger comes to town, part three? she thinks. However, even Sharon knows that lusting after her hot tennis instructor isn’t exactly “unexpected.” In"
top2024:SWAN SONG|Elin Hilderbrand,q09139,"Like all the other nurses on her unit, she reads Colleen Hoover."
top2024:SWAN SONG|Elin Hilderbrand,q09140,Romeo leans back in his chair and graces Busy with his gorgeous smile. “I
top2024:SWAN SONG|Elin Hilderbrand,q09141,Spark of Light by Jodi Picoult
