sample_id,quote_id,quote_text
top2024:THE FURY|Alex Michaelides,q09490,We are all unreliable narrators of our own lives.
top2024:THE FURY|Alex Michaelides,q09491,"Now, I know only this for sure--the first half of life is pure selfishness; the second half, all grief."
top2024:THE FURY|Alex Michaelides,q09492,"Once I saw the kid in me, I started seeing kids in other people—all dressed as adults, playacting at being grown-up. But I saw through the performances now, to the frightened children beneath."
top2024:THE FURY|Alex Michaelides,q09493,"The real tragedy is, of course, by always looking outward, by focusing so intently on the other person's experience, we lose touch with our own. It's as if we live our entire life pretending to be ourselves, as imposters impersonating ourselves, rather than feeling this is really me, this is who I am."
top2024:THE FURY|Alex Michaelides,q09494,"If you're afraid, you can't be authentic."
top2024:THE FURY|Alex Michaelides,q09495,"I often think life is just a performance. None of this is real. It's a pretense at reality, that's all. Only when someone, or something, we love dies, do we wake up from the play-and see how artificial it all is-this constructed reality we inhabit."
top2024:THE FURY|Alex Michaelides,q09496,"Character is fate. Remember that, for later. Remember the kid, too. And I don’t just mean the kid in me, but the kid in you. “I know telling you to love yourself is a big ask,” Mariana used to say. “But learning to love, or, at least, have compassion for, the child you once were, is a big step in the right direction."
top2024:THE FURY|Alex Michaelides,q09497,"That’s why, these days, I repeatedly force myself to return to my own experience: not are they enjoying themselves? But am I? Not do they like me? But do I like them?"
top2024:THE FURY|Alex Michaelides,q09498,"In case I am speaking to a young person now, let me give you something to hold on to: do not despair at being different. For that very difference, initially such a source of shame, so humiliating, and painful, will one day become a badge of honor and pride."
top2024:THE FURY|Alex Michaelides,q09499,"… that’s how we communicate, isn’t it? We’re all over the place: we jump back and forth in time; slow down and expand on some moments; fast-forward through others; editing as we go, minimizing flaws and maximizing assets. We are all the unreliable narrators of our own lives."
top2024:THE FURY|Alex Michaelides,q09500,"According to Mr. Levy, there is only one answer:“Our motivation is to remove pain."
top2024:THE FURY|Alex Michaelides,q09501,"It’s like falling in love, isn’t it, when you make a new friend?"
top2024:THE FURY|Alex Michaelides,q09502,"Both theatre and reality, said Mr Levy, came down to just three words – motivation, intention and goal."
top2024:THE FURY|Alex Michaelides,q09503,"I had longed for love, whatever that means, all my life. I longed for another human being to see me, accept me—care for me. But when I was a young man, I was so invested in this fake person I wanted to be, this false self. I simply wasn’t capable of engaging in a relationship with another human being—I never let anyone get close enough. I was always acting, and any affection I received felt curiously unsatisfying. It was for a performance, not for me.These are the mad hoops damaged people jump through: so desperate to receive love—but when it is given to us, it can’t be felt. This is because we don’t need love for an artificial creation, a mask. What we need, what we desperately long for, is love for the only thing we will never show anyone: the ugly, scared kid inside."
top2024:THE FURY|Alex Michaelides,q09504,"I read somewhere that hell has always been misrepresented. It is not a burning pit, full of fiery torments. In fact, hell is just an absence, a banishment from God’s presence. To be removed from Him is hell itself."
top2024:THE FURY|Alex Michaelides,q09505,"That’s where all creativity is born, I believe—in the desire to escape."
top2024:THE FURY|Alex Michaelides,q09506,"When we are young,” Mariana said, “and afraid—when we are shamed, and humiliated—something happens. Time stops. It freezes, in that moment. A version of us is trapped, at that age—forever."
top2024:THE FURY|Alex Michaelides,q09507,"I’m about forty years old, give or take a year or two. I’m told I look younger. That’s down to my refusal to grow up, no doubt—never mind grow old. I still feel like a kid inside. Doesn’t everyone?"
top2024:THE FURY|Alex Michaelides,q09508,"Can anyone pinpoint that precise moment when love turns to hate? Everything ends, I know that. Especially happiness. Especially love."
top2024:THE FURY|Alex Michaelides,q09509,"A terrified child trapped inside my mind. A child who won’t go away. Suddenly it all made sense. All the uneasy feelings I experienced on the street, or in social situations, or if I had to disagree with someone, or assert myself—the queasiness in my stomach, fear of eye contact—this had nothing to do with me, nothing to do with the here and now. They were old feelings that were displaced in time. They belonged to a little boy long ago, who was once so afraid, under attack, and unable to defend himself."
top2024:THE FURY|Alex Michaelides,q09510,"You, me, Jason, and Leo. And Agathi, of course … I’m not sure if I’ll ask Elliot—he’s been annoying me lately. Well, what do you say?"
top2024:THE FURY|Alex Michaelides,q09511,Or is Nikos too obvious a suspect? A Greek-island version of ‘the butler did it’?
