sample_id,quote_id,quote_text
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q09993,"The problem is, you can’t go back. You can try. But human nature never lets you. Wherever you are, that becomes ground zero. Greed is not ‘I need more’—it’s the fear of losing what you already have. Of going back. So you hold on tighter and keep trying to climb up. Because that’s the only way you can go. Life won’t let you stand still. You are either on your way up or you’re on your way down. And you’ll do anything not to go down."
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q09994,"They don’t tell you this on tour websites, but if you want the best view of Manhattan, you have to go to New Jersey."
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q09995,"The pang, that ever present missing Mark pang, strikes deep in her chest. This is how grief works isn't it? Grief doesn't attack her on Mark's birthday or anniversary or any of that. Grief knows you're expecting it on those days. So grief bides its time. It lulls you, makes you think it's not such a threat anymore and then when your defenses are down, when a plane simply starts down a runway for example, boom, it attacks."
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q09996,"The dead are dead. You're not supposed to get over it, you're supposed to live with it."" ""Other people may feel differently"" ""I'm sure that's true."" ""Suppose it offers comforts."" ""It would be a false comfort."" Sharon shrugs, ""All comfort is false when you think about it. That's almost the definition."
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q09997,when differing viewpoints were welcomed because they challenged and honed your thinking rather than producing anger and scorn.
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q09998,"Scratch the surface of a person doing good works, and you'll find someone who fears the mundane and conventional."
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q09999,"But she knows—and not in a pathetic, needy, pitiful way—that she is unlovable. She could be a decent mom and daughter and sister. She could be a pretty good friend. But her condition makes her unworthy of true companionship or love."
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q10000,"if you think our legal system is about truth or fairness or equality, you’re either not paying attention or delusional."
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q10001,Life is always a high school cafeteria.
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q10002,"But then again, when your world falls apart—when you had everything and even understood and appreciated that you had everything and never took any of it for granted, not for a second, knew how lucky you were, and because you were so grateful, you somehow naively expected karma to reward you, or at least leave you be—you learn in the hardest of ways that fate is fickle, that life is chaos and no one gets out unscathed, that you can have everything one moment and have it all snatched away so easily…"
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q10003,"You wonder what makes a hero? There’s altruism, sure. But there’s also ego and recklessness and thrill-seeking."
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q10004,"When you’re close to death, that’s when you feel your most alive."
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q10005,This is the closest she gets to shutting down—distracting her brain with fiction rather than problem-solving.
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q10006,The world is a series of negotiations—and the best negotiations are when both sides win. We’ve made a deal
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q10007,"Eric Hoffer is?” “No.” “An American philosopher. He has this quote I love: ‘Every great cause begins as a movement, becomes a business, and eventually degenerates into a racket.’” He smiles. “Good, right?"
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q10008,Be regular and orderly in your life
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q10009,That’s what we stupid humans do. We carry the seeds of our own self-destruction.
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q10010,she realized that one of life’s greatest and most unappreciated luxuries was a hot shower. If you think about it
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q10011,"I’m not looking for comfort,” Porkchop says. “It’s not about me. It’s about my son. It’s not about what I miss—it’s about what he missed, what was stolen from him. I don’t care about my pain. I can live with that. It’s the least I can do. What I can’t live with—what I can’t get past, what I don’t want to get past—is what was taken from my boy."
top2025:GONE BEFORE GOODBYE|Reese Witherspoon and Harlan C,q10012,we all think that we are uniquely complex—no one knows what we are really thinking
