sample_id,quote_id,quote_text
top2025:STRANGERS IN TIME|David Baldacci,q10476,We may dream so often about another sort of life that we forget to live the one that we already possess.
top2025:STRANGERS IN TIME|David Baldacci,q10477,Humans make poor gods. We’re just not up to it.
top2025:STRANGERS IN TIME|David Baldacci,q10478,Sometimes it simply comes down to the serendipity of whom one meets and when.
top2025:STRANGERS IN TIME|David Baldacci,q10479,"Pain was a universal connection; everyone felt it at some point in their lives, physically, mentally, and/or emotionally. No one, rich or poor, young or old, was exempt from its claws."
top2025:STRANGERS IN TIME|David Baldacci,q10480,"She knew there was a price to be paid with important relationships like that. They were wonderful, but they also had the capacity to exact a punishing price when one in the relationship was gone. Grief, sadness, anger at a loss, and terrible, unrelenting hurt were the costs to be paid for loving and being loved. It felt completely worth the bargain right up until the very moment payment was demanded. She"
top2025:STRANGERS IN TIME|David Baldacci,q10481,"You will always have her inside you, no matter where you go. That’s how powerful love is. She carried you inside her for nearly a year. That bond is unbreakable. Wherever you go, she will be there with you. It’s… it’s like a law—no, a covenant, that’s the word. It’s forever."
top2025:STRANGERS IN TIME|David Baldacci,q10482,Three people standing together against all the world could hurl at them.
top2025:STRANGERS IN TIME|David Baldacci,q10483,We must make the best of what we have. To seek out something different merely because it is perceived better by standards laid out by people we may not even know? I would say that is the height of self-deceit.
top2025:STRANGERS IN TIME|David Baldacci,q10484,"But for Oliver, as even a casual observer of history could say with complete confidence, such one-man governing structures never ended well for anyone, not even the strongman."
top2025:STRANGERS IN TIME|David Baldacci,q10485,"Books filled with truth, turned to ash, and turning minds the same in their absence."
top2025:STRANGERS IN TIME|David Baldacci,q10486,"Dreams are never in context, are they? That’s the point of dreams, of reaching for something so impossible, so impractical, often something so undeserved, that the act of wishing for it defines more about us than the actual dream does."
top2025:STRANGERS IN TIME|David Baldacci,q10487,"You Catholic?” The sergeant major said this as though that also might be a problem. “Just smells and bells to me, sir,"
top2025:STRANGERS IN TIME|David Baldacci,q10488,There are no strangers here Only friends you haven’t met yet. —attributed to William Butler Yeats
top2025:STRANGERS IN TIME|David Baldacci,q10489,A book a day keeps the bombs away. And: Reading books is far better than burning them.
top2025:STRANGERS IN TIME|David Baldacci,q10490,"Eighteen thousand souls had died violently in the eight months of the Blitz alone, and one in six Londoners had been left homeless at one time or another. Sometimes there seemed to be more fallen buildings than ones left standing. A person could easily become desensitized to such profound loss. Yet while the war years had tried their best to rob him of it, Charlie was still resolutely in possession of a heart."
top2025:STRANGERS IN TIME|David Baldacci,q10491,"Young people are capable of a great deal if the need is there,"
top2025:STRANGERS IN TIME|David Baldacci,q10492,"Charlie. “Liar,” bellowed Lonzo. “And we know that door was double-locked and"
top2025:STRANGERS IN TIME|David Baldacci,q10493,You never really knew what you were capable of
top2025:STRANGERS IN TIME|David Baldacci,q10494,We all need someone at certain times in our lives. It makes the inevitable pain lessened and the periods of happiness exalted.
top2025:STRANGERS IN TIME|David Baldacci,q10495,"It was simply a question of being needed, really."" ""They needed me. ... I choose life, and truth be known, I need them."
top2025:STRANGERS IN TIME|David Baldacci,q10496,I think it was braver to stay here and keep tryin' to do the right thin'.
top2025:STRANGERS IN TIME|David Baldacci,q10497,"It wasn't so much the decisions you made, it was simply who you stumbled into while you were trying to work out important matters. Run into one person instead of another, and one's future could be completely altered."
