sample_id,quote_id,quote_text
top2018:7239,q02341,I wasn't aware that words could hold so much. I didn't know a sentence could be so full.
top2018:7239,q02342,"His dad had told him many times that the definition of a real man is one who cries without shame, reads poetry with his heart, feels opera in his soul, and does what’s necessary to defend a woman."
top2018:7239,q02343,"Autumn leaves don't fall, they fly. They take their time and wander on this their only chance to soar."
top2018:7239,q02344,"If anyone would understand loneliness, the moon would."
top2018:7239,q02345,Unworthy boys make a lot of noise
top2018:7239,q02346,"lot of times love doesn’t work out. Yet even when it fails, it connects you to others and, in the end, that is all you have, the connections."
top2018:7239,q02347,"Why should the injured, the still bleeding, bear the onus of forgiveness?"
top2018:7239,q02348,"There are some who can live without wild things, and some who cannot."
top2018:7239,q02349,"She laughed for his sake, something she’d never done. Giving away another piece of herself just to have someone else."
top2018:7239,q02350,"She knew the years of isolation had altered her behavior until she was different from others, but it wasn't her fault she'd been alone. Most of what she knew, she'd learned from the wild. Nature had nurtured, tutored, and protected her when no one else would."
top2018:7239,q02351,How much do you trade to defeat loneliness?
top2018:7239,q02352,"Sometimes she heard night-sounds she didn’t know or jumped from lightning too close, but whenever she stumbled, it was the land who caught her. Until at last, at some unclaimed moment, the heart-pain seeped away like water into sand. Still there, but deep. Kya laid her hand upon the breathing, wet earth, and the marsh became her mother."
top2018:7239,q02353,"Female fireflies draw in strange males with dishonest signals and eat them; mantis females devour their own mates. Female insects, Kya thought, know how to deal with their lovers."
top2018:7239,q02354,"Faces change with life's toll, but eyes remain a window to what was..."
top2018:7239,q02355,"Please don't talk to me about isolation. No one has to tell me how it changes a person. I have lived it. I am isolation,"" Kya whispered with a slight edge."
top2018:7239,q02356,"She whispered a verse by Amanda Hamilton:You came again,blinding my eyeslike the shimmer of sun upon the sea.Just as I feel freethe moon casts your face upon the sill.Each time I forget youyour eyes haunt my heart and it falls still.And so farewelluntil the next time you come,until at last I do not see you."
top2018:7239,q02357,"She could read anything now, he said, and once you can read anything you can learn everything. It was up to her. “Nobody's come close to filling their brains,” he said. “We're all like giraffes not using their necks to reach the higher leaves."
top2018:7239,q02358,"time is no more fixed than the stars. Time speeds and bends around planets and suns, is different in the mountains than in the valleys, and is part of the same fabric as space, which curves and swells as does the sea."
top2018:7239,q02359,"What d'ya mean, where the crawdads sing? Ma used to say that."" Kya remembered Ma always encouraging her to explore the marsh: ""Go as far as you can --- way out yonder where the crawdads sing."" Tate said, ""Just means far in the bush where critters are wild, still behaving like critters."
top2018:7239,q02360,I must let go now. Let you go. Love is too often The answer for staying. Too seldom the reason For going. I drop the line And watch you drift away. “All along You thought The fiery current Of your lover’s breast Pulled you to the deep. But it was my heart-tide Releasing you To float adrift With seaweed.
top2018:7239,q02361,"Ya need some girlfriends, hon, ’cause they’re furever. Without a vow. A clutch of women’s the most tender, most tough place on Earth."
top2018:7239,q02362,Go as far as you can—way out yonder where the crawdads sing.
top2018:7239,q02363,"Never underratethe heart,Capable of deedsThe mind cannot conceive.The heart dictates as well as feels.How else can you explainThe path I have taken,That you have takenThe long way through this pass?"
top2018:7239,q02364,"Jodie had taught her that the female firefly flickers the light under her tail to signal to the male that she's ready to mate. Each species of firefly has its own language of flashes. As Kya watched, some females signed dot, dot, dot, dash, flying a zigzag dance, while others flashed dash, dash, dot in a different dance pattern. The males, of course, knew the signals of their species and flew only to those females. Then, as Jodie had put it, they rubbed their bottoms together like most things did, so they could produce young. Suddenly Kya sat up and paid attention: one of the females had changed her code. First she flashed the proper sequence of dashes and dots, attracting a male of her species, and they mated. Then she flickered a different signal, and a male of a different species flew to her. Reading her message, the second male was convinced he'd found a willing female of his own kind and hovered above her to mate. But suddenly the female firefly reached up, grabbed him with her mouth, and ate him, chewing all six legs and both wings. Kya watched others. The females all got what they wanted – first a mate, then a meal – just by changing their signals. Kya knew judgment had no place here. Evil was not in play, just life pulsing on, even at the expense of some of the players. Biology sees right and wrong as the same color in different light."
top2018:7239,q02365,Loneliness has a compass of its own.
