sample_id,quote_id,quote_text
top2012:6524,q02675,"Try to imagine a life without timekeeping. You probably can’t. You know the month, the year, the day of the week. There is a clock on your wall or the dashboard of your car. You have a schedule, a calendar, a time for dinner or a movie. Yet all around you, timekeeping is ignored. Birds are not late. A dog does not check its watch. Deer do not fret over passing birthdays. an alone measures time. Man alone chimes the hour. And, because of this, man alone suffers a paralyzing fear that no other creature endures. A fear of time running out."
top2012:6524,q02676,It is never too late or too soon. It is when it is supposed to be.
top2012:6524,q02677,"We all yearn for what we have lost. But sometimes, we forget what we have."
top2012:6524,q02678,"With endless time, nothing is special. With no loss or sacrifice, we can’t appreciate what we have"
top2012:6524,q02679,There is a reason God limits our days.''Why?''To make each one precious.
top2012:6524,q02680,"Sometimes, when you are not getting the love you want, giving makes you think you will."
top2012:6524,q02681,"When you are measuring life, you are not living it."
top2012:6524,q02682,"I made such a fool of myself,” she lamented.“Love does not make you a fool.”“He didn’t love me back.”“That does not make you a fool, either.”“Just tell me …” Her voice cracked. “When does it stop hurting?”“Sometimes never."
top2012:6524,q02683,Holding on to things only breaks your heart.
top2012:6524,q02684,Knowing something and understanding it were not the same thing.
top2012:6524,q02685,When we are most alone is when we embrace another's loneliness.
top2012:6524,q02686,"Ends are for yesterday, not tomorrows."
top2012:6524,q02687,But a desperate heart will seduce the mind.
top2012:6524,q02688,"As mankind grew obsessed with its hours, the sorrow of lost time became a permanent hole in the human heart. People fretted over missed chances, over inefficient days; they worried constantly about how long they would live, because counting life’s moments had led, inevitably, to counting them down. Soon, in every nation and in every language, time became the most precious commodity."
top2012:6524,q02689,A heart weighs more when it splits in two; it crashes in the chest like a broken plane.
top2012:6524,q02690,There is a reason God limits man's days.
top2012:6524,q02691,"No matter how smart she appeared, she wasfragile at her core."
top2012:6524,q02692,But hurting ourselves to inflict pain on others is just another cry to be loved.
top2012:6524,q02693,But fates are connected in ways we don’t understand.
top2012:6524,q02694,"She felt worthless and hollow. There was no hope of fixing this.And when hope is gone, time is punishment."
top2012:6524,q02695,"You had many more years,” he said.“I didn’t want them.”“But they wanted you. Time is not something you give back. The very next moment may be an answer toyour prayer. To deny that is to deny the most important part of the future.”“What’s that?”“Hope."
top2012:6524,q02696,"He cried that night for all that he had lost, but he would say it taught him a valuable lesson: that holding on to things ""will only break your heart."
top2012:6524,q02697,"There was always a quest for more minutes, more hours, faster progress to accomplish more in each day. The simple joy of living between summers was gone."
top2012:6524,q02698,"But you grab a moment, or you let it pass."
top2012:6524,q02699,The length of your days does not belong to you.
top2012:6524,q02700,A man who can take anything will find most things unsatisfying. And a man without memories is just a shell.
top2012:6524,q02701,Mankind is connected in ways it does not understand - even in dreams.
top2012:6524,q02702,What you have done to this point cannot be undone. What you do next... It is still unwritten.
top2012:6524,q02703,All who are born are always dying.
top2012:6524,q02704,But common sense has no place in first love and never has.
top2012:6524,q02705,"Consider the word “time.” We use so many phrases with it. Pass time. Waste time. Kill time. Lose time. In good time. About time. Take your time. Save time. A long time. Right on time. Out of time. Mind the time. Be on time. Spare time. Keep time. Stall for time. There are as many expressions with “time” as there are minutes in a day. But once, there was no word for it at all. Because no one was counting. Then Dor began. And everything changed."
top2012:6524,q02706,Man wants to own his existence. But no one owns time.
top2012:6524,q02707,"Soon man will count all his days, and then smaller segments of the day, and then smaller still—until the counting consumes him, and the wonder of the world he has been given is lost."
top2012:6524,q02708,"We do not realize the sound the world makes -- unless, of course, it comes to a stop. Then, when it starts, it sounds like an orchestra."
top2012:6524,q02709,"Before you measure the years, you measure the days."
top2012:6524,q02710,"You marked the minutes,"" the old man said. ""But did you use them wisely? To be still? To cherish? To be grateful? To lift and be lifted?"
top2012:6524,q02711,We cannot stop what Heaven chooses.
top2012:6524,q02712,"As children grow, they gravitate to their fates."
top2012:6524,q02713,"Dor shook his head. “The phrase. What does it mean?”Sarah wondered if he was kidding. “Time flies? You know, like, time goes really fast and suddenly you’re saying goodbyeand it’s like no time passed at all?”His eyes drifted. He liked it. “Time flies.”“With you,” she added."
top2012:6524,q02714,"Once, lovers on faraway shores sat by candlelight and dipped ink to parchment, writing words that could not be erased. They took an evening to compose their thoughts, maybe the next evening as well."
top2012:6524,q02715,What will you do with the time you have left?
top2012:6524,q02716,"She had been so consumed with escaping her own misery, she hadn't considered the misery she might inflict."
top2012:6524,q02717,Learn what you do not know. Understand the consequences of counting the moments.
top2012:6524,q02718,"Didn't people call New Year's the loneliest night on the calender? She took comfort in knowing somewhere on the planet, someone might be as miserable as she was."
top2012:6524,q02719,"I lived,"" Dor said, ""but I was not alive."
top2012:6524,q02720,"This time was different. The tools of this era--phones, computers--enabled people to move at a blurring pace. Yet despite all they accomplished, they were never at peace."
