sample_id,quote_id,quote_text
top2013:5154,q02065,"There are two stories for every life; the one you live, and the one others tell."
top2013:5154,q02066,"You have to start over. That's what they say. But life is not a board game, and losing a loved one is never really ""starting over."" More like ""continuing without."
top2013:5154,q02067,"Fear is how you lose your life...a little bit at a time...What we give to fear, we take away from...faith."
top2013:5154,q02068,"Sometimes, love brings you together even as life keeps you apart."
top2013:5154,q02069,sometimes what you miss the most is the way a loved one made you feel about yourself.
top2013:5154,q02070,the words people do not speak are louder than the ones they do.
top2013:5154,q02071,the pain we suffer is a way to make us appreciate what comes next.
top2013:5154,q02072,"Miracles happen quietly every day - in an operating room, on a stormy sea, in the sudden appearance of a road side stranger. They are rarely tallied. No one keeps score."
top2013:5154,q02073,"if you find one true friend in your life, you're richer than most. If that one true friend is your husband, you're blessed.""She paused. ""And if that one true friend is your sister, don't feel bad. At least, she can't divorce you."
top2013:5154,q02074,"The news of life is carried via telephone. A baby's birth, a couple engaged, a tragic car accident on a late night highway - most milestones of the human journey, good or bad, are foreshadowed by the sound of a ringing."
top2013:5154,q02075,"Faith, it is said, is better than belief, because belief is when someone else does the thinking."
top2013:5154,q02076,Knowing heaven is what heals us on earth.
top2013:5154,q02077,"There is a time for hello and a time for good-bye. It's why the act of burying things seems natural, but the act of digging them up does not."
top2013:5154,q02078,"Bad news has no limits. We often feel it should, like a rainstorm that can't possibly get any heavier. But a storm can always worsen, & the burdens of life can too."
top2013:5154,q02079,"That’s the thing when people leave us too suddenly, isn’t it? We always have so many questions."
top2013:5154,q02080,"If we knew what comes next, we never would have worried."
top2013:5154,q02081,What in life can love not penetrate?
top2013:5154,q02082,"A mother's voice is like no other. We recognize every lilt and whisper, every warble or shriek."
top2013:5154,q02083,You don't miss things. You miss people.
top2013:5154,q02084,What happened next depends on how much you believe.
top2013:5154,q02085,The pain you go through in life doesn’t really touch you . . . not the real you. . . . You are so much lighter than you think.
top2013:5154,q02086,All blessings do not bless the same.
top2013:5154,q02087,people in grief can imagine many things. It makes them feel better. It doesn't make it real.
top2013:5154,q02088,"So often, we push away the voices closest to us. But once they're gone, we reach for them."
