sample_id,quote_id,quote_text
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05546,"But books, like people, die. They die in fires or floods or in the mouths of worms or at the whims of tyrants. If they are not safeguarded, they go out of the world. And when a book goes out of the world, the memory dies a second death."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05547,"we are all beautiful even as we are all part of the problem, and that to be a part of the problem is to be human"
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05548,"Sometimes the things we think are lost are only hidden, waiting to be rediscovered."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05549,"Each morning comes along and you assume it will be similar enough to the previous one—that you will be safe, that your family will be alive, that you will be together, that life will remain mostly as it was. Then a moment arrives and everything changes."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05550,WHAT YOU ALREADY HAVE IS BETTER THAN WHAT YOU SO DESPERATELY SEEK
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05551,"The things that look fixed in the world, child—mountains, wealth, empires—their permanence is only an illusion. We believe they will last, but that is only because of the brevity of our own lives. From the perspective of God, cities like this come and go like anthills."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05552,Hope is the pillar that holds up the world.
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05553,what's so beautiful about a fool is that a fool never knows when to give up
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05554,The world as it is is enough.
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05555,Why is it so hard to transcend the identities assigned to us when we were young?
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05556,Why can't healing happen as quickly as wounding?
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05557,"He should have risked more. It has taken him his whole life to accept himself, and he is surprised to understand that now that he can, he does not long for one more year, one more month: eighty-six years has been enough. In a life you accumulate so many memories, your brain constantly winnowing through them, weighing consequence, burying pain, but somehow by the time you’re this age you still end up dragging a monumental sack of memories behind you, a burden as heavy as a continent, and eventually it becomes time to take them out of the world."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05558,"Forgetting, he is learning, is how the world heals itself."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05559,"I know why those librarians read the old stories to you,” Rex says. “Because if it’s told well enough, for as long as the story lasts, you get to slip the trap."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05560,"Some stories,"" she says, ""can be both false and true at the same time."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05561,"That’s what the gods do,” he says, “they spin threads of ruin through the fabric of our lives, all to make a song for generations to come."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05562,"And as he looked, turning the leaf over and back, Aethon saw that the cities on both sides of the page, the dark ones and the bright ones, were one and the same, that there is no peace without war, no life without death, and he was afraid."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05563,"Fear of the thing,” Maher murmurs, more to himself than to Omeir, “will be more powerful than the thing itself."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05564,"There is magic in this place, the owl seems to say. You just have to sit and breathe and wait and it will find you. He sits and breathes and waits and the Earth travels another thousand kilometers along its orbit. Lifelong knots deep inside the boy loosen."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05565,"Movies make you think civilization will end fast, like with aliens and explosions, but really it'll end slow. Ours is already ending, it's just ending too slow for people to notice."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05566,"Almost overnight, the streets glow with meaning. She reads inscriptions on coins, on cornerstones and tombstones, on lead seals and buttress piers and marble plaques embedded into the defensive walls—each twisting lane of the city a great battered manuscript in its own right."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05567,"A library, no mater how humble or grand, is a series of sacred gateways. You pass through them and leave your own city behind; you journey through time and space; and for a little while, you escape the confines of your own circumstances. Each of us who are readers gets to live through a multiplicity of eras; we get to tiptoe through, to borrow Jorge Luis Borge’s phrase, ‘a growing, dizzying net of divergent, convergent, and parallel times."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05568,...in time you will come to believe that there is nobility in being part of an enterprise that will outlast you.
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05569,You can cling to this world for a thousand years and still be plucked out of it in a breath.
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05570,Time: the most violent war engine of all.
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05571,"To rescue one phrase from oblivion? It's the most exciting thing, I can't tell you: it's like digging up one end of a buried wire and realizing that it's connected to someone eighteen centuries dead."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05572,"The premier achievement of human history, they said, the triumph of memory over the obliterating forces of destruction and erasure."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05573,"All her life she has been led to believe that she is a child born at the end of things: the empire, the era, the reign of men on earth. But in the glow of the scribes' enthusiasm, she senses that in a city like Urbino, beyond the horizon, other possibilities might exist, and in daydreams she takes flight across the Aegean, through her spread fingers, until she alights in a bright clean palace, full of Justice and Moderation, its rooms lined with books, free to anyone who can read them."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05574,"All my life, he thinks, my best companions cannot speak the same language as me."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05575,It’s not so much the contents of the song. It’s that the song was still being sung.
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05576,Anna remembers something Licinius said: that a story is a way of stretching time.
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05577,"Boil the words you already know down to their bones,' Rex [Browning] says, 'and usually you find the ancients sitting there at the bottom of the pot, staring back up."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05578,"Stranger, whoever you are, open this to learn what will amaze you."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05579,"Each sign signifies a sound, and to link sounds is to form words, and to link words is to construct worlds."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05580,"All her life she has been told to believe, tried to believe, wanted to believe, that if a person suffers long enough, works hard enough, then she—like Ulysses washing up on the shore of the kingdom of brave Alcinous—will ultimately reach a better place. That through suffering we are redeemed. That by dying we live again. And maybe in the end that’s the easier thing. But Anna is tired of suffering. And she is not ready to die."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05581,"You remembers, boy,” he says, “there is no bad weathers, only bad clothes."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05582,"Of all the mad things we humans do, Rex once told him, there might be nothing more humbling, or more noble, than trying to translate the dead languages. We don’t know how the old Greeks sounded when they spoke; we can scarcely map their words onto ours; from the very start, we’re doomed to fail. But in the attempt, Rex said, in trying to drag something across the river from the murk of history into our time, into our language: that was, he said, the best kind of fool’s errand. Zeno sharpens his pencil and tries again."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05583,"...he that knows all that Learning ever writ, knows only this--that he knows nothing yet.[Antonius Diogenes, trans. by Zeno Ninis]"
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05584,"Turn a page, walk the lines of sentences: the singer steps out, and conjures a world of color and noise in the space inside your head."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05585,To select one word was to commit to a single path when the maze contains thousands.
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05586,a book—is a resting place for the memories of people who have lived before. A way for the memory to stay fixed after the soul has traveled on.
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05587,"Day after day, the tall Italian said, year after year, time wipes the old books from the world."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05588,"When all you have is a shard of papyrus with a few words on it,” Rex says, “or a single line quoted in somebody else’s text, the potential of what’s lost haunts you. It’s like the boys who died in Korea. We grieve them the most because we never saw the men they would become.” Zeno thinks of his father: how much easier it was to be a hero when you no longer walked the earth."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05589,"Sometimes,” he says, “when I feel like working, I just sit and wait for the feeling to pass,"
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05590,"Boats motor back and forth, unzipping the water."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05591,"In the scullery she says, if the end of the world is upon them, they might as well finish all the wine."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05592,"Ninth-grade U.S. history: Not to hurt feelings but that chapter you assigned? That was all “Columbus is great,” “The Indians sure loved Thanksgiving,” “Let’s brainwash everyone.” I found way better stuff at the library,"
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05593,"Even if you don’t believe in it, I do. Otherwise what’s it all been for?"
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05594,there comes a point where the pressure of relentless fear perforates rationality and the body moves independently of the mind.
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05595,"Grandfather said that the ocean was large enough to contain every dream everyone had ever dreamed, but until now he had no comprehension of what that meant."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05596,"You needn't have it memorized, dear That's what the library is for."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05597,"You fly all the way to the end of the stars, and all you want ·[to do is go home…]·"
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05598,"Hatred, Omeir sees, is contagious, spreading through the ranks like a disease. Already, three weeks into the siege, some of the men fight no longer for God or the sultan or plunder but out of a fearful rage. Kill them all. Get this over with."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05599,"Anna imagines Antonius Diogenes, whoever he was, setting knife to quill, quill to ink, ink to scroll, placing one more barricade in front of Aethon, stretching time for another purpose: to detain his niece in the living world for a little longer."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05600,"You are lost, if you forget that the fruits of the earth belong equally to us all, and the earth itself to nobody!"
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05601,"Konstance is old enough to understand that Father’s farm is unlike the other three: those spaces are tidy and systematic, while Farm 4 is a tangle of wires and sensors, grow-racks skewed at every angle, individual trays crowded with different species, creeping thyme beside radishes beside carrots. Long white hairs sprout from Father’s ears; he’s at least two decades older than the other children’s fathers; he’s always growing inedible flowers just to see what they look like and muttering in his funny accent about compost tea. He claims he can taste whether a lettuce has lived a happy life; he says one sniff of a properly grown chickpea can whisk him three zillion kilometers back to the fields who grew up in Scheria."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05602,"There are many people in this world,” Himerius says, “who do not care to what purposes their engines are put. So long as they are paid."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05603,"Part fairy tale, part fool’s errand, part science-fiction, part utopian satire, Photios’s epitome suggests it could have been one of the more fascinating of the ancient novels."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05604,"One in the morning,"" Bunny says, ""and one at night. Sometimes, kid, we all need a little help shoveling the shit."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05605,"On Earth, when I was a boy, most everybody got sick. Rashes, funny little fevers. All the unmodified people got sick every now and then. It's part of being human."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05606,Each book is a door; a gateway to another time.
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05607,"I have heard,"" Omeir says, ""that this is a place that protects books."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05608,"We are the bridge generations, the intermediaries, the ones who do the work so that our descendants will be ready."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05609,"You’ll die of old age, we’ll die of climate change."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05610,"Reading about declining owl populations led him to deforestation which led to soil erosion which led to ocean pollution which led to coral bleaching, everything warming, melting, and dying faster than scientists predicted, every system on the planet connected by countless invisible threads to every other:"
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05611,"the littlest streams, high on the mountain, small enough to dam with your hand, would eventually join the river, and that the river, though quick and violent, was but a drop in the eye of the great Ocean that encircles all the lands of the world, and contains every dream everyone has ever dreamed."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05612,"The goddess tells the lonely sailor not to be afraid, that it is better to be brave in all things"
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05613,"Some swivel in Seymour has locked: he can no longer see the planet as anything but dying, and everyone around him complicit in the killing. The people in the Eden’s Gate houses fill their trash cans and pilot SUVs between their two homes and play music on Bluetooth speakers in their backyards and tell themselves they’re good people, conducting honorable, decent lives, living the so-called dream—as though America were an Eden where God’s warm benevolence fell equally across every soul. When in truth they’re participating in a pyramid scheme that’s chewing up everybody at the bottom, people like his mother. And they’re all congratulating themselves for it."
top2021:CLOUD CUCKOO LAND|Anthony Doerr,q05614,The days lengthen and the library roof drips and the big ponderosas standing over the cabin unload snow with great whumps that sound to the boy like Hermes plunging in his golden sandals down from Olympus on another errand from the gods.
