sample_id,quote_id,quote_text
top2021:HARLEM SHUFFLE|Colson Whitehead,q06274,"Crooked world, straight world, same rules - everybody had a hand out for the envelope."
top2021:HARLEM SHUFFLE|Colson Whitehead,q06275,"I'm an entrepreneur."" ""Entrepreneur?"" Pepper said the last part like manure. ""That's just a hustler who pays taxes."
top2021:HARLEM SHUFFLE|Colson Whitehead,q06276,"Everyone had secret corners and alleys that no one else saw—what mattered were your major streets and boulevards, the stuff that showed up on other people’s maps of you."
top2021:HARLEM SHUFFLE|Colson Whitehead,q06277,"The way he saw it, living taught you that you didn't have to live the way you'd been taught to live. You came from one place but more important was where you decided to go."
top2021:HARLEM SHUFFLE|Colson Whitehead,q06278,"You have to have an inside you, she used to say, and an outside you. Ain't nobody's business who you are really, so it's up to you what you gave them."
top2021:HARLEM SHUFFLE|Colson Whitehead,q06279,Carney was only slightly bent when it came to being crooked…
top2021:HARLEM SHUFFLE|Colson Whitehead,q06280,"What had started it, the mess this week? A white cop shot an unarmed black boy three times and killed him. Good old American know-how on display: We do marvels, we do injustice, and our hands were always busy."
top2021:HARLEM SHUFFLE|Colson Whitehead,q06281,"If you believed in the holy circulation of envelopes, everything that went down happened because a man took an envelope and didn’t do his job. An envelope is an envelope. Disrespect the order and the whole system breaks down."
top2021:HARLEM SHUFFLE|Colson Whitehead,q06282,"Strivers grasped for something better-and crooks schemes about how to manipulate the present system. The world as it might be versus the world as it was. But perhaps Carney was being too stark. Plenty of crooks were strivers, and plenty of strivers bent the law."
top2021:HARLEM SHUFFLE|Colson Whitehead,q06283,"Alma used the word settled the way less genteel people used motherfucker, as a chisel to pry open a particular feeling."
top2021:HARLEM SHUFFLE|Colson Whitehead,q06284,Part of moving up in the world is realizing how much shit you used to eat.
top2021:HARLEM SHUFFLE|Colson Whitehead,q06285,"One night Freddie said the stars made him feel small. The boys’ constellation knowledge stalled after the Dippers and the Belt, but you didn’t have to know what something was called to know how it made you feel, and looking at the stars didn’t make Carney feel small or insignificant, the stars made him feel recognized. They had their place and he had his. We all have our station in life—people, stars, cities—and even if no one looked after Carney and no one suspected him capable of much at all, he was going to make himself into something."
top2021:HARLEM SHUFFLE|Colson Whitehead,q06286,"Black people always found a way in the most miserable circumstances. If we didn't, we'd have been exterminated by the white man long ago."
