sample_id,quote_id,quote_text
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06162,"There was something very special, but it wasn't inside Josie. It was inside those who loved her."
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06163,"Until recently, I didn’t think that humans could chooseloneliness. That there were sometimes forces more powerful than the wish to avoid loneliness."
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06164,"Hope,’ he said. ‘Damn thing never leaves you alone."
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06165,"But then suppose you stepped into one of those rooms,’ he said, ‘and discovered another room within it. And inside that room, another room still. Rooms within rooms within rooms. Isn’t that how it might be, trying to learn Josie’s heart? No matter how long you wandered through those rooms, wouldn’t there always be others you’d not yet entered?"
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06166,"Sometimes,’ she said, ‘at special moments like that, people feel a pain alongside their happiness. I’m glad you watch everything so carefully, Klara."
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06167,Perhaps all humans are lonely. At least potentially.
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06168,They fought as though the most important thing was to damage each other as much as possible.
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06169,"Our generation still carry the old feelings. A part of us refuses to let go. The part that wants to keep believing there’s something unreachable inside each of us. Something that’s unique and won’t transfer. But there’s nothing like that, we know that now. You know that. For people our age it’s a hard one to let go."
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06170,"At the same time, what was becoming clear to me was the extent to which humans, in their wish to escape loneliness, made maneuvers that were very complex and hard to fathom, and I saw it was possible that the consequences of Morgan’s Falls had at no stage been within my control."
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06171,people often felt the need to prepare a side of themselves to display to passers-by – as they might in a store window – and that such a display needn’t be taken so seriously
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06172,"I think I hate Capaldi because deep down I suspect he may be right. That what he claims is true. That science has now proved beyond doubt there’s nothing so unique about my daughter, nothing there our modern tools can’t excavate, copy, transfer. That people have been living with one another all this time, centuries, loving and hating each other, and all on a mistaken premise. A kind of superstition we kept going while we didn’t know better."
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06173,In the morning when the Sun returns. It’s possible for us to hope.
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06174,"The heart you speak of,’ I said. ‘It might indeed be the hardest part of Josie to learn. It might be like a house with many rooms. Even so, a devoted AF, given time, could walk through each of those rooms, studying them carefully in turn, until they became like her own home."
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06175,"It must be nice sometimes to have no feelings. I envy you.’ I considered this, then said: ‘I believe I have many feelings. The more I observe, the more feelings become available to me.’ She laughed unexpectedly, making me start. ‘In that case,’ she said, ‘maybe you shouldn’t be so keen to observe."
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06176,"I suppose I’m saying Josie and I will always be together at some level, some deeper one, even if we go out there and don’t see each other any more. I can’t speak for her. But once I’m out there, I know I’ll always keep searching for someone just like her. At least like the Josie I once knew. So it wasn’t ever a deception, Klara. Whoever that was you were dealing with back then, if they could see right into my heart, and right into Josie’s, they’d know you weren’t trying to pull some fast one."
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06177,"Perhaps they hadn’t met for a long time. A long, long time. Perhaps when they last held each other like that, they were still young.’ ‘Do you mean, Manager, that they lost each other?’ She was quiet for another moment. ‘Yes,’ she said, eventually. ‘That must be it. They lost each other. And perhaps just now, just by chance, they found each other again."
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06178,"So I know just how much it matters to you that people who love one another are brought together, even after many years."
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06179,"Then let me ask you something else. Let me ask you this. Do you believe in the human heart? I don’t mean simply the organ, obviously. I’m speaking in the poetic sense. The human heart. Do you think there is such a thing? Something that makes each of us special and individual? And if we just suppose that there is. Then don’t you think, in order to truly learn Josie, you’d have to learn not just her mannerisms but what’s deeply inside her? Wouldn’t you have to learn her heart?"
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06180,"Of course, a human heart is bound to be complex. But it must be limited."
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06181,"But then I behaved badly towards myself, towards everybody. You mustn’t feel singled out. My awfulness was universally distributed."
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06182,"Josie and I really loved each other, that was the truth at the time. No one can claim you misled or tricked them. But now we’re no longer kids, we have to wish each other the best and go our different ways. It couldn’t have worked out, me going to college, trying to compete with all those lifted kids. I’ve got my own plans now, and that’s how it should be. But that was no lie, Klara. And in a funny way, it still isn’t a lie now."
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06183,It’s not faith you need. Only rationality.
top2021:KLARA AND THE SUN|Kazuo Ishiguro,q06184,I wish I could go out and walk and run and skateboard and swim in lakes. But I can’t because my mother has Courage. So instead I get to stay in bed and be sick. I’m glad about this. I really am.
