sample_id,quote_id,quote_text
top2021:THE LINCOLN HIGHWAY|Amor Towles,q05463,"Wouldn’t it have been wonderful, thought Woolly, if everybody’s life was like a piece in a jigsaw puzzle. Then no one person’s life would ever be an inconvenience to anyone else’s. It would just fit snugly in its very own, specially designed spot, and in so doing, would enable the whole intricate picture to become complete."
top2021:THE LINCOLN HIGHWAY|Amor Towles,q05464,"—It wasn’t a bother at all, the old gent replied, gesturing toward his bed. I was only reading. Ah, I thought, seeing the corner of the book poking out from the folds of his sheets. I should have known. The poor old chap, he suffers from the most dangerous addiction of all."
top2021:THE LINCOLN HIGHWAY|Amor Towles,q05465,And I do it because it’s unnecessary. For what is kindness but the performance of an act that is both beneficial to another and unrequired?
top2021:THE LINCOLN HIGHWAY|Amor Towles,q05466,"The funny thing about a picture, thought Woolly, the funny thing about a picture is that while it knows everything that’s happened up until the moment it’s been taken, it knows absotively nothing about what will happen next. And yet, once the picture has been framed and hung on a wall, what you see when you look at it closely are all the things that were about to happen. All the un-things. The things that were unanticipated. And unintended. And unreversible."
top2021:THE LINCOLN HIGHWAY|Amor Towles,q05467,"If you take a trait that by all appearances is a merit—a trait that is praised by pastors and poets, a trait that we have come to admire in our friends and hope to foster in our children—and you give it to some poor soul in abundance, it will almost certainly prove an obstacle to their happiness. Just as someone can be too smart for their own good, there are those who are too patient for their own good, or too hardworking."
top2021:THE LINCOLN HIGHWAY|Amor Towles,q05468,"in your time you shall do wrong unto others and others shall do wrong unto you. And these opposing wrongs will become your chains. The wrongs you have done unto others will be bound to you in the form of guilt, and the wrongs that others have done unto you in the form of indignation. The teachings of Jesus Christ Our Savior are there to free you from both. To free you from your guilt through atonement and from your indignation through forgiveness. Only once you have freed yourself from both of these chains may you begin to live your life with love in your heart and serenity in your step."
top2021:THE LINCOLN HIGHWAY|Amor Towles,q05469,How easily we forget-we in the business of storytelling- that life was the point all along.
top2021:THE LINCOLN HIGHWAY|Amor Towles,q05470,those who are given something of value without having to earn it are bound to squander it.
top2021:THE LINCOLN HIGHWAY|Amor Towles,q05471,I thought to myself that there are surely a lot of big things in America. The Empire State Building and the Statue of Liberty are big. The Mississippi River and the Grand Canyon are big. The skies over the prairie are big. But there is nothing bigger than a man’s opinion of himself.
top2021:THE LINCOLN HIGHWAY|Amor Towles,q05472,"And from all of these pages upon pages, one thing I have learned is that there is just enough variety in human experience for every single person in a city the size of New York to feel with assurance that their experience is unique. And this is a wonderful thing. Because to aspire, to fall in love, to stumble as we do and yet soldier on, at some level we must believe that what we are going through has never been experienced quite as we have experienced it."
