sample_id,quote_id,quote_text
top2021:WISH YOU WERE HERE|Jodi Picoult,q05927,Busy is just a euphemism for being so focused on what you don’t have that you never notice what you do. It’s a defense mechanism. Because if you stop hustling—if you pause—you start wondering why you ever thought you wanted all those things.
top2021:WISH YOU WERE HERE|Jodi Picoult,q05928,"You can't plan your life, Finn,' I say quietly, 'Because then you have a plan. Not a life."
top2021:WISH YOU WERE HERE|Jodi Picoult,q05929,"You cannot trust perception. Falling, at first, feels like flying."
top2021:WISH YOU WERE HERE|Jodi Picoult,q05930,"Well, I know why you love art, even if you don’t,” Kitomi continues, as if I haven’t spoken. “Because art isn’t absolute. A photograph, that’s different. You’re seeing exactly what the photographer wanted you to see. A painting, though, is a partnership. The artist begins a dialogue, and you finish it.” She smiles. “And here’s the incredible part—that dialogue is different every time you view the art. Not because anything changes on the canvas—but because of what changes in you."
top2021:WISH YOU WERE HERE|Jodi Picoult,q05931,"There are two ways of looking at walls. Either they are built to keep people you fear out or they are built to keep people you love in. Either way, you create a divide."
top2021:WISH YOU WERE HERE|Jodi Picoult,q05932,"When you can’t see light at the end of the tunnel, it’s hard to remember to keep going."
top2021:WISH YOU WERE HERE|Jodi Picoult,q05933,"Grief, it turns out, is a lot like a one-sided video conversation on an iPad. It’s the call with no response, the echo of affection, the shadow cast by love."
top2021:WISH YOU WERE HERE|Jodi Picoult,q05934,I learned the hard way that you shouldn't stay with someone because of your past together - what matters more is if you want the same things in the future.
top2021:WISH YOU WERE HERE|Jodi Picoult,q05935,"According to Darwin’s Origin of Species, it is not the most intellectual of the species that survives; it is not the strongest that survives; but the species that survives is the one that is able best to adapt and adjust to the changing environment in which it finds itself. —Leon C. Megginson"
top2021:WISH YOU WERE HERE|Jodi Picoult,q05936,"The point is, if someone abandons you, it may be less about you and more about them."
top2021:WISH YOU WERE HERE|Jodi Picoult,q05937,"Now, I’m wondering why those were ever even goals. We don’t need those things to feel whole. We need to wake up in the morning. We need our bodies to function. We need to enjoy a meal. We need a roof over our head. We need to surround ourselves with people we love. We need to take the wins in a much smaller way."
top2021:WISH YOU WERE HERE|Jodi Picoult,q05938,Trying to figure out what happened to me isn’t important. It’s what I do with what I’ve learned that counts.
top2021:WISH YOU WERE HERE|Jodi Picoult,q05939,Nobody is guaranteed tomorrow—I realize that viscerally now—but that doesn’t keep us from feeling cheated when it’s yanked away.
top2021:WISH YOU WERE HERE|Jodi Picoult,q05940,Other things that leave you breathless: love so big that it tumbles you like a wave.
top2021:WISH YOU WERE HERE|Jodi Picoult,q05941,"That was how I learned that the world changes between heartbeats; that life is never an absolute, but always a wager."
top2021:WISH YOU WERE HERE|Jodi Picoult,q05942,"In Japan, there are monuments called tsunami stones—giant tablets on the coastline that warn descendants of earlier settlers not to build their homes past a certain point. They date back to 1896, when two tsunamis killed 22,000 people. The Japanese believe that it takes three generations to forget. Those who experience a trauma pass it along to their children and their grandchildren, and then the memory fades. To the survivors of a tragedy, that’s unthinkable—what’s the point of living through something terrible if you cannot convey the lessons you’ve learned? Since nothing will ever replace all you’ve lost, the only way to make meaning is to make sure no one else goes through what you did. Memories are the safeguards we use to keep from making the same mistakes."
