sample_id,quote_id,quote_text
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06656,"The wonder is that you could start life with nothing, end with nothing, and lose so much in between."
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06657,"There’s this thing that happens, let’s say at school where a bunch of guys are in the bathroom, at the urinal, laughing about some dork that made an anus of himself in gym. You’re all basically nice guys, right? You know right from wrong, and would not in a million years be brutal to the poor guy’s face. And then it happens: the dork was in the shitter. He comes out of the stall with this look. He heard everything. And you realize you’re not really that nice of a guy. This is what I would say if I could, to all smart people of the world with their dumb hillbilly jokes: We are right here in the stall. We can actually hear you."
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06658,"a good story doesn’t just copy life, it pushes back on it."
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06659,"At the time, I thought my life couldn’t get any worse. Here’s some advice: Don’t ever think that."
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06660,"I got up every day thinking the sun was out there shining, and it could just as well shine on me as any other human person."
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06661,Never be mean in anything. Never be false. Never be cruel. I can always be hopeful of you.
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06662,It’s safer knowing more about people than they know about you.
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06663,"I think most of humankind would agree, the hard part of high school is the people."
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06664,"He was quiet, holding that string and kite with everything he had. The way he looked. Eyes raised up, body tethered by one long thread to the big stormy sky, the whole of him up there with his words, talking to whoever was listening. I’ve not seen a sight to match it. No bones of his had ever been shoved in a feed bag. The man was a giant."
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06665,Sunday school stories are just another type of superhero comic. Counting on Jesus to save the day is no more real than sending up the Batman signal.
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06666,Certain pitiful souls around here see whiteness as their last asset that hasn’t been totaled or repossessed.
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06667,"Keeping secrets from young ears only plants seeds in between them,"
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06668,"We both lay back down, and she looked at me in the eyes, and we were sad together for a while. I’ll never forget how that felt. Like not being hungry."
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06669,"I said probably they were just scared he was going to put ideas in our heads. She smiled. “Imagine that. A teacher, putting ideas in kids’ heads."
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06670,"People love to believe in danger, as long as it's you in harm's way, and them saying bless your heart."
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06671,"I felt the kindliness of the moss, which is all over everywhere once you get out of the made world. God’s flooring. All the kinds, pillowy, pin-cushiony, shag carpet. Gray sticks of moss with red heads like matchsticks. Some tiny dead part of me woke up to the moss and said, Man. Where you been."
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06672,"It hit me pretty hard, how there’s no kind of sad in this world that will stop it turning. People will keep on wanting what they want, and you’re on your own."
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06673,"All God’s children have to take a shit, but you’d never know it from the way they treat the ones who have to clean it up."
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06674,"I've tried in this telling, time and time again, to pinpoint the moment where everything starts to fall apart. Everything, meaning me. But there's also the opposite, where some little nut cracks open inside you and a tree starts to grow. Even harder to nail. Because that thing's going to be growing a long time before you notice. Years maybe. then one day you say, Huh, that little crack between my ears has turned into this whole damn tree of wonderful. 515"
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06675,I can still feel in my bones how being mad was the one thing holding me together.
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06676,But time passed and eventually my mind had only one thought in it as regards childhood. For any kid that gets that as an option: take that sweet thing and run with it. Hide. Love it so hard. Because it's going to fucking leave you and not come back.
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06677,"Nobody needed to get all that educated for being a miner, so they let the schools go to rot. And they made sure no mills or factories got in the door. Coal only. To this day, you have to cross a lot of ground to find other work. Not an accident, Mr. Armstrong said, and for once we believed him, because down in the dark mess of our little skull closets some puzzle pieces were clicking together and our world made some terrible kind of sense. The dads at home drinking beer in their underwear, the moms at the grocery with their SNAP coupons. The army recruiters in shiny gold buttons come to harvest their jackpot of hopeless futures. Goddamn. The trouble with learning the backgrounds is that you end up wanting to deck somebody, possibly Bettina Cook and the horse she rode in on. (Not happening. Her dad being head of the football boosters and major donor.) Once upon a time we had our honest living that was God and country. Then the world turns and there’s no God anymore, no country, but it’s still in your blood that coal is God’s gift and you want to believe. Because otherwise it was one more scam in the fuck-train that’s railroaded over these mountains since George Washington rode in and set his crew to cutting down our trees. Everything that could be taken is gone. Mountains left with their heads blown off, rivers running black. My people are dead of trying, or headed that way, addicted as we are to keeping ourselves alive. There’s no more blood here to give, just war wounds. Madness. A world of pain, looking to be killed."
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06678,But the wicked have a different head for numbers than most. Any bad they do will end up on the side of never-mind. What’s done to them weighs double.
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06679,"You lie down with snakes, you get up with the urge to bite back. All I’m saying."
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06680,"Actual fact: you could make an entire second world out of what people throw away. The landfill is where I figured out one of my main philosophies, that everybody alive is basically in the process of trading out their old stuff for different stuff, day in day out."
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06681,"What’s an oxy, I’d asked. That November it was still a shiny new thing. OxyContin, God’s gift for the laid-off deep-hole man with his back and neck bones grinding like bags of gravel. For the bent-over lady pulling double shifts at Dollar General with her shot knees and ADHD grandkids to raise by herself. For every football player with some of this or that torn up, and the whole world riding on his getting back in the game. This was our deliverance. The tree was shaken and yes, we did eat of the apple."
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06682,"An older boy that never knew safety himself, trying to make us feel safe."
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06683,No credit given for all the extra miles that take you nowhere.
top2022:DEMON COPPERHEAD|Barbara Kingsolver,q06684,"I wanted to go home. Which was nowhere, but it's a feeling you keep having, even after that's no longer a place anymore. Probably if they dropped a bomb and there wasn't any food left on the planet, you'd still keep feeling hungry too."
