sample_id,quote_id,quote_text
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06582,"Whenever you feel afraid, just remember. Courage is the root of change - and change is what we're chemically designed to do. So when you wake up tomorrow, make this pledge. No more holding yourself back. No more subscribing to others' opinions of what you can and cannot achieve. And no more allowing anyone to pigeonhole you into useless categories of sex, race, economic status, and religion. Do not allow your talents to lie dormant, ladies. Design your own future. When you go home today, ask yourself what YOU will change. And then get started."
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06583,"(On religion) ""I think it lets us off the hook. I think it teaches us that nothing is really our fault; that something or someone else is pulling the strings; the ultimately, we're not to blame for the way things are; that to improve things, we should pray. But the truth is, we are very much responsible for the badness in the world. And we have the power to fix it."
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06584,"Sometimes I think,"" she said slowly, ""that if a man were to spend a day being a woman in America, he wouldn't make it past noon."
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06585,"Your days are numbered. Use them to throw open the windows of your soul to the sun,"
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06586,Courage is the root of change—and change is what we’re chemically designed to do.
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06587,"And as humans, we’re by-products of our upbringings, victims of our lackluster educational systems, and choosers of our behaviors. In short, the reduction of women to something less than men, and the elevation of men to something more than women, is not biological: it’s cultural. And it starts with two words: pink and blue. Everything skyrockets out of control from there.” Speaking"
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06588,No surprise. Idiots make it into every company. They tend to interview well.
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06589,"Because while musical prodigies are always celebrated, early readers aren’t. And that’s because early readers are only good at something others will eventually be good at, too. So being first isn’t special - it’s just annoying."
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06590,"I don’t have hopes,” Mad explained, studying the address. “I have faith.” He looked at her in surprise. “Well, that’s a funny word to hear coming from you.” “How come?” “Because,” he said, “well, you know. Religion is based on faith.” “But you realize,” she said carefully, as if not to embarrass him further, “that faith isn’t based on religion. Right?"
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06591,"Because while stupid people may not know they’re stupid because they’re stupid, surely unattractive people must know they’re unattractive because of mirrors."
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06592,some things needed to stay in the past because the past was the only place they made sense.
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06593,Imagine if all men took women seriously. Education would change. The workforce would revolutionize. Marriage counsellors would go out of business. Do you see my point?
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06594,Every day she found parenthood like taking a test for which she had not studied. The questions were daunting and there wasn’t nearly enough multiple choice.
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06595,"Take a moment for yourself,"" Harriet said, ""Every day.""""A Moment.""""A moment where YOU are your own priority. Just you. Not your baby, not your work, not your dead Mr. Evans, not your filthy house, not anything. Just you. Elizabeth Zott. Whatever you need, whatever you want, whatever you seek, reconnect with it in that moment."" She gave a sharp tug to her fake pearls. ""Then recommit."
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06596,"Humans need reassurance, they need to know others survived in hard times. And unlike other species which do a better job of learning from their mistakes, humans require constant threats and reminders to be nice."
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06597,"Chemistry is change and change is the core of your belief system. Which is good because that’s what we need more of—people who refuse to accept the status quo, who aren’t afraid to take on the unacceptable."
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06598,"The librarian is the most important educator in school. What she doesn’t know, she can find out. This is not an opinion; it’s a fact. Do not share this fact with Mrs. Mudford."
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06599,"On the other hand, wasn't that the very definitely of life? Constant adaptations brought about by a series of never-ending mistakes?"
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06600,"It’s just that we tend to treat pregnancy as the most common condition in the world—as ordinary as stubbing a toe—when the truth is, it’s like getting hit by a truck. Although obviously a truck causes less damage."
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06601,"before he realized that making her happy made him happy. Which, he thought, as he grabbed his tennis shoes, had to be the very definition of love."
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06602,"Elizabeth Zott held grudges too. Except her grudges were mainly reserved for a patriarchal society founded on the idea that women were less. Less capable. Less intelligent. Less inventive. A society that believed men went to work and did important things—discovered planets, developed products, created laws—and women stayed at home and raised children."
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06603,"Having a baby, Elizabeth realized, was a little like living with a visitor from a distant planet. There was a certain amount of give and take as the visitor learned your ways and you learned theirs, but gradually their ways faded and your ways stuck. Which she found regrettable. Because unlike adults, her visitor never tired of even the smallest discovery; always saw the magic in the extraordinary."
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06604,"It was a form of naïveté, he thought, the way she continued to believe that all it took to get through life was grit. Sure, grit was critical, but it also took luck, and if luck wasn’t available, then help. Everyone needed help. But maybe because she’d never been offered any, she refused to believe in it."
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06605,"I believe in a few things,” he corrected. “Mostly the things about not giving up hope, not giving in to darkness."
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06606,"When one is raised on a steady diet of sorrow, it’s hard to imagine that others might have had an even larger serving."
top2022:LESSONS IN CHEMISTRY|Bonnie Garmus,q06607,"For Elizabeth, cooking wasn’t some preordained feminine duty. As she’d told Calvin, cooking was chemistry. That’s because cooking actually is chemistry."
