sample_id,quote_id,quote_text
"top2022:TOMORROW, AND TOMORROW, AND TOMORROW|Gabrielle Zevin",q06796,"What is a game?"" Marx said. ""It's tomorrow, and tomorrow, and tomorrow. It's the possibility of infinite rebirth, infinite redemption. The idea that if you keep playing, you could win. No loss is permanent, because nothing is permanent, ever."
"top2022:TOMORROW, AND TOMORROW, AND TOMORROW|Gabrielle Zevin",q06797,"And what is love, in the end?"" Alabaster said. ""Except the irrational desire to put evolutionary competitiveness aside in order to ease someone else's journey through life?"
"top2022:TOMORROW, AND TOMORROW, AND TOMORROW|Gabrielle Zevin",q06798,"The way to turn an ex-lover into a friend is to never stop loving them, to know that when one phase of a relationship ends it can transform into something else. It is to acknowledge that love is both a constant and a variable at the same time."
"top2022:TOMORROW, AND TOMORROW, AND TOMORROW|Gabrielle Zevin",q06799,"We are all living, at most, half of a life, she thought. There was the life you lived, which consisted of the choices you made. And then, there was the other life, the one that was the things you hadn't chosen."
"top2022:TOMORROW, AND TOMORROW, AND TOMORROW|Gabrielle Zevin",q06800,"Why wouldn’t you tell someone you loved them? Once you loved someone, you repeated it until they were tired of hearing it. You said it until it ceased to have meaning. Why not? Of course, you goddamn did."
"top2022:TOMORROW, AND TOMORROW, AND TOMORROW|Gabrielle Zevin",q06801,"Sam's doctor said to him, ""The good news is that the pain is in your head.""But I am in my head, Sam thought."
"top2022:TOMORROW, AND TOMORROW, AND TOMORROW|Gabrielle Zevin",q06802,"If you're always aiming for perfection, you won't make anything at all."
"top2022:TOMORROW, AND TOMORROW, AND TOMORROW|Gabrielle Zevin",q06803,"This is what time travel is. It’s looking at a person, and seeing them in the present and the past, concurrently. And that mode of transport only worked with those one had known a significant time."
"top2022:TOMORROW, AND TOMORROW, AND TOMORROW|Gabrielle Zevin",q06804,But it is worth noting that to be good at something is not quite the same as loving it.
"top2022:TOMORROW, AND TOMORROW, AND TOMORROW|Gabrielle Zevin",q06805,"Sadie, do you see this? This is a persimmon tree! This is my favorite fruit."" Marx picked a fat orange persimmon from the tree, and he sat down on the now termite-free wooden deck, and he ate it, juice running down his chin. ""Can you believe our luck?"" Max said. ""We bought a house with a tree that has my actual favorite fruit!""Sam used to say that Marx was the most fortunate person he had ever met - he was lucky with lovers, in business, in looks, in life. But the longer Sadie knew Marx, the more she thought Sam hadn't truly understood the nature of Marx's good fortune. Marx was fortunate because he saw everything as if it were a fortuitous bounty. It was impossible to know - were persimmons his favorite fruit, or had hey just now become his favorite fruit because there they were, growing in his own backyard? He had certainly never mentioned persimmons before."
"top2022:TOMORROW, AND TOMORROW, AND TOMORROW|Gabrielle Zevin",q06806,"It isn’t a sadness, but a joy, that we don’t do the same things for the length of our lives."
"top2022:TOMORROW, AND TOMORROW, AND TOMORROW|Gabrielle Zevin",q06807,"There are no ghosts, but up here”—she gestured toward her head—“it’s a haunted house."
