sample_id,quote_id,quote_text
top2023:THE NIGHTINGALE|Kristin Hannah,q07671,"If I have learned anything in this long life of mine, it is this: in love we find out who we want to be; in war we find out who we are."
top2023:THE NIGHTINGALE|Kristin Hannah,q07672,"Men tell stories. Women get on with it. For us it was a shadow war. There were no parades for us when it was over, no medals or mentions in history books. We did what we had to during the war, and when it was over, we picked up the pieces and started our lives over."
top2023:THE NIGHTINGALE|Kristin Hannah,q07673,"But love has to be stronger than hate, or there is no future for us."
top2023:THE NIGHTINGALE|Kristin Hannah,q07674,I always thought it was what I wanted: to be loved and admired. Now I think perhaps I'd like to be known.
top2023:THE NIGHTINGALE|Kristin Hannah,q07675,"Love. It was the beginning and end of everything, the foundation and the ceiling and the air in between."
top2023:THE NIGHTINGALE|Kristin Hannah,q07676,"I know that grief, like regret, settles into our DNA and remains forever a part of us."
top2023:THE NIGHTINGALE|Kristin Hannah,q07677,Perhaps that’s why I find myself looking backward. The past has a clarity I can no longer see in the present.
top2023:THE NIGHTINGALE|Kristin Hannah,q07678,"Today’s young people want to know everything about everyone. They think talking about a problem will solve it. I come from a quieter generation. We understand the value of forgetting, the lure of reinvention."
top2023:THE NIGHTINGALE|Kristin Hannah,q07679,"I am a mother and mothers don’t have the luxury of falling apart in front of their children, even when they are afraid, even when their children are adults."
top2023:THE NIGHTINGALE|Kristin Hannah,q07680,It is easy to disappear when no one is looking at you.
top2023:THE NIGHTINGALE|Kristin Hannah,q07681,Tante Isabelle says it’s better to be bold than meek. She says if you jump off a cliff at least you’ll fly before you fall.
top2023:THE NIGHTINGALE|Kristin Hannah,q07682,"You’re not alone, and you’re not the one in charge,” Mother said gently. “Ask for help when you need it, and give help when you can. I think that is how we serve God—and each other and ourselves—in times as dark as these."
top2023:THE NIGHTINGALE|Kristin Hannah,q07683,You are my sunlight in the dark and the ground beneath my feet.
top2023:THE NIGHTINGALE|Kristin Hannah,q07684,It is not biology that determines fatherhood. It is love.
top2023:THE NIGHTINGALE|Kristin Hannah,q07685,But when he looked at her—and she looked at him—they both knew that there was something worse than kissing the wrong person. It was wanting to.
top2023:THE NIGHTINGALE|Kristin Hannah,q07686,"She wanted to bottle how safe she felt in this moment, so she could drink of it later when loneliness and fear left her parched."
top2023:THE NIGHTINGALE|Kristin Hannah,q07687,I belong to a generation that didn't expect to be protected from every danger. We knew the risks and took them anyway.
top2023:THE NIGHTINGALE|Kristin Hannah,q07688,"I had forgotten how gently time passes in Paris. As lively as the city is, there’s a stillness to it, a peace that lures you in. In Paris, with a glass of wine in your hand, you can just be."
top2023:THE NIGHTINGALE|Kristin Hannah,q07689,She was so tired of being strong.
top2023:THE NIGHTINGALE|Kristin Hannah,q07690,"She has a steel exterior, but it protects a candyfloss heart."
top2023:THE NIGHTINGALE|Kristin Hannah,q07691,A girl’s love for her father. Immutable. Unbearable but unbreakable.
top2023:THE NIGHTINGALE|Kristin Hannah,q07692,"If there’s one thing I never do, it’s stop."
top2023:THE NIGHTINGALE|Kristin Hannah,q07693,"know now what matters, and it is not what I have lost. It is my memories. Wounds heal. Love lasts."
top2023:THE NIGHTINGALE|Kristin Hannah,q07694,"With all the risks they were taking, love was probably the most dangerous choice of all."
top2023:THE NIGHTINGALE|Kristin Hannah,q07695,Don’t think about who they are. Think about who you are and what sacrifices you can live with and what will break you.
top2023:THE NIGHTINGALE|Kristin Hannah,q07696,"She wanted to say ""Don't leave me"", but she couldn't do it, not again. She was so tired of begging people to love her."
top2023:THE NIGHTINGALE|Kristin Hannah,q07697,"Vianne didn’t hesitate. She knew now that no one could be neutral—not anymore—and as afraid as she was of risking Sophie’s life, she was suddenly more afraid of letting her daughter grow up in a world where good people did nothing to stop evil, where a good woman could turn her back on a friend in need. She reached for the toddler, took him in her arms."
top2023:THE NIGHTINGALE|Kristin Hannah,q07698,"It doesn’t hurt, it’s just my body. They can’t touch my soul."
top2023:THE NIGHTINGALE|Kristin Hannah,q07699,I loved you both with all of my damaged heart.
top2023:THE NIGHTINGALE|Kristin Hannah,q07700,"She was wiser than she’d been before. Now she knew how fragile life and love were. Maybe she would love him for only this day, or maybe for only the next week, or maybe until she was an old, old woman. Maybe he would be the love of her life … or her love for the duration of this war … or maybe he would only be her first love. All she really knew was that in this terrible, frightening world, she had stumbled into something unexpected. And she would not let it go again."
top2023:THE NIGHTINGALE|Kristin Hannah,q07701,She realized that the landscape of a woman's soul could change as quickly as a world at war.
top2023:THE NIGHTINGALE|Kristin Hannah,q07702,We are all fragile. It’s the thing we learn in war
top2023:THE NIGHTINGALE|Kristin Hannah,q07703,Memories- even the best of them- faded.
top2023:THE NIGHTINGALE|Kristin Hannah,q07704,the failing of a student to learn is the failing of the teacher to teach.
top2023:THE NIGHTINGALE|Kristin Hannah,q07705,Why was it so easy for men in the world to do as they wanted and so difficult for women?
top2023:THE NIGHTINGALE|Kristin Hannah,q07706,"She wouldn't have understood how dark a side love could have, how hiding it was the kindest thing you could do sometimes."
top2023:THE NIGHTINGALE|Kristin Hannah,q07707,"At my age, I should not be afraid of anything—certainly not my own past."
top2023:THE NIGHTINGALE|Kristin Hannah,q07708,"Beauty was just another way to discount her, to not see her."
top2023:THE NIGHTINGALE|Kristin Hannah,q07709,A broken heart hurts as badly in wartime as in peace.
top2023:THE NIGHTINGALE|Kristin Hannah,q07710,"Asking yourself a question, that’s how resistance begins. And then ask that very question to someone else. —REMCO CAMPERT"
top2023:THE NIGHTINGALE|Kristin Hannah,q07711,"In his face, I see the whole of my life. I see a baby who came to me long after I’d given up … and a hint of the beauty I once had. I see … my life in his eyes."
top2023:THE NIGHTINGALE|Kristin Hannah,q07712,"Men tell stories,” I say. It is the truest, simplest answer to his question. “Women get on with it."
top2023:THE NIGHTINGALE|Kristin Hannah,q07713,"If love is a disease, I suppose I'm infected."
top2023:THE NIGHTINGALE|Kristin Hannah,q07714,"The lights are going out all over Europe; We shall not see them lit again in our lifetime. —SIR EDWARD GREY, ON WORLD WAR I"
top2023:THE NIGHTINGALE|Kristin Hannah,q07715,"I love you,” he said against her lips. “I love you, too,” she said but the words that always seemed so big felt small now. What was love when put up against war?"
top2023:THE NIGHTINGALE|Kristin Hannah,q07716,"I can’t help smiling at that. He is such an American, this son of mine. He thinks one’s life can be distilled to a narrative that has a beginning and an end. He knows nothing about the kind of sacrifice that, once made, can never be either fully forgotten or fully borne. And how could he? I have protected him from all of that."
top2023:THE NIGHTINGALE|Kristin Hannah,q07717,You will learn that a lot of things are possible.
top2023:THE NIGHTINGALE|Kristin Hannah,q07718,"He leans close and kisses each of my cheeks, whispering, ""I loved her all of my life,"" as he draws back."
top2023:THE NIGHTINGALE|Kristin Hannah,q07719,"She was crying for it all at last--for the pain and loss and fear and anger, for the war and what it had done to her and to all of them, for the knowledge of evil she could never shake, for the horror of where she'd been and what she'd done to survive."
top2023:THE NIGHTINGALE|Kristin Hannah,q07720,"Morning sunlight gave everything a golden, beautiful glow. “We were supposed to have time,” she whispered, feeling tears start. How often had she imagined a new beginning for her and Papa, for all of them? They would come together after the war, Isabelle and Vianne and Papa, learn to laugh and talk and be a family again. Now it would never happen; she would never get to know her father, never feel the warmth of his hand in hers, never fall asleep on the divan beside him, never be able to say all that needed to be said between them. Those words were lost, turned into ghosts that would drift away, unsaid. They would never be the family maman had promised."
top2023:THE NIGHTINGALE|Kristin Hannah,q07721,what good is safety if she has to grow up in a world where people disappear without a trace because they pray to a different God?
top2023:THE NIGHTINGALE|Kristin Hannah,q07722,"I don’t know why it’s so easy for me to forget how much I love her. We start fighting, and…” “Sisters."
top2023:THE NIGHTINGALE|Kristin Hannah,q07723,"I think, as this war goes on, we will all have to look more deeply. These questions are not about them, but about us."
top2023:THE NIGHTINGALE|Kristin Hannah,q07724,"But now it is time to look ahead, not behind."
top2023:THE NIGHTINGALE|Kristin Hannah,q07725,"A single diamond brooch was her only adornment (one good piece, ladies, and choose it well; everything makes a statement, nothing speaks quite so loudly as cheapness)."
top2023:THE NIGHTINGALE|Kristin Hannah,q07726,"We are outside again, walking, when he takes a bite and stops dead. ""Wow,"" he says after a minute. Then, ""Wow,"" again.I smile. Everyone remembers their first taste of Paris. This will be his."
top2023:THE NIGHTINGALE|Kristin Hannah,q07727,"Their kiss was sad, an apology almost, a reminder of what they’d once shared."
top2023:THE NIGHTINGALE|Kristin Hannah,q07728,"She looked at Vianne, and the universe of their friendship was in her eyes - the secrets they'd shared, the promises they'd made and kept, the dreams for their children that bound them as neatly as sisters."
top2023:THE NIGHTINGALE|Kristin Hannah,q07729,Isabelle had always simply reacted in her life. Someone left her behind; she followed. Someone told her she couldn't do something; she did it. Every barrier she turned into a gate.
top2023:THE NIGHTINGALE|Kristin Hannah,q07730,"She had this terrible, irrational fear that if she let go of him she would never touch him again and the thought of that was paralyzing."
top2023:THE NIGHTINGALE|Kristin Hannah,q07731,Sophie was too old for lies and too young for the truth.
top2023:THE NIGHTINGALE|Kristin Hannah,q07732,"He had the kind of smile that inhabited every part of his face-his eyes, his cheeks; there was even a dimple. I wear my heart on my sleeve, that smile said, and no woman could be unmoved by such transparency."
