sample_id,quote_id,quote_text
top2024:JAMES|Percival Everett,q08556,"At that moment the power of reading made itself clear and real to me. If I could see the words, then no one could control them or what I got from them. They couldn’t even know if I was merely seeing them or reading them, sounding them out or comprehending them. It was a completely private affair and completely free and, therefore, completely subversive."
top2024:JAMES|Percival Everett,q08557,"If you're not making mistakes, you're not learning."
top2024:JAMES|Percival Everett,q08558,Belief has nothing to do with truth.
top2024:JAMES|Percival Everett,q08559,"I had never seen a white man filled with such fear. The remarkable truth, however, was that it was not the pistol, but my language, the fact that I didn’t conform to his expectations, that I could read, that had so disturbed and frightened him."
top2024:JAMES|Percival Everett,q08560,I hated the world that wouldn’t let me apply justice without the certain retaliation of injustice.
top2024:JAMES|Percival Everett,q08561,"With my pencil, I wrote myself into being."
top2024:JAMES|Percival Everett,q08562,"There is no God, child. There’s religion but there’s no God of theirs. Their religion tells that we will get our reward in the end. However, it apparently doesn’t say anything about their punishment. But when we’re around them, we believe in God. Oh, Lawdy Lawd, we’s be believin’. Religion is just a controlling tool they employ and adhere to when convenient."
top2024:JAMES|Percival Everett,q08563,Which would frighten you more? A slave who is crazy or a slave who is sane and sees you clearly?
top2024:JAMES|Percival Everett,q08564,Dey takes the lies dey want and throws away the truths dat scares ’em.
top2024:JAMES|Percival Everett,q08565,"How strange a world, how strange an existence, that one’s equal must argue for one’s equality, that one’s equal must hold a station that allows airing of that argument, that one cannot make that argument for oneself, that premises of said argument must be vetted by those equals who do not agree."
top2024:JAMES|Percival Everett,q08566,"I did not look away. I wanted to feel the anger. I was befriending my anger, learning not only how to feel it, but perhaps how to use it."
top2024:JAMES|Percival Everett,q08567,"- You know, dull tools are much more dangerous than sharp ones.- I paused to admire his metaphor, but he continued."
top2024:JAMES|Percival Everett,q08568,"It’s a horrible world. White people try to tell us that everything will be just fine when we go to heaven. My question is, Will they be there? If so, I might make other arrangements."
top2024:JAMES|Percival Everett,q08569,"But my interest is in how these marks that I am scratching on this page can mean anything at all. If they can have meaning, then life can have meaning, then I can have meaning."
top2024:JAMES|Percival Everett,q08570,"I considered the northern white stance against slavery. How much of the desire to end the institution was fueled by a need to quell and subdue white guilt and pain? Was it just too much to watch? Did it offend Christian sensibilities to live in a society that allowed that practice? I knew that whatever the cause of their war, freeing slaves was an incidental premise and would be an incidental result."
top2024:JAMES|Percival Everett,q08571,"To fight in a war,' he said. 'Can you imagine?''Would that mean facing death every day and doing what other people tell you to do?' I asked.'I reckon.''Yes, Huck. I can imagine."
top2024:JAMES|Percival Everett,q08572,"I can tell you that I am a man who is cognizant of his world, a man who has a family, who loves a family, who has been torn from his family, a man who can read and write, a man who will not let his story be self-related, but self-written."
top2024:JAMES|Percival Everett,q08573,"We're slaves. We're not anywhere. Free person, he can be where he wants to be. The only place we can ever be is in slavery."
top2024:JAMES|Percival Everett,q08574,"I chose the word enemy, and still do, as oppressor necessarily supposes a victim."
top2024:JAMES|Percival Everett,q08575,"I saw the surface of her, merely the outer shell, and realized that she was mere surface all the way to her core."
top2024:JAMES|Percival Everett,q08576,"Way I sees it is dis. If’n ya gots to hab a rule to tells ya wha’s good, if’n ya gots to hab good ’splained to ya, den ya cain’t be good. If’n ya need sum kinda God to tells ya right from wrong, den you won’t never know."
top2024:JAMES|Percival Everett,q08577,"White people often spent time admiring their survival of one thing or another. I imagined it was because so often they had no need to survive, but only to live."
top2024:JAMES|Percival Everett,q08578,"The children said together, “And the better they feel, the safer we are.” “February, translate that.” “Da mo’ betta dey feels, da mo’ safer we be.” “Nice."
top2024:JAMES|Percival Everett,q08579,I am a sign. I am your future. I am James.
top2024:JAMES|Percival Everett,q08580,"I felt tired of the failures of men. They were always failing in the most basic ways, like looking down or away at the moment when they should be gutsy enough to meet your eye."
