sample_id,quote_id,quote_text
top2024:THE GOD OF THE WOODS|Liz Moore,q08622,"Rich people, thought Judy—she thought this then, and she thinks it now—generally become most enraged when they sense they’re about to be held accountable for their wrongs."
top2024:THE GOD OF THE WOODS|Liz Moore,q08623,"It was funny, she thought, how many relationships one could have with the same man, over the course of a lifetime together."
top2024:THE GOD OF THE WOODS|Liz Moore,q08624,"For knowing too much, rather than too little. For a woman, neither was an acceptable way to be."
top2024:THE GOD OF THE WOODS|Liz Moore,q08625,"We can do as we please, if we only learn not to care so much about what people think."
top2024:THE GOD OF THE WOODS|Liz Moore,q08626,the quickest way to make an attractive man ugly was to give him too much to drink.
top2024:THE GOD OF THE WOODS|Liz Moore,q08627,"Kissing someone - someone you want to kiss, I mean - is like living inside the best song you ever heard. It's the same feeling."
top2024:THE GOD OF THE WOODS|Liz Moore,q08628,"It was wonderful, thought Tracy, having friends like these, who seemed to see the parts of yourself you worked hardest to hide, and bring them into the light and celebrate them with a sort of tender ribbing that uplifted more than it put down."
top2024:THE GOD OF THE WOODS|Liz Moore,q08629,"How many times in her life has she said yes to a boy or a man just because it was the easiest thing to do? How many times has she let a man take what he wanted, instead of taking something for herself?"
top2024:THE GOD OF THE WOODS|Liz Moore,q08630,"Panic,' said T.J. But no one raised a hand.She explained. It came from the Greek god Pan: the god of the woods. He liked to trick people, to confuse and disorient them until they lost their bearings, and their minds."
top2024:THE GOD OF THE WOODS|Liz Moore,q08631,"Being humorless, she thought, was even worse than being dumb."
top2024:THE GOD OF THE WOODS|Liz Moore,q08632,"Do you ever worry that being born into money has stunted us?” Alice blanched. “I don’t mean anything by it,” said Delphine. “It’s just—lately I’ve been wondering whether having all of our material needs met from birth has been a positive aspect of our lives. It seems to me it may have resulted in some absence of yearning or striving in us. The quest, I like to call it. When one’s parents or grandparents have already quested and conquered, what is there for subsequent generations to do?"
top2024:THE GOD OF THE WOODS|Liz Moore,q08633,"If she believed in a God, it was in one who functioned something like Louise in this moment: rooting for her charges from afar, mourning alongside them when they were rejected, celebrating every small victory that came their way. She noticed the lonely ones, the ones at the edge of the crowd; she felt in her heart a sort of wild affection for them, wanted to go to them, to stand next to them and pull them tightly to her side; and yet she also knew that to intervene in this way would disrupt something sacred that—at twelve and thirteen and fourteen years old—they were learning about themselves and the world. And this, too, was how she thought of God."
top2024:THE GOD OF THE WOODS|Liz Moore,q08634,"To be a human is complex, and often painful; to be an animal is comfortingly simple and good."
top2024:THE GOD OF THE WOODS|Liz Moore,q08635,"Her voice, it seemed, had been continuously decrescendoing since birth, so that by age twelve, she could scarcely be heard."
top2024:THE GOD OF THE WOODS|Liz Moore,q08636,"It's the Van Laars, and families like them, who have always depended on others."
top2024:THE GOD OF THE WOODS|Liz Moore,q08637,"Usually, she was gifted in the art of shutting up. Not today."
top2024:THE GOD OF THE WOODS|Liz Moore,q08638,"But nobody asked her, and so she kept these wishes quiet, writing them only in journals, summoning them to the forefront of her mind whenever a birthday or a well or a star presented her with a formal opportunity to make them known to the universe."
top2024:THE GOD OF THE WOODS|Liz Moore,q08639,"ever notice how the children of rich people are never as smart as the parents? Never as ambitious, never as successful? You gotta have something to strive for in life."
top2024:THE GOD OF THE WOODS|Liz Moore,q08640,"To panic, said T.J., was to make an enemy of the forest. To stay calm was to be its friend."
top2024:THE GOD OF THE WOODS|Liz Moore,q08641,"Her father once told her casually that she was built like a plum on toothpicks, and the phrase was at once so cruel and so poetic that it clicked into place around her like a harness. • • •"
top2024:THE GOD OF THE WOODS|Liz Moore,q08642,"Later on, the ten seconds that pass between sight and inference will serve to her as evidence that time is a human construct, that it can slow or accelerate in the presence of emotion, of chemicals in the blood."
top2024:THE GOD OF THE WOODS|Liz Moore,q08643,"What she thought about most in the world in those days was Bear, and her all-consuming love for him. She sometimes felt that becoming a parent had revealed to her the existence of another dimension or another sense."
top2024:THE GOD OF THE WOODS|Liz Moore,q08644,"She read Walden out of sheer boredom and found herself annoyed by Thoreau: his self-regard, his tone of superiority, the way he doled out advice so obvious as to be insulting. Here was a rich person playing, thought Louise. There were poor people far more resourceful and self-sufficient than he was; they just had the grace and self-awareness not to brag about it."
