sample_id,quote_id,quote_text
top2025:BUCKEYE|Patrick Ryan,q10673,"What is it about time that confounds us? We spend it. We save it. We while it away. We waste it. We kill it. We complain about not having enough of it, or about having too much of it on our hands. We regret what we’ve done with it. We give it away. We want it back. We say “time and again” when something is bothering us and “it’s time” when something is supposed to end. Felix saw it so clearly: all we should ever want of time is more of it. Life was so simple when it was reduced to the barest of necessities: more time; more air; more Duke Ellington."
top2025:BUCKEYE|Patrick Ryan,q10674,"This is why old people seem distant and distracted, he thought. We aren’t living in the past; the past is living in us."
top2025:BUCKEYE|Patrick Ryan,q10675,"Over and over, she’d learned that what the dead most often conveyed was love and forgiveness. She could only conclude that these were the two most important things in the world—so important that people carried them into the afterlife for the sole purpose of being able to hand them back to the living."
top2025:BUCKEYE|Patrick Ryan,q10676,"The whole reason you build a bridge together is so the water can run under it, right? And not wash the two of you away? Sometimes one of you makes it flood, and then the water recedes."
top2025:BUCKEYE|Patrick Ryan,q10677,"The things that we love tell us what we are.’ If I ever get a tattoo, it’s going to be that, right across the top of my chest."
top2025:BUCKEYE|Patrick Ryan,q10678,"The wisdom that comes with age was needling, he found, because it brought the clarity of hindsight without the means to change anything."
top2025:BUCKEYE|Patrick Ryan,q10679,"Wasn’t it a fair measure of a person, what they did with their mistakes?"
top2025:BUCKEYE|Patrick Ryan,q10680,"Forgiveness wasn’t so great if you were the forgiver, Becky discovered. Forgiveness was supposed to be the high road, but it was low and bumpy—and long. Still,"
top2025:BUCKEYE|Patrick Ryan,q10681,"They were, Felix thought, like a plant that could only get as big as its pot, no shaping or pruning allowed. Still, a healthy plant."
top2025:BUCKEYE|Patrick Ryan,q10682,"Because they had to go to a wife, or to work, or to a war, or to that secret place of stoic brooding all men were given the key to at birth. Had any mother ever had the time for stoic brooding?"
top2025:BUCKEYE|Patrick Ryan,q10683,the person who was stupid enough to do what he’d done wasn’t smart enough to figure out how to fix it.
top2025:BUCKEYE|Patrick Ryan,q10684,Capitalism only works if people are out there selling what they don’t own.
top2025:BUCKEYE|Patrick Ryan,q10685,"Therein, she thought, lies the unbearable solitude of a lie: you’re alone when you tell it, alone when you live it, alone when you try to dismantle it."
top2025:BUCKEYE|Patrick Ryan,q10686,"When he read, heard, and watched the news, he wondered how many people were out there doing the same thing he was—scratching their heads as they tried to figure out how to prioritize their worries and confront their prejudices; drawing their own maps with their fingers crossed."
top2025:BUCKEYE|Patrick Ryan,q10687,"What was becoming clearer, however—and had probably always been clear to her mother—was that she was looking for understanding where there was none to be found. She was looking for understanding in an act of wanton selfishness. Forgiveness, the way her mother had described it, wasn’t something that shot up out of the soil; it had to creep in over time, like a vine."
top2025:BUCKEYE|Patrick Ryan,q10688,You want me to lie to her.” Roman’s eyes dollied forward under his brow. “If it means living in peace? Absolutely. That’s one of the reasons we have lies.
top2025:BUCKEYE|Patrick Ryan,q10689,"You'll find a squirrel who can sing 'Mairzy Do-ates' before you find a man who takes you seriously.""Her advice was to care less. Even better-don't care at all. She didn't mean about Cal, but about the things that came out of his mouth. ""You have to love him, and you have to let him love you back. But you don't have to care about every dumb things he says, because I can guarantee you, tomorrow he's going to say something just as dumb."" Becky's eyes widened at the irreverence of that. ""It's not just Cal,"" Ida said. ""It's all of them. They think they've got all the brains, but if they did, they wouldn't walk around sounding like idiots half the time. When you give him a hug, squeeze extra tight. That's what I do with your father. He says I only know how to give bear hugs, and I want to say, 'That's because I'm trying to squeeze the stupid out of you, honey!"
top2025:BUCKEYE|Patrick Ryan,q10690,"They disappeared into the task, shoveled themselves night and day into the furnace of their intention to keep Skip safe and healthy."
top2025:BUCKEYE|Patrick Ryan,q10691,"Calling this new weapon “a harnessing of the basic power of the universe” was, he knew, horseshit. It was a harnessing of the hubris of men."
top2025:BUCKEYE|Patrick Ryan,q10692,"Tell him only Goofus lays his bicycle down in the middle of people’s walkways. Gallant parks his bicycle to the side, and uses his kickstand."
top2025:BUCKEYE|Patrick Ryan,q10693,Everett just never knew what to do with someone else’s good news.
top2025:BUCKEYE|Patrick Ryan,q10694,Guilt was the sound a tree made when it fell in the forest
top2025:BUCKEYE|Patrick Ryan,q10695,The world will always bring you back into perspective
top2025:BUCKEYE|Patrick Ryan,q10696,Is the future knowable? Will our older selves be anything like our younger selves thought we would be? We can only find out by writing it down and then putting it out of our minds and letting life take its course. The unraveling of time should be mysterious
top2025:BUCKEYE|Patrick Ryan,q10697,"You know who apologizes? People who need to, for their own sake. People who are trying to do themselves a favor."
top2025:BUCKEYE|Patrick Ryan,q10698,"was step one in your experiment? This is my life, Felix. This is all I have.” She huffed out the breath she’d been holding. “I never stood a chance.” “That’s not true. It’s just not the case. We’ve stayed together. We’re still here, still us.” “We’ve never been us,” she said. “There is no us. We were both pretending."
