sample_id,quote_id,quote_text
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10402,"Bury my bones in the midnight soil, plant them shallow and water them deep, and in my place will grow a feral rose, soft red petals hiding sharp white teeth."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10403,"To the ones who hunger—for love, for time, or simply to be free"
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10404,"Some people keep their heart tucked so deep, they hardly know it’s there. But you, you have always worn it like a second skin. Open to the world. You feel it all. The love and pain. The joy and hope and sorrow. It will make your life harder, but it will also make it beautiful."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10405,"The hunger lives inside us all. To some it is an empty bucket. To others, a yawning pit. And yet, no matter how shallow or how deep it feels, here is a truth that will either drive you mad, or bring you peace.' He sits forward. 'There is no filling it. You will never be sated. It does not matter whether you drink a carafe or drain a city. The hunger will not ease."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10406,"Death comes, and sometimes it is kind, and often it is cruel, and very rarely it is welcome. But it comes all the same."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10407,"Careful. In nature, beauty is a warning. The pretty ones are often poisonous."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10408,"The world will try to make you small. It will tell you to be modest, and meek. But the world is wrong. You should get to feel and love and live as boldly as you want."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10409,You are the kind of bloom that thrives in any soil.
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10410,"What is the point, she thinks, of loving something you are doomed to lose? Of holding on to someone who cannot hold on to you?"
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10411,"But María has known, all her life, that she is not meant for common paths, for humble houses and modest men. If she must walk a woman's road then it will take her somewhere new."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10412,And how is a miracle different from a spell? Who is to say the saint was not a witch?
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10413,"Stories matter, Alice. When you live long enough, they're all you have."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10414,"and it drives her mad, the idea that the shape of her body determines the shape her life must take. That her beauty is something she is expected to pass on instead of keep."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10415,"But you cannot have what you want until you know what you want. And once you do know,” she adds, “it’s only a matter of what you’re willing to do to get it."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10416,"Never walk alone at night, they tell you, if you're a girl.And it isn't fair.Because the night is when the world is quiet.The night is when the air is clear. The night is wild and welcoming and Alice lets her head fall back, until all she sees is the sky, not black, as it should be, given the time, but a twisting tapestry of blue."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10417,"Death is a kind of freedom, after all."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10418,"And here is the awful thing about belief. It is a current, like compulsion. Hard to forge when it goes against your will, but easy enough when it carries you the way you want to go."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10419,"Why does Charlotte stay? That is like asking—why stay inside a house on fire? Easy to say when you are standing on the street, a safe distance from the flames. Harder when you are still inside, convinced you can douse the blaze before it spreads, or rushing room to room, trying to save what you love before it burns."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10420,"A name is like a dress. It might be by nature pretty or plain, but it is the person wearing it who matters most."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10421,"From that moment on she insisted she would only read romance, as if love and horror could not go hand-in-hand"
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10422,"Sixty minutes to an hour. Twenty-four hours to a day. These are mortal instruments, for mortal lives. But when you live forever, time is something far less constant. When you are happy, a decade rushes by.When you are sad, a minute crawls.When you are lonely and afraid, time seems to lose all meaning. Blink, and a year is gone. Blink, and it has only been a night. Only, it is not a life at all. It is a prison sentence."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10423,"Is it life,” he counters, “if there is never death to balance it? Or is its brevity what makes it beautiful?” The words spill out in such a practiced way, she’s sure he’s made the point before."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10424,"She looked at her life and found it small. Saw the road that lay ahead, and there were no curves, no bends; it ran straight and narrow all the way to its end."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10425,"The highest cards have men on them.” María can see that. There are men holding clubs. Men holding swords. Men holding coins. Men holding cups. “Where are the women?” she asks, and Ysabel only laughs, as if it were a joke."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10426,the strange mix of pleasure and grief that came with finishing a book.
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10427,"And as she did, she told her daughter what it meant to be a wife. Gentle. Loving. Obedient. Words that made María tense. And, as if her mother could feel her stiffening, she leaned close and said, “You will learn, it is better to bend than to break.” María stared into the hearth. “Why should I be the one who bends?"
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10428,More and more she thinks of cutting it off. Her hair. His hand. Depending on the day.
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10429,"And there it is, that feeling the men have tried and failed to stir in her, that heady, ground-tipping mix of hope and fear, the hunger to move closer, and to shrink away."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10430,"Anger and resentment are the worst. They’re like rocks in your pockets. Too many, and you’ll drown."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10431,"She didn’t know it then, but it turns out a soul is what makes the sun feel warm against your skin, what gives food taste, what makes you feel full. “Still, the girl told herself it was worth it. After all, she had the woman’s love, and that was enough. That would always be enough."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10432,"She swallows. “Isn’t it lonely?” “It doesn’t have to be. After all, loneliness is just like us,” says Ezra. “It has to be invited in."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10433,"one of those grim reminders that your life is small and the world is big, and even when it feels like it’s falling down, it’s only falling down on you. To everyone else, it’s just going on as usual."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10434,"She is tired of keeping up appearances, of pretending this lonely life isn't wearing her from stone to sand"
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10435,"Born restless, her father used to say. Which was fine for a son, but bad for a daughter."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10436,"Live long enough, and things begin to rot.” He draws a hand from his pocket, taps a fingertip against his chest. “Compassion, affection, humility, care.” One strike with every word. “They drop away like petals, till all that’s left is stem and thorn. Hunger, and the urge to hunt."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10437,"This woman, who is a force of nature. Who bends the world instead of bending for it."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10438,I miss the last cherries of the season. I miss chocolate melting on my tongue. I miss the way sun used to feel against my skin in spring. I don't miss walls and doors.
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10439,"It is easy, isn’t it, in retrospect? To spot the cracks. To see them spread. But in the moment, there is only the urge to mend each one. To smooth the lines. And keep the surface whole."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10440,you look like you are made of stars.
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10441,"Charlotte Hastings, on the other hand, was shades of brown. Eyes the color of tea before the milk goes in."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10442,Those grown in the midnight soil are never alone.
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10443,"It's a lie, you know, that you only get one story."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10444,"Did you know,” she would say brightly, “that sometimes I think of the cemetery plot where you will lie, beneath all that dirt and stone, and it brings me joy. And if by some unlucky spot I ever get with child, I will take them there, and let them frolic on your bones."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10445,"No—disappearing would be better, because maybe in the absence of Alice she could become someone else."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10446,"she tries to leave, and learns the hard way that, among their kind, promises are binding."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10447,Control is knowing yourself well enough to know your limits
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10448,"The fact is, whether death takes you all at once, or steals pieces over time, in the end there is no such thing as immortality. Some of us just die slower than the rest."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10449,"The woman took so little and gave so much. She offered the girl friendship, offered her pleasure, offered her everything she ever wanted. And in the end, all she asked for was her soul."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10450,"Flirting with other girls is a long game, a drawn-out con of longing, and guessing, toeing the edge of a pool before finally, sometimes, in a moment of weakness or exasperation, flinging yourself in. But Catty always said that guys were easier. Just let them think they’re in control."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10451,"Nothing fits, even if it’s fitted, because it’s not really about the size of the body or how it fills the clothes, but how much space it takes up in the world."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10452,"Silence is a kind of wealth, she thinks,"
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10453,"Time doesn't heal.It just wears you down.Tricks you into thinking, as the present slips into the past, that it will stay there.Safely buried in your wake."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10454,"I want you. I have wanted you in ballrooms and in parlors, in crowds and behind closed doors. I have wanted you since before we ever met."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10455,"A man comes toward her down the block. Shoulders hunched, eyes hanging on her body. Her curls are drying wild, her minidress still damp and clinging to her hips, and she knows exactly what he’s thinking. A girl like you, alone at night. Dressed like that, you’re asking for it. His hands twitch in his pockets, and then he’s close enough to meet her gaze, close enough for her to feel the menace rolling off him, the If I wanted to, I could, but she doesn’t shy back, doesn’t make herself small. She looks right into his eyes, and smiles, and whatever he sees, it’s enough to make him flinch and shuffle sideways off the curb, just to get away. And Lottie ambles on, thinking If I wanted to, I could."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10456,"There are other names for us, of course,” continues Hector. “Night walker. Blood drinker. Abomination. Vampire. But those are words crafted by mortal tongues. They are imperfect, incomplete. They lack the poetry, the brutality, the grace. No,” he says. “We are roses."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10457,"She reaches out and runs her fingers through the ash. Knows she should feel horrified. But as she rises to her feet, all she feels is hungry."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10458,"She knows these things, but there are no memories to go with them, and the few she has are like teabags used too many times, all the flavor feeding till it's just tinted water."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10459,it turns out there’s no expiration date on pain.
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10460,"She is used to wanting plenty, but it is another thing to be wanted."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10461,tired minds being good soil for bad thoughts. How the best thing you can do is go to bed.
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10462,"Bury my bones in the midnight soil,plant them shallow and water them deep,and in my place will grow a feral rose,soft red petals hiding sharp white teeth."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10463,"The story isn’t over yet,” she says. “Get to the part that matters, then,"
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10464,"Some things we do for pleasure, and others for purpose."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10465,"He raps his knuckles against his chest. “We are hollowed, bit by bit, as all that made us human dies. Our kindness. Our empathy. Our capacity for fear, and love. One by one, they slough away, until all that’s left is the desire to hunt, to hurt, to feed, to kill. That is how we die. Made reckless by our hunger. Convinced we are unkillable until someone or something proves us wrong."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10466,"It is hard to know what one is capable of, until it becomes a matter of necessity. But I hope I’m not forced to find out."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10467,"But you can see it in the wedding photos taken after. The emptiness in her eyes, like a house packed up, the tenets already gone."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10468,"Time is a funny thing,” she said. “It goes racing by right under our noses. I close my eyes and you are eight and climbing trees to get the highest fruit, perching up among the birds to eat your prize. And then I blink, and here you are, all grown, and I don’t know how.” Her brown eyes—the same shade as Charlotte’s—shimmered with feeling. “We’ve kept you at Clement Hall too long."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10469,"Hope flares in her chest, and she thinks, This, this, this is where her story starts."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10470,"Only later did her mother say that not all sins were boulders, that most in fact were more like pebbles. An unkind thought. A hungry heart. Small weights like greed and envy and want (things that didn’t seem to her like sins at all, but apparently they added up)."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10471,"You should always be found ahead of your corpses, and never in their wake."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10472,lives in the mind. A piece you cannot see or touch. A prize you are told to shield for a time you cannot know. Easy enough to part with something so abstract when the alternative is freedom. When the promise is love.
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10473,"She just shrugged and said, “He sees me.” As if he’s the only one, or even the first. As if Alice didn’t come into this world with both eyes focused on her sister. Catty catches her staring, so"
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10474,"Alice’s hand responds before her brain, reaching to take the thing just because Catty held it toward her. Because that is the power of big sisters, the urge to take anything they offer."
top2025:BURY OUR BONES IN THE MIDNIGHT SOIL|V.E. Schwab,q10475,She decides early on that she will only take the lives of men.
