sample_id,quote_id,quote_text
top2025:MY FRIENDS|Fredrik Backman,q09709,"The world is full of miracles, but none greater than how far a young person can be carried by someone else’s belief in them."
top2025:MY FRIENDS|Fredrik Backman,q09710,"Adults always think they can protect children by stopping them from going to dangerous places, but every teenager knows that’s pointless, because the most dangerous place on earth is inside us. Fragile hearts break in palaces and in dark alleys alike."
top2025:MY FRIENDS|Fredrik Backman,q09711,Art is what we leave of ourselves in other people.
top2025:MY FRIENDS|Fredrik Backman,q09712,"... it's a lie that people are scared of being alone, because what we fear is being abandoned. You can choose to be alone, but no one chooses to be left."
top2025:MY FRIENDS|Fredrik Backman,q09713,"That’s all of life. All we can hope for. You mustn’t think about the fact that it might end, because then you live like a coward, you never love too much or sing too loudly. You have to take it for granted, the artist thinks, the whole thing: sunrises and slow Sunday mornings and water balloons and another person’s breath against your neck. That’s the only courageous thing a person can do."
top2025:MY FRIENDS|Fredrik Backman,q09714,I love you and I believe in you.
top2025:MY FRIENDS|Fredrik Backman,q09715,Nothing weighs more than someone else’s belief in you.
top2025:MY FRIENDS|Fredrik Backman,q09716,"The person we fall in love with, we hardly ever call by their name. Because it’s somehow just so obvious that it’s you I’m talking to, that it’s you I’m always thinking of. Who else?"
top2025:MY FRIENDS|Fredrik Backman,q09717,"Being a parent is so strange, all our children's pain belongs to us, but so does their joy."
top2025:MY FRIENDS|Fredrik Backman,q09718,Being human is to grieve constantly.
top2025:MY FRIENDS|Fredrik Backman,q09719,"He was good at seeing beauty in everything, that happens if you’re no good at seeing it in yourself."
top2025:MY FRIENDS|Fredrik Backman,q09720,You can’t love someone out of addiction. All the oceans are the tears of those who have tried
top2025:MY FRIENDS|Fredrik Backman,q09721,"Louisa is a teenager, the best kind of human. The evidence for this is very simple: little children think teenagers are the best humans, and teenagers think teenagers are the best humans, the only people who don’t think that teenagers are the best humans are adults. Which is obviously because adults are the worst kind of humans."
top2025:MY FRIENDS|Fredrik Backman,q09722,"That’s the very hardest thing to understand about death: nothing. That the world shrinks without him, because instead of him there is just emptiness. The vibration of his laughter, the smell of his skin, his phone number. How can someone who meant everything to Ted become… nothing at all? It’s the incomprehensibility of death that drives people mad, so that we forget how to breathe and how to walk, until we spend whole nights stumbling about in dark rooms, calling and calling, trying to understand how there can be a phone number that no longer belongs to anyone."
top2025:MY FRIENDS|Fredrik Backman,q09723,"When you get old, gravity pulls the corners of your mouth down, the road to a smile grows longer."
top2025:MY FRIENDS|Fredrik Backman,q09724,"It is an act of violence when an adult yells at a child, all adults know that deep down, because all adults were once little. Yet we still do it. Time after time, we fail at being human beings."
top2025:MY FRIENDS|Fredrik Backman,q09725,"Tell me, what is it you plan to do with your one wild and precious life?"
