sample_id,quote_id,quote_text
top1934:2031,q00043,"What a host of little incidents, all deep-buried in the past -- problems that had once been urgent, arguments that had once been keen, anecdotes that were funny only because one remembered the fun. Did any emotion really matter when the last trace of it had vanished from human memory; and if that were so, what a crowd of emotions clung to him as to their last home before annihilation? He must be kind to them, must treasure them in his mind before their long sleep."
top1934:2031,q00044,"Where had they all gone to, he often pondered; those threads he had once held together, how far had they scattered, some to break, others to weave into unknown patterns? The strange randomness of the world beguiled him, that randomness which never would, so long as the world lasted, give meaning to those choruses again."
top1934:2031,q00045,"Brookfield will never forget his lovableness,"" said Cartwright, in a speech to the School. Which was absurd, because all things are forgotten in the end."
top1934:2031,q00046,"When you are getting on in years it is nice to sit by the fire and drink a cup of tea and listen to the school bell sounding dinner, call-over, prep., and lights out. Chips always wound up the clock after that last bell; then he put the wire guard in front of the fire, turned out the gas, and carried a detective novel to bed. Rarely did he read more than a page of it before sleep came swiftly and peacefully, more like a mystic intensifying of perception than any changeful entrance into another world. For his days and nights were equally full of dreaming."
top1934:2031,q00047,You cannot judge the importance of things by the noise they make.
top1934:2031,q00048,"He had, in fact, already begun to sink into that creeping dry rot of pedagogy which is the worst and ultimate pitfall of the profession; giving the same lessons year after year had formed a groove into which the other affairs of his life adjusted themselves with insidious ease. He worked well; he was conscientious; he was a fixture that gave service, satisfaction, confidence, everything except inspiration."
top1934:2031,q00049,"I thought I heard you—one of you—saying it was a pity—umph—a pity I never had—any children … eh? … But I have, you know … I have …” The others smiled without answering, and after a pause Chips began a faint and palpitating chuckle. “Yes—umph—I have,” he added, with quavering merriment. “Thousands of ’em … thousands of ’em… and all boys."
top1934:2031,q00050,"And so it stood, a warm and vivid patch in his life, casting a radiance that glowed in a thousand recollections."
top1934:2031,q00051,"For Chips, like some old sea captain, still measured time by the signals of the past. . . ."
top1934:2031,q00052,His guests found it fun to watch him make tea -- mixing careful spoonfuls from different caddies.
top1934:2031,q00053,those ideas of dignity and generosity that were becoming increasingly rare in a frantic world.
top1934:2031,q00054,"When you grow older you miss that eagerness; life may be happy, you may have health and wealth and love and success, but the odds are that you never look forward as you once did to a single golden day. You never count the hours to it, you never see some moment ahead beckoning like a goddess across a fourth dimension."
top1934:2031,q00055,"And sometimes, when the bell rang for call-over, he would go to the window and look across the road and over the School fence and see, in the distance, the thin line of boys filing past the bench. New times, new names . . . but the old ones still remained . . . Jefferson, Jennings, Jolyon, Jupp, Kingsley Primus, Kingsley Secundus, Kingsley Tertius, Kingston . . . where are you all, where have you all gone to?"
top1934:2031,q00056,"For he did not, he would have said, care for women; he never felt at home or at ease with them; and that monstrous creature beginning to be talked about, the New Woman of the nineties, filled him with horror. He was a quiet, conventional person, and the world, viewed from the haven of Brookfield, seemed to him full of distasteful innovations; there was a fellow named Bernard Shaw who had the strangest and most reprehensible opinions; there was Ibsen, too, with his disturbing plays; and there was this new craze for bicycles which was being taken up by women equally with men. Chips did not hold with all this modern newness and freedom. He had a vague notion, if he ever formulated it, that nice women were weak, timid, and delicate, and that nice men treated them with a polite but rather distant chivalry."
top1934:2031,q00057,"but chiefly I remember all your faces. I never forget them. I have thousands of faces in my mind—the faces of boys. If you come and see me again in years to come—as I hope you all will—I shall try to remember those older faces of yours, but it's just possible I shan't be able to—and then some day you'll see me somewhere and I shan't recognize you and you'll say to yourself, 'The old boy doesn't remember me.' [Laughter] But I DO remember you—as you are NOW. That's the point. In my mind you never grow up at all."
top1934:2031,q00058,He was forty-eight — an age at which permanence of habits begins to be predictable.
top1934:2031,q00059,"On the night before the wedding, when Chips left the house to return to his hotel, she said, with mock gravity: ""This is an occasion, you know--this last farewell of ours. I feel rather like a new boy beginning his first term with you. Not scared, mind you--but just, for once, in a thoroughly respectful mood. Shall I call you 'sir'--or would 'Mr. Chips' be the right thing? 'Mr. Chips,' I think. Good-bye, then--good-bye, Mr. Chips. . . ."
