sample_id,quote_id,quote_text
top2002:4837,q00027,"All you have to do [to win a Pulitzer Prize] is spend your life running from one awful place to another, write about every horrible thing you see. The civilized world reads about it, then forgets it, but pats you on the head for doing it and gives you a reward as appreciation for changing nothing."
top2002:4837,q00028,"It's my experience that most folk who ride trains could care less where they're going. For them it's the journey itself and the people they meet along the way. You see, at every stop this train makes, a little bit of America, a little bit of your country, gets on and says hello."
top2002:4837,q00029,"It's not getting from A to B. It's not the beginning or the destination that counts. It's the ride in between...This train is alive with things that should be seen and heard. It's a living, breathing something -- you just have to want to learn its rhythm."
top2002:4837,q00030,Two people can care for each other but not want the same things.
top2002:4837,q00031,"Things might look bad now,but in matters of the heart you'd be surprised how quickly things change."
top2002:4837,q00032,"It's often said that God works in mysterious ways. You have to really think about what He's trying to do. You can't be lazy and believe in God; He doesn't make it that easy. It takes spirit and faith and passion to really believe. Like most things worthwhile in life, you get back what you put into it. Only with faith, you get back a lot more."
top2002:4837,q00033,"He'd been given an assignment to write about teen beauty pageants [...], which he'd accepted because he enjoyed blood sports as much as the next person."
top2002:4837,q00034,...love is like a good piece of wood: It just gets stronger and stronger as the years go by.
top2002:4837,q00035,"In his trip to Bethlehem Mark Twain had reported that all sects of Christians, except Protestants, had chapels under the roof of the Church of the Holy Sepulchre. However, he also observed that one group dared not trespass on the other’s territory, proving beyond doubt, he noted, that even the grave of the Savior couldn’t inspire peaceful worship among different beliefs."
top2002:4837,q00036,"I’m not saying that riding the train will change your life, or that passenger rail will be a big moneymaker one day. But no matter how fast we feel we have to go, shouldn’t there be room for a train, where you can just sit back, take a breath, and be human for a little while? Just for a little while? Is that so bad?"
top2002:4837,q00037,"It had always bothered Tom that women thought they could win an argument with a man simply by appealing to his baser instincts, by holding out the mere possibility of award-winning carnal knowledge. It was the gender equivalent of a preemptive nuclear strike. He thought it unfair and, quite frankly, disrespectful of the entire male population."
top2002:4837,q00038,Why are trains so popular at Christmas? People get on to meet their country over the holidays.
top2002:4837,q00039,"If you really love each other, you'd be surprised what you can accomplish."
top2002:4837,q00040,"Well, honey, I’m a sixty-three-year-old fat woman with sore feet, high blood pressure, and the beginnings of diabetes. I know I don’t have all that much time left, and I can either spend it moping and complaining about the things I never got to in life, or I can do something I love and help people along the way. I decided to keep plugging ’til I drop."
top2002:4837,q00041,"Well, nobody wants to be alone, especially around Christmas. I’m sure you know that most suicides happen around the holidays. Besides, this isn’t a train this time of year. It’s a social club of strangers looking for a friend."
top2002:4837,q00042,"Then you take her without reservation, disclaimer, parental demands, or otherwise. You take her as she is with all her faults, weaknesses, idiosyncrasies, and requirements. You take her without qualification, with no strings attached by anyone else, because that’s what loving someone means."
top2002:4837,q00043,"Twain had found Palestine to be very tiny, writing that he “could not conceive of a small country having so large a history."
top2002:4837,q00044,hob-gob of folks. And sometimes it’s
top2002:4837,q00045,I guess there’s something special about your first love.
top2002:4837,q00046,"Where there’s faith, there is no fear.” She smiled weakly. “What part of the Bible is that from?” He patted her hand. “That one, my dear, is from Father Paul Joseph Kelly. And you can have it at no extra charge."
top2002:4837,q00047,I’ve seen enough in this world to know that two people who can make each other that miserable must love each other a lot.
top2002:4837,q00048,"Trains had a nostalgic magnetism that was undeniable, even for the many Americans who’d never even been on one."
top2002:4837,q00049,"For Tom the vision of Agnes Joe crammed inside the cockpit of a two-seater Cessna, her hammy fingers curled around the yoke, her enormous feet on the rudder pedals, wavered right on hallucinatory."
top2002:4837,q00050,about three thousand miles separating them. She
