sample_id,quote_id,quote_text
top1952:1594,q00791,"And now that you don't have to be perfect, you can be good."
top1952:1594,q00792,All great and precious things are lonely.
top1952:1594,q00793,"I believe a strong woman may be stronger than a man, particularly if she happens to have love in her heart. I guess a loving woman is indestructible."
top1952:1594,q00794,"But the Hebrew word, the word timshel—‘Thou mayest’— that gives a choice. It might be the most important word in the world. That says the way is open. That throws it right back on a man. For if ‘Thou mayest’—it is also true that ‘Thou mayest not."
top1952:1594,q00795,"And this I believe: that the free, exploring mind of the individual human is the most valuable thing in the world. And this I would fight for: the freedom of the mind to take any direction it wishes, undirected. And this I must fight against: any idea, religion, or government which limits or destroys the individual. This is what I am and what I am about."
top1952:1594,q00796,"When a child first catches adults out -- when it first walks into his grave little head that adults do not always have divine intelligence, that their judgments are not always wise, their thinking true, their sentences just -- his world falls into panic desolation. The gods are fallen and all safety gone. And there is one sure thing about the fall of gods: they do not fall a little; they crash and shatter or sink deeply into green muck. It is a tedious job to build them up again; they never quite shine. And the child's world is never quite whole again. It is an aching kind of growing."
top1952:1594,q00797,"I believe that there is one story in the world, and only one. . . . Humans are caught—in their lives, in their thoughts, in their hungers and ambitions, in their avarice and cruelty, and in their kindness and generosity too—in a net of good and evil. . . . There is no other story. A man, after he has brushed off the dust and chips of his life, will have left only the hard, clean questions: Was it good or was it evil? Have I done well—or ill?"
top1952:1594,q00798,"Do you take pride in your hurt? Does it make you seem large and tragic? ...Well, think about it. Maybe you're playing a part on a great stage with only yourself as audience."
top1952:1594,q00799,"There's more beauty in truth, even if it is dreadful beauty."
top1952:1594,q00800,My imagination will get me a passport to hell one day.
top1952:1594,q00801,Sometimes a man wants to be stupid if it lets him do a thing his cleverness forbids.
top1952:1594,q00802,"It seems to me that if you or I must choose between two courses of thought or action, we should remember our dying and try so to live that our death brings no pleasure to the world."
top1952:1594,q00803,A kind of light spread out from her. And everything changed color. And the world opened out. And a day was good to awaken to. And there were no limits to anything. And the people of the world were good and handsome. And I was not afraid any more.
top1952:1594,q00804,"People like you to be something, preferably what they are."
top1952:1594,q00805,"It would be absurd if we did not understand both angels and devils, since we invented them."
top1952:1594,q00806,A man so painfully in love is capable of self-torture beyond belief.
top1952:1594,q00807,"But I have a new love for that glittering instrument, the human soul. It is a lovely and unique thing in the universe. It is always attacked and never destroyed - because 'Thou mayest."
top1952:1594,q00808,"We have only one story. All novels, all poetry, are built on the neverending contest in ourselves of good and evil. And it occurs to me that evil must constantly respawn, while good, while virtue, is immortal. Vice has always a new fresh young face, while virtue is venerable as nothing else in the world is."
top1952:1594,q00809,When a man says he does not want to speak of something he usually means he can think of nothing else.
top1952:1594,q00810,"An unbelieved truth can hurt a man much more than a lie. It takes great courage to back truth unacceptable to our times. There's a punishment for it, and it's usually crucifixion."
top1952:1594,q00811,A man without words is a man without thought.
top1952:1594,q00812,"..it's awful not to be loved. It's the worst thing in the world...It makes you mean, and violent, and cruel."
top1952:1594,q00813,"Perhaps the less we have, the more we are required to brag."
top1952:1594,q00814,"It’s a hard thing to leave any deeply routine life, even if you hate it."
top1952:1594,q00815,Perhaps it takes courage to raise children..
top1952:1594,q00816,"Our species is the only creative species, and it has only one creative instrument, the individual mind and spirit of man. Nothing was ever created by two men. There are no good collaborations, whether in music, in art, in poetry, in mathematics, in philosophy. Once the miracle of creation has taken place, the group can build and extend it, but the group never invents anything. The preciousness lies in the lonely mind of a man."
top1952:1594,q00817,No one who is young is ever going to be old.
top1952:1594,q00818,"Just as there are physical monsters, can there not be mental or psychic monsters born? The face and body may be perfect, but if a twisted gene or malformed egg can produce physical monsters, may not the same process produce a malformed soul? Monsters are variations from the accepted normal to a greater or a less degree. As a child may be born without an arm, so one may be born without kindness or the potential of conscience. A man who loses his arms in an accident has a great struggle to adjust himself to the lack, but one born without arms suffers only from people who find him strange. Having never had arms, he cannot miss them. To a monster the norm must seem monstrous, since everyone is normal to himself. To the inner monster it must be even more obscure, since he has no visible thing to compare with others. To a criminal, honesty is foolish. You must not forget that a monster is only a variation, and that to a monster the norm is monstrous."
top1952:1594,q00819,Maybe-- maybe love makes you suspicious and doubting. Is it true that when you love a woman you are never sure-- never sure of her because you aren't sure of yourself?
top1952:1594,q00820,Man has a choice and it's a choice that makes him a man.
top1952:1594,q00821,"Time interval is a strange and contradictory matter in the mind. It would be reasonable to suppose that a routine time or an eventless time would seem interminable. It should be so, but it is not. It is the dull eventless times that have no duration whatever. A time splashed with interest, wounded with tragedy, crevassed with joy - that's the time that seems long in the memory. And this is right when you think about it. Eventlessness has no posts to drape duration on. From nothing to nothing is no time at all."
top1952:1594,q00822,"Sometimes a kind of glory lights up the mind of a man. It happens to nearly everyone. You can feel it growing or preparing like a fuse burning toward dynamite. It is a feeling in the stomach, a delight of the nerves, of the forearms. The skin tastes the air, and every deep-drawn breath is sweet. Its beginning has the pleasure of a great stretching yawn; it flashes in the brain and the whole world glows outside your eyes. A man may have lived all of his life in the gray, and the land and trees of him dark and somber. The events, even the important ones, may have trooped by faceless and pale. And then -the glory- so that a cricket song sweetens his ears, the smell of the earth rises chanting to his nose, and dappling light under a tree blesses his eyes. Then a man pours outward, a torrent of him, and yet he is not diminished. And I guess a man's importance in the world can be measured by the quality and number of his glories. It is a lonely thing but it relates us to the world. It is the mother of all creativeness, and it sets each man separate from all other men."
top1952:1594,q00823,There are no ugly questions except those clothed in condescension.
top1952:1594,q00824,"I think I love you, Cal."" -AbraI'm not good."" -CalBecause you're not good."" -Abra"
top1952:1594,q00825,"No story has power, nor will it last, unless we feel in ourselves that it is true and true of us."
top1952:1594,q00826,"Don't you dare take the lazy way. It's too easy to excuse yourself because of your ancestry. Don't let me catch you doing it! Now -- look close at me so you will remember. Whatever you do, it will be you who do."
top1952:1594,q00827,I wonder how many people I have looked at all my life and never really seen.
top1952:1594,q00828,"And, of course, people are interested only in themselves. If a story is not about the hearer he will not listen."
top1952:1594,q00829,"You can boast about anything if it's all you have. Maybe the less you have, the more you are required to boast."
top1952:1594,q00830,Perhaps the best conversationalist in the world is the man who helps others to talk.
top1952:1594,q00831,"Sometimes, a lie is told in kindness. I don't believe it ever works kindly. The quick pain of truth can pass away, but the slow, eating agony of a lie is never lost."
top1952:1594,q00832,"They're a dark people with a gift for suffering way past their deserving. It's said that without whiskey to soak and soften the world, they'd kill themselves. (Irish)"
top1952:1594,q00833,"The church and the whorehouse arrived in the Far West simultaneously. And each would have been horrified to think it was a different facet of the same thing. But surely they were both intended to accomplish the same thing: the singing, the devotion, the poetry of the churches took a man out of his bleakness for a time, and so did the brothels."
top1952:1594,q00834,"After a while you'll think no thought the others do not think. You'll know no word the others can't say. And you'll do things because the others do them. You'll feel the danger in any difference whatever-a danger to the crowd of like-thinking, like-acting men...Once in a while there is a man who won't do what is demanded of him, and do you know what happens? The whole machine devotes itself coldly to the destruction of his difference. They'll beat your spirit and your nerves, your body and your mind, with iron rods until the dangerous difference goes out of you. And if you can't finally give in, they'll vomit you up and leave you stinking outside--neither part of themselves, nor yet free...They only do it to protect themselves. A thing so triumphantly illogical, so beautifully senseless as an army can't allow a question to weaken it."
top1952:1594,q00835,"Act out being alive, like a play. And after a while, a long while, it will be true."
top1952:1594,q00836,He had an idea that even when beaten he could steal a little victory by laughing at defeat.
