sample_id,quote_id,quote_text
top1932:4216,q00002,"When there were none but these two left in the hall, Wang the Tiger leaned forward out of his carven seat and he said in a hard, hoarse voice, ""Woman, you are free. Choose where you will go and I will send someone to take you there."" And she answered simply, with all the boldness gone out of her, except that she could look at him in the eyes while she said it, ""I have chosen already. I am your bondswoman."
top1932:4216,q00003,"I think not everyone can see the whole picture. It has long been said we each see what we look for. You and I, we look at land and think of seed and harvests. A builder looks at the same land and thinks of houses, and a painter of its colors. The priest sees men only as those who need to be saved, and so naturally he sees most clearly those who need to be saved."
top1932:4216,q00004,"Perhaps, Yuan, such laws as this are only keys to unlock a door to a closed garden, and we must throw the key recklessly away and go forth into that garden boldly by imagination—or call it faith,"
top1932:4216,q00005,Now it has been said from ancient times that all women who weep may be divided into three sorts. There are those who lift up their voices and their tears flow and this may be called crying; there are those who utter loud lamentations but whose tears do not flow and this may be called howling; there are those whose tears flow but who utter no sound and this may be called weeping.
top1932:4216,q00006,"He had collected from every place where he had hid his little stores of gain and he had borrowed all he could, and he could not even have had this except by bitter, frugal living."
top1932:4216,q00007,"she began, “Truly it is a very shameful sight to see one who should be"
top1932:4216,q00008,"The truth is I cannot hate wholly enough to kill a man. I always know how he feels, too."
top1932:4216,q00009,"Now although it is said that lords of war should be subservient in a nation to the civil governors of the people, it is a thing known and proved that the power goes always to the armed man and the man with weapons, and how can a weaponless man, even though he has the right, oppose a man of war in the same region with him, who has soldiers to his command?"
top1932:4216,q00010,"women are so strange and their tempers are uncertain, and mothers are the strangest of all, for they see fears and harms about their children where there are no such things."
top1932:4216,q00011,"man and after him two others, one nicknamed the Hawk, because he had a very curious hooked"
top1932:4216,q00012,In these days it never came to Wang the Tiger's mind that his son's dreams might not be his own and he lived for the spring.
