sample_id,quote_id,quote_text
top1945:5195,q00053,"[Dean] “My dear fellow, who will let you?”[Roark] “That’s not the point. The point is, who will stop me?"
top1945:5195,q00054,"I could die for you. But I couldn't, and wouldn't, live for you."
top1945:5195,q00055,Freedom (n.): To ask nothing. To expect nothing. To depend on nothing.
top1945:5195,q00056,"To say ""I love you"" one must know first how to say the ""I""."
top1945:5195,q00057,The hardest thing to explain is the glaringly evident which everybody has decided not to see.
top1945:5195,q00058,"Have you felt it too? Have you seen how your best friends love everything about you- except the things that count? And your most important is nothing to them; nothing, not even a sound they can recognize."
top1945:5195,q00059,To sell your soul is the easiest thing in the world. That's what everybody does every hour of his life. If I asked you to keep your soul - would you understand why that's much harder?
top1945:5195,q00060,"I regret nothing. There have been things I missed, but I ask no questions, because I have loved it, such as it has been, even the moments of emptiness, even the unanswered-and that I loved it, that is the unanswered in my life."
top1945:5195,q00061,"But you see,"" said Roark quietly, ""I have, let’s say, sixty years to live. Most of that time will be spent working. I’ve chosen the work I want to do. If I find no joy in it, then I’m only condemning myself to sixty years of torture. And I can find the joy only if I do my work in the best way possible to me. But the best is a matter of standards—and I set my own standards. I inherit nothing. I stand at the end of no tradition. I may, perhaps, stand at the beginning of one."
top1945:5195,q00062,"Don't fool yourself, my dear. You're much worse than a bitch. You're a saint. Which shows why saints are dangerous and undesirable."
top1945:5195,q00063,You have been the one encounter in my life that can never be repeated
top1945:5195,q00064,"Listen to what is being preached today. Look at everyone around us. You've wondered why they suffer, why they seek happiness and never find it. If any man stopped and asked himself whether he's ever held a truly personal desire, he'd find the answer. He'd see that all his wishes, his efforts, his dreams, his ambitions are motivated by other men. He's not really struggling even for material wealth, but for the second-hander's delusion - prestige. A stamp of approval, not his own. He can find no joy in the struggle and no joy when he has succeeded. He can't say about a single thing: 'This is what I wanted because I wanted it, not because it made my neighbors gape at me'. Then he wonders why he's unhappy."
top1945:5195,q00065,"Man cannot survive except through his mind. He comes on earth unarmed. His brain is his only weapon. Animals obtain food by force. man had no claws, no fangs, no horns, no great strength of muscle. He must plant his food or hunt it. To plant, he needs a process of thought. To hunt, he needs weapons,and to make weapons - a process of thought. From this simplest necessity to the highest religious abstraction, from the wheel to the skyscraper, everything we are and we have comes from a single attribute of man -the function of his reasoning mind."
top1945:5195,q00066,I love you so much that nothing can matter to me - not even you...Only my love- not your answer. Not even your indifference
top1945:5195,q00067,"It's easy to run to others. It's so hard to stand on one's own record. You can fake virtue for an audience. You can't fake it in your own eyes. Your ego is your strictest judge. They run from it. They spend their lives running. It's easier to donate a few thousand to charity and think oneself noble than to base self-respect on personal standards of personal achievement. It's simple to seek substitutes for competence--such easy substitutes: love, charm, kindness, charity. But there is no substitute for competence."
top1945:5195,q00068,"There’s nothing as significant as a human face. Nor as eloquent. We can never really know another person, except by our first glance at him. Because, in that glance, we know everything. Even though we’re not always wise enough to unravel the knowledge."
top1945:5195,q00069,Integrity is the ability to stand by an idea.
top1945:5195,q00070,"I would give the greatest sunset in the world for one sight of New York's skyline. Particularly when one can't see the details. Just the shapes. The shapes and the thought that made them. The sky over New York and the will of man made visible. What other religion do we need? And then people tell me about pilgrimages to some dank pesthole in a jungle where they go to do homage to a crumbling temple, to a leering stone monster with a pot belly, created by some leprous savage. Is it beauty and genius they want to see? Do they seek a sense of the sublime? Let them come to New York, stand on the shore of the Hudson, look and kneel. When I see the city from my window - no, I don't feel how small I am - but I feel that if a war came to threaten this, I would throw myself into space, over the city, and protect these buildings with my body."
top1945:5195,q00071,Self-sacrifice? But it is precisely the self that cannot and must not be sacrificed.
top1945:5195,q00072,Patience is always rewarded and romance is always round the corner!
top1945:5195,q00073,"Throughout the centuries there were men who took first steps down new roads armed with nothing but their own vision. Their goals differed, but they all had this in common: that the step was first, the road new, the vision unborrowed, and the response they received — hatred. The great creators — the thinkers, the artists, the scientists, the inventors — stood alone against the men of their time. Every great new thought was opposed. Every great new invention was denounced. The first motor was considered foolish. The airplane was considered impossible. The power loom was considered vicious. Anesthesia was considered sinful. But the men of unborrowed vision went ahead. They fought, they suffered and they paid. But they won."
top1945:5195,q00074,But I don't think of you.(Howard Roark)
top1945:5195,q00075,One loses everything when one loses one's sense of humor.
top1945:5195,q00076,"She knew that even pain can be confessed, but to confess happiness is to stand naked, delivered to the witness..."
top1945:5195,q00077,"Do you mean to tell me that you're thinking seriously of building that way, when and if you are an architect?”“Yes.”“My dear fellow, who will let you?”“That’s not the point. The point is, who will stop me?"
top1945:5195,q00078,Self respect is something that can't be killed. The worst thing is to kill a man's pretense at it.
top1945:5195,q00079,I don't wish to be the symbol of anything. I'm only myself.
top1945:5195,q00080,"Love is reverence, and worship, and glory, and the upward glance. Not a bandage for dirty sores. But they don't know it. Those who speak of love most promiscuously are the ones who've never felt it. They make some sort of feeble stew out of sympathy, compassion, contempt and general indifference, and they call it love. Once you've felt what it means to love as you and I know it - total passion for the total height - you're incapable of anything less."
top1945:5195,q00081,"Toohey: ""Mr. Roark, we're alone here. Why don't you tell me what you think of me? In any words you wish. No one will hear us.""Roark: ""But I don't think of you."
top1945:5195,q00082,Art is a selective re-creation of reality according to an artists metaphysical value judgments.
top1945:5195,q00083,"Every form of happiness is private. Our greatest moments are personal, self-motivated, not to be touched""."
top1945:5195,q00084,She thought how strange it would be if she ever said 'Hello' to him. One did not greet oneself each morning.
top1945:5195,q00085,People want nothing but mirrors around them. To reflect them while they’re reflecting too ... Reflections of reflections and echoes of echoes. No beginning and no end. No center and no purpose.
top1945:5195,q00086,"I often think that he's the only one of us who's achieved immortality. I don't mean in the sense of fame and I don't mean he won't die someday. But he's living it. I think he is what the conception really means. You know how people long to be eternal. But they die with everyday that passes. . . They change, they deny, they contradict- and they call it growth. At the end there is nothing left, nothing unreveresed or unbetrayed; as if there had never been an entity, only a succession of adjectives fading in and out of an unformed mass. How do they expect a permanence which they never held for a single moment? But Howard- one can imagine him living forever."
top1945:5195,q00087,Is it advisable to spread out all the conveniences of culture before people to whom a few steps up a stair to a library is a sufficient deterrent from reading?
top1945:5195,q00088,"He wanted her. He knew where to find her. He waited. It amused him to wait, because he knew that the waiting was unbearable to her. He knew that his absence bound her to him in a manner more complete and humiliating than his presence could enforce. He was giving her time to attempt an escape, in order to let her know her own helplessness when he chose to see her again."
top1945:5195,q00089,"No speech is ever considered, but only the speaker. It's so much easier to pass judgement on a man than on an idea."
top1945:5195,q00090,Civilization is the process of setting man free from men.
