sample_id,stratum,title,author,year,isbn,gr_book_id,gr_work_id,gr_title,gr_author,gr_year,gr_ratings,resolve_method,resolve_confidence,resolve_notes,pages_fetched,quotes_raw,quotes_dedup,fetched_at
b0361,2016,THE BLACK WIDOW,Daniel Silva,2016,9780062320230,30363316,47255119,The Black Widow,Daniel Silva,2016,38702,isbn,high,,1,25,25,2026-08-03T15:01:31
b0201,1980-1989,FREE FALL IN CRIMSON,John D. MacDonald,1981,0060148330,292217,2756256,Free Fall in Crimson,John D. MacDonald,1981,5547,isbn,high,,1,3,3,2026-08-03T15:42:12
b0202,1980-1989,FEVER,Robin Cook,1982,0399126376,66468,2329185,Fever,Robin Cook,1982,9519,isbn,high,,1,9,9,2026-08-03T15:42:12
b0241,1990-1999,BEACH MUSIC,Pat Conroy,1995,0385413041,16729,2707941,Beach Music,Pat Conroy,1995,56391,isbn,high,,2,60,60,2026-08-03T15:42:12
b0281,2000-2009,FOUR BLIND MICE,James Patterson,2002,0316693006,53625,1831604,Four Blind Mice,James Patterson,2002,59623,isbn,high,,1,6,6,2026-08-03T15:42:12
b0282,2000-2009,THE SHADOW OF SAGANAMI,David Weber,2004,0743488520,77745,1755137,The Shadow of Saganami,David Weber,2004,6740,isbn,high,,1,3,3,2026-08-03T15:42:12
b0001,1931-1939,HEAVEN'S MY DESTINATION,Thornton Wilder,1935,,205474,198853,Heaven's My Destination,Thornton Wilder,1935,444,title_author,high,,0,0,0,2026-08-03T20:10:56
b0002,1931-1939,MALAYSIA,Henri Fauconnier,1931,,,,,,,0,failed,review,no_candidate,0,0,0,2026-08-03T20:10:56
b0041,1940-1949,CANNERY ROW,John Steinbeck,1945,,4799,824028,Cannery Row,John Steinbeck,1943,160459,title_author,high,,3,66,66,2026-08-03T20:10:56
b0042,1940-1949,EARTHBOUND,Dalton S. Reymond,1948,,134814201,151934485,Earthbound,Dalton S. Reymond,1948,0,title_author,medium,low_ratings,0,0,0,2026-08-03T20:10:56
b0081,1950-1959,THE TIME OF THE DRAGONS,Alice Ekert-Rotholz,1958,,7915698,11206008,The Time of the Dragons,Alice M. Ekert-Rotholz,1956,54,title_author,high,,0,0,0,2026-08-03T20:10:56
b0082,1950-1959,HOLD BACK THE NIGHT,Pat Frank,1952,,5173361,5240426,Hold Back the Night,Pat Frank,1951,123,title_author,high,,1,3,3,2026-08-03T20:10:56
b0121,1960-1969,SERMONS AND SODA WATER,John O'Hara,1960,0394444809,701230,658635,Sermons & Soda Water,John O'Hara,1960,234,isbn,high,,0,0,0,2026-08-03T20:10:56
b0122,1960-1969,THE DETECTIVE,Roderick Thorp,1966,,762645,748735,The Detective,Roderick Thorp,1966,335,title_author,high,,0,0,0,2026-08-03T20:10:56
b0161,1970-1979,GREAT LION OF GOD,Taylor Caldwell,1970,,369077,359058,Great Lion of God,Taylor Caldwell,1970,2936,title_author,high,,1,5,5,2026-08-03T20:10:56
b0162,1970-1979,SLAPSTICK,Kurt Vonnegut,1976,,235130293,250321757,Slapstick,Kurt Vonnegut Jr.,,1,title_author,medium,low_ratings,0,0,0,2026-08-03T20:10:56
b0203,1980-1989,SOLO,Jack Higgins,1980,0812827139,1124553,4693205,Solo,Jack Higgins,1980,2769,isbn,high,,1,1,1,2026-08-03T20:10:56
b0204,1980-1989,DIRK GENTLY'S HOLISTIC DETECTIVE AGENCY,Douglas Adams,1987,0671625829,365,1042123,Dirk Gently's Holistic Detective Agency,Douglas Adams,1987,150621,isbn,high,,3,73,73,2026-08-03T20:10:56
b0242,1990-1999,BELGARATH THE SORCERER,David and Leigh Eddings,1995,,60298131,938087,Belgarath the Sorcerer,David and Leigh Eddings,1995,76774,title_author,high,,1,19,19,2026-08-03T20:10:56
b0243,1990-1999,THE RED HORSEMAN,Stephen Coonts,1993,0671748874,1102404,2031542,The Red Horseman,Stephen Coonts,1990,2606,isbn,high,,1,5,5,2026-08-03T20:10:56
