sample_id,title,author,n_quotes,event,gnomic,dialogue,paratext,unclear,ev_past,ev_present,pct_present,situation,label,confidence,why
top2017:2441,INTO THE WATER,Paula Hawkins,43,30,8,3,2,0,22,8,0.26666666666666666,dual,DUAL,high,"73% past / 27% present of 30, situation=dual"
top2017:3409,ORIGIN,Dan Brown,45,4,26,11,4,0,3,1,0.25,retrospective,INSUFFICIENT,,only 4 event quotes
top2017:1636,END GAME,David Baldacci,16,3,1,11,0,1,3,0,0.0,retrospective,INSUFFICIENT,,only 3 event quotes
top2017:513,ARTEMIS,Andy Weir,78,23,32,23,0,0,23,0,0.0,retrospective,PAST,high,"100% past / 0% present of 23, situation=retrospective"
top2017:2897,MANHATTAN BEACH,Jennifer Egan,68,53,5,10,0,0,53,0,0.0,retrospective,PAST,high,"100% past / 0% present of 53, situation=retrospective"
top2017:2728,LITTLE FIRES EVERYWHERE,Celeste Ng,26,14,2,9,1,0,14,0,0.0,retrospective,PAST,high,"100% past / 0% present of 14, situation=retrospective"
top2017:3287,NORSE MYTHOLOGY,Neil Gaiman,26,15,2,5,4,0,11,4,0.26666666666666666,retrospective,PAST,high,"73% past / 27% present of 15, situation=retrospective"
top2017:7044,UNCOMMON TYPE,Tom Hanks,26,18,3,3,2,0,16,2,0.1111111111111111,retrospective,PAST,high,"89% past / 11% present of 18, situation=retrospective"
top2017:5258,THE GIRL WHO TAKES AN EYE FOR AN EYE,David Lagercrantz,24,13,8,3,0,0,13,0,0.0,retrospective,PAST,high,"100% past / 0% present of 13, situation=retrospective"
top2017:1527,DRAGON TEETH,Michael Crichton,22,8,6,7,0,1,7,1,0.125,retrospective,PAST,high,"88% past / 12% present of 8, situation=retrospective"
top2017:7027,TWO KINDS OF TRUTH,Michael Connelly,19,12,2,5,0,0,12,0,0.0,retrospective,PAST,high,"100% past / 0% present of 12, situation=retrospective"
top2017:5627,THE LATE SHOW,Michael Connelly,18,7,3,7,1,0,7,0,0.0,retrospective,PAST,med,"100% past / 0% present of 7, situation=retrospective"
top2017:910,CAMINO ISLAND,John Grisham,17,6,5,6,0,0,6,0,0.0,retrospective,PAST,med,"100% past / 0% present of 6, situation=retrospective"
top2017:640,BEFORE WE WERE YOURS,Lisa Wingate,47,21,20,3,2,1,4,17,0.8095238095238095,simultaneous,PRESENT,high,"19% past / 81% present of 21, situation=simultaneous"
