sample_id,title,author,n_quotes,event,gnomic,dialogue,paratext,unclear,ev_past,ev_present,event_past,event_present,beat_past,beat_present,pct_present,situation,label,confidence,why
top2024:HERE ONE MOMENT|Liane Moriarty,HERE ONE MOMENT,Liane Moriarty,82,35,43,2,2,0,22,15,21,14,1,1,0.40540540540540543,dual,DUAL,high,"59% past / 41% present of 37, situation=dual"
top2024:THE GOD OF THE WOODS|Liz Moore,THE GOD OF THE WOODS,Liz Moore,65,46,6,9,1,3,39,13,35,11,4,2,0.25,dual,DUAL,high,"75% past / 25% present of 52, situation=dual"
top2024:THE SPELLSHOP|Sarah Beth Durst,THE SPELLSHOP,Sarah Beth Durst,74,36,9,27,1,1,44,3,33,3,11,0,0.06382978723404255,retrospective,PAST,high,"94% past / 6% present of 47, situation=retrospective"
top2024:JAMES|Percival Everett,JAMES,Percival Everett,66,34,8,23,0,1,44,3,31,3,13,0,0.06382978723404255,retrospective,PAST,high,"94% past / 6% present of 47, situation=retrospective"
top2024:ALL THE COLORS OF THE DARK|Chris Whitaker,ALL THE COLORS OF THE DARK,Chris Whitaker,52,19,9,21,0,3,25,3,16,3,9,0,0.10714285714285714,retrospective,PAST,high,"89% past / 11% present of 28, situation=retrospective"
top2024:BY ANY OTHER NAME|Jodi Picoult,BY ANY OTHER NAME,Jodi Picoult,51,17,18,12,3,1,25,3,14,3,11,0,0.10714285714285714,retrospective,PAST,high,"89% past / 11% present of 28, situation=retrospective"
top2024:YOU LIKE IT DARKER|Stephen King,YOU LIKE IT DARKER,Stephen King,48,18,23,4,1,2,18,2,17,1,1,1,0.1,retrospective,PAST,high,"90% past / 10% present of 20, situation=retrospective"
top2024:A FATE INKED IN BLOOD|Danielle L. Jensen,A FATE INKED IN BLOOD,Danielle L. Jensen,47,14,2,31,0,0,23,0,14,0,9,0,0.0,retrospective,PAST,high,"100% past / 0% present of 23, situation=retrospective"
top2024:SMALL THINGS LIKE THESE|Claire Keegan,SMALL THINGS LIKE THESE,Claire Keegan,46,34,4,3,4,1,37,0,34,0,3,0,0.0,retrospective,PAST,high,"100% past / 0% present of 37, situation=retrospective"
top2024:GOTHIKANA|RuNyx,GOTHIKANA,RuNyx,44,22,0,22,0,0,34,0,22,0,12,0,0.0,retrospective,PAST,high,"100% past / 0% present of 34, situation=retrospective"
top2024:THE WOMEN|Kristin Hannah,THE WOMEN,Kristin Hannah,26,18,3,5,0,0,19,0,18,0,1,0,0.0,retrospective,PAST,high,"100% past / 0% present of 19, situation=retrospective"
top2024:HOUSE OF FLAME AND SHADOW|Sarah J. Maas,HOUSE OF FLAME AND SHADOW,Sarah J. Maas,25,5,1,19,0,0,14,0,5,0,9,0,0.0,retrospective,PAST,high,"100% past / 0% present of 14, situation=retrospective"
top2024:TELL ME EVERYTHING|Elizabeth Strout,TELL ME EVERYTHING,Elizabeth Strout,24,7,11,5,0,1,10,0,7,0,3,0,0.0,retrospective,PAST,high,"100% past / 0% present of 10, situation=retrospective"
top2024:A CALAMITY OF SOULS|David Baldacci,A CALAMITY OF SOULS,David Baldacci,23,4,7,11,0,1,9,0,4,0,5,0,0.0,retrospective,PAST,high,"100% past / 0% present of 9, situation=retrospective"
top2024:COUNTING MIRACLES|Nicholas Sparks,COUNTING MIRACLES,Nicholas Sparks,21,12,5,4,0,0,10,3,9,3,1,0,0.23076923076923078,retrospective,PAST,high,"77% past / 23% present of 13, situation=retrospective"
top2024:TABLE FOR TWO|Amor Towles,TABLE FOR TWO,Amor Towles,21,5,9,6,0,1,6,0,5,0,1,0,0.0,retrospective,PAST,med,"100% past / 0% present of 6, situation=retrospective"
top2024:CAMINO GHOSTS|John Grisham,CAMINO GHOSTS,John Grisham,15,10,0,5,0,0,13,0,10,0,3,0,0.0,retrospective,PAST,high,"100% past / 0% present of 13, situation=retrospective"
top2024:INTERMEZZO|Sally Rooney,INTERMEZZO,Sally Rooney,79,52,10,17,0,0,8,50,8,44,0,6,0.8620689655172413,simultaneous,PRESENT,high,"14% past / 86% present of 58, situation=simultaneous"
top2024:FUNNY STORY|Emily Henry,FUNNY STORY,Emily Henry,78,26,10,42,0,0,11,42,11,15,0,27,0.7924528301886793,simultaneous,PRESENT,high,"21% past / 79% present of 53, situation=simultaneous"
top2024:THE WEDDING PEOPLE|Alison Espach,THE WEDDING PEOPLE,Alison Espach,71,38,19,12,0,2,15,30,14,24,1,6,0.6666666666666666,simultaneous,PRESENT,high,"33% past / 67% present of 45, situation=simultaneous"
top2024:FIRST LIE WINS|Ashley Elston,FIRST LIE WINS,Ashley Elston,37,18,10,9,0,0,3,16,3,15,0,1,0.8421052631578947,simultaneous,PRESENT,high,"16% past / 84% present of 19, situation=simultaneous"
top2024:THE GAMES GODS PLAY|Abigail Owen,THE GAMES GODS PLAY,Abigail Owen,26,7,7,11,0,1,0,11,0,7,0,4,1.0,simultaneous,PRESENT,high,"0% past / 100% present of 11, situation=simultaneous"
top2024:SWAN SONG|Elin Hilderbrand,SWAN SONG,Elin Hilderbrand,22,17,2,1,2,0,1,17,1,16,0,1,0.9444444444444444,simultaneous,PRESENT,high,"6% past / 94% present of 18, situation=simultaneous"
top2024:THE FURY|Alex Michaelides,THE FURY,Alex Michaelides,22,8,9,4,0,1,6,4,4,4,2,0,0.4,unclear,UNCLEAR,,situation='unclear'
