sample_id,title,author,n_quotes,event,gnomic,dialogue,paratext,unclear,ev_past,ev_present,event_past,event_present,beat_past,beat_present,pct_present,situation,label,confidence,why
top2025:THE CORRESPONDENT|Virginia Evans,THE CORRESPONDENT,Virginia Evans,64,42,14,4,2,2,14,29,13,29,1,0,0.6744186046511628,dual,DUAL,high,"33% past / 67% present of 43, situation=dual"
top2025:QUICKSILVER|Callie Hart,QUICKSILVER,Callie Hart,81,15,2,58,2,4,44,0,15,0,29,0,0.0,retrospective,PAST,high,"100% past / 0% present of 44, situation=retrospective"
top2025:ALCHEMISED|SenLinYu,ALCHEMISED,SenLinYu,80,27,1,49,0,3,43,0,27,0,16,0,0.0,retrospective,PAST,high,"100% past / 0% present of 43, situation=retrospective"
top2025:ATMOSPHERE|Taylor Jenkins Reid,ATMOSPHERE,Taylor Jenkins Reid,63,32,8,22,0,1,39,2,31,1,8,1,0.04878048780487805,retrospective,PAST,high,"95% past / 5% present of 41, situation=retrospective"
top2025:BUCKEYE|Patrick Ryan,BUCKEYE,Patrick Ryan,63,43,7,10,0,3,43,3,40,3,3,0,0.06521739130434782,retrospective,PAST,high,"93% past / 7% present of 46, situation=retrospective"
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,SAY YOU'LL REMEMBER ME,Abby Jimenez,62,32,14,15,0,1,29,10,22,10,7,0,0.2564102564102564,retrospective,PAST,high,"74% past / 26% present of 39, situation=retrospective"
top2025:KATABASIS|R.F. Kuang,KATABASIS,R.F. Kuang,54,27,11,16,0,0,33,2,25,2,8,0,0.05714285714285714,retrospective,PAST,high,"94% past / 6% present of 35, situation=retrospective"
top2025:THE EMPEROR OF GLADNESS|Ocean Vuong,THE EMPEROR OF GLADNESS,Ocean Vuong,49,25,7,16,1,0,29,2,23,2,6,0,0.06451612903225806,retrospective,PAST,high,"94% past / 6% present of 31, situation=retrospective"
top2025:NOT QUITE DEAD YET|,NOT QUITE DEAD YET,,38,11,4,22,0,1,21,1,10,1,11,0,0.045454545454545456,retrospective,PAST,high,"95% past / 5% present of 22, situation=retrospective"
top2025:THE KNIGHT AND THE MOTH|Rachel Gillig,THE KNIGHT AND THE MOTH,Rachel Gillig,26,4,7,14,1,0,10,2,2,2,8,0,0.16666666666666666,retrospective,PAST,high,"83% past / 17% present of 12, situation=retrospective"
top2025:TWICE|Mitch Albom,TWICE,Mitch Albom,25,4,16,3,2,0,5,0,4,0,1,0,0.0,retrospective,PAST,med,"100% past / 0% present of 5, situation=retrospective"
