quote_id,sample_id,gr_work_id,page,idx,source_url,quote_text,bucket,tense,note
q00001,top1932:6279,258750,1,0,https://www.goodreads.com/work/quotes/258750,The only natural human beings seem to be those who are making trouble.,,,
q00002,top1932:4216,3258094,1,0,https://www.goodreads.com/work/quotes/3258094,"When there were none but these two left in the hall, Wang the Tiger leaned forward out of his carven seat and he said in a hard, hoarse voice, ""Woman, you are free. Choose where you will go and I will send someone to take you there."" And she answered simply, with all the boldness gone out of her, except that she could look at him in the eyes while she said it, ""I have chosen already. I am your bondswoman.",,,
q00003,top1932:4216,3258094,1,1,https://www.goodreads.com/work/quotes/3258094,"I think not everyone can see the whole picture. It has long been said we each see what we look for. You and I, we look at land and think of seed and harvests. A builder looks at the same land and thinks of houses, and a painter of its colors. The priest sees men only as those who need to be saved, and so naturally he sees most clearly those who need to be saved.",,,
q00004,top1932:4216,3258094,1,2,https://www.goodreads.com/work/quotes/3258094,"Perhaps, Yuan, such laws as this are only keys to unlock a door to a closed garden, and we must throw the key recklessly away and go forth into that garden boldly by imagination—or call it faith,",,,
q00005,top1932:4216,3258094,1,3,https://www.goodreads.com/work/quotes/3258094,Now it has been said from ancient times that all women who weep may be divided into three sorts. There are those who lift up their voices and their tears flow and this may be called crying; there are those who utter loud lamentations but whose tears do not flow and this may be called howling; there are those whose tears flow but who utter no sound and this may be called weeping.,,,
q00006,top1932:4216,3258094,1,4,https://www.goodreads.com/work/quotes/3258094,"He had collected from every place where he had hid his little stores of gain and he had borrowed all he could, and he could not even have had this except by bitter, frugal living.",,,
q00007,top1932:4216,3258094,1,6,https://www.goodreads.com/work/quotes/3258094,"she began, “Truly it is a very shameful sight to see one who should be",,,
q00008,top1932:4216,3258094,1,7,https://www.goodreads.com/work/quotes/3258094,"The truth is I cannot hate wholly enough to kill a man. I always know how he feels, too.",,,
q00009,top1932:4216,3258094,1,8,https://www.goodreads.com/work/quotes/3258094,"Now although it is said that lords of war should be subservient in a nation to the civil governors of the people, it is a thing known and proved that the power goes always to the armed man and the man with weapons, and how can a weaponless man, even though he has the right, oppose a man of war in the same region with him, who has soldiers to his command?",,,
q00010,top1932:4216,3258094,1,9,https://www.goodreads.com/work/quotes/3258094,"women are so strange and their tempers are uncertain, and mothers are the strangest of all, for they see fears and harms about their children where there are no such things.",,,
q00011,top1932:4216,3258094,1,10,https://www.goodreads.com/work/quotes/3258094,"man and after him two others, one nicknamed the Hawk, because he had a very curious hooked",,,
q00012,top1932:4216,3258094,1,11,https://www.goodreads.com/work/quotes/3258094,In these days it never came to Wang the Tiger's mind that his son's dreams might not be his own and he lived for the spring.,,,
q00013,top1946:5547,627187,1,0,https://www.goodreads.com/work/quotes/627187,"but fate and circumstance had made me no more than a shadow in his life, a phantom of what might have been",,,
q00014,top1946:5547,627187,1,1,https://www.goodreads.com/work/quotes/627187,"We change from the awakening questing creatures we were once, afire with wonder, and expectancy, and doubt, to persons of opinion and authority, our habits formed, our characters moulded in a pattern",,,
q00015,top1946:5547,627187,1,2,https://www.goodreads.com/work/quotes/627187,"In memory of Robert Harris, sometime Major-General of His Majesty's forces before Plymouth, who was buried hereunder the 29th day of June 1655. And of Honor Harris his sister, who was likewise here underneath buried, the 17th day of November, in the year of our Lord 1653.Loyall and stout; they Crime this--this thy praise.Thou'rt here with Honour laid--though without Bayes.",,,
q00016,top1946:5547,627187,1,3,https://www.goodreads.com/work/quotes/627187,"When the water drains from the marshes, and little by little the yellow sands appear, rippling and hard and firm, it seems to my foolish fancy, as I lie here, that I too go seaward with the tide, and all my old hidden dreams that I thought buried for all time are bare and naked to the day, just as the shells and the stones are on the sands.",,,
q00017,top1946:5547,627187,1,4,https://www.goodreads.com/work/quotes/627187,What might have been—what could have been. These are the saddest phrases in our English tongue.,,,
q00018,top1946:5547,627187,1,5,https://www.goodreads.com/work/quotes/627187,It is not easy to be gallant in an apple tree. Perhaps you will tell your mother.,,,
