quote_id,sample_id,gr_work_id,page,idx,source_url,quote_text,bucket,tense,note
q00001,top1933:2731,454727,1,0,https://www.goodreads.com/work/quotes/454727,"Oh, but childhoods go by so quickly too, we have them for such a short time - six years? Ten at the most? We are so alone in this life.",,,
q00002,top1933:2731,454727,1,2,https://www.goodreads.com/work/quotes/454727,"And so it had been going on week after week. Month after month. That was what was so discouraging, that it went on so endlessly. Hadn't he once believed that it was all over? The worst thing was that it went on. And on, and on, with no end in sight.",,,
q00003,top1933:2731,454727,1,3,https://www.goodreads.com/work/quotes/454727,"And then she cries some more, and finally she finds sleep, as one always eventually finds sleep, after toothache and after childbirth, after a fight and after a rare joy.",,,
q00004,top1933:2731,454727,1,4,https://www.goodreads.com/work/quotes/454727,"This way please,' said a voice. In the door stood Dr Sesame, the famous Dr Sesame, whose reputation as a sympathetic and, according to some, also a kind-hearted man had spread throughout the town and beyond. He had also written a popular pamphlet on sexual problems, which had given Pinneberg the courage to write making an appointment for Emma and himself.This, then, was the Dr Sesame at present standing in the doorway, and saying 'This way, please.' Dr Sesame searched on his desk for the letter. 'You wrote to me, Mr Pinneberg... saying you couldn't have any children just yet because you couldn't afford it?''Yes,' said Pinneberg, dreadfully embarrassed.'You can start undressing,' said the doctor to Emma, and carried on: 'And you want to know an entirely reliable means of prevention. Hm, an entirely reliable means...' He smiled sceptically behind his gold-rimmed spectacles.'I read about it in your book... These pessoirs...''Pessaries,' said the doctor. 'Yes, but they don't suit every woman. And it's always a bit of a business. It depends on whether your wife would be nimble-fingered enough...'He looked up at her. She had already taken off her blouse and skirt. Her slim legs made her look very tall.'Well, let's go next door,' said the doctor. 'You needn't have taken your blouse off for this, young lady.'Emma went a deep red.'Oh well, leave it off now. Come this way. One moment, Mr Pinneberg.'The two of them went into the next room. Pinneberg watched them go. The top of the doctor's head reached no farther than the 'young lady's' shoulders. How beautiful she was! thought Pinneberg yet again; she was the greatest girl in the world, the only one for him. He worked in Ducherow, and she worked here in Platz, and he never saw her more than once a fortnight, so his joy in her was always fresh, and his desire for her absolutely inexpressible.Next door he heard the doctor asking questions on and off in a low voice, and an instrument clinking on the side of a bowl. He knew that sound from the dentist's; it wasn't a pleasant one.Then he winced violently. Never had he heard that tone from Emma. She was saying in a high, clear voice that was almost a shriek - 'No, no, no!' And once again, 'No!' And then, very softly, but he still heard it: 'Oh God.'Pinneberg took three steps to the door - What was that? What could it be? What about these rumours that those kind of doctors were terrible lechers? But then Dr Sesame spoke again - impossible to hear what he said - and the instrument clinked again.There was a long silence.",,,
q00005,top1937:6761,2970368,1,0,https://www.goodreads.com/work/quotes/2970368,"There must be another life, she thought, sinking back into her chair, exasperated. Not in dreams; but here and now, in this room, with living people. She felt as if she were standing on the edge of a precipice with her hair blown back; she was about to grasp something that just evaded her. There must be another life, here and now, she repeated. This is too short, too broken. We know nothing, even about ourselves.",,,
q00006,top1937:6761,2970368,1,1,https://www.goodreads.com/work/quotes/2970368,"But why do I notice everything? She thought. Why must I think? She did not want to think. She wanted to force her mind to become a blank and lie back, and accept quietly, tolerantly, whatever came.",,,
q00007,top1937:6761,2970368,1,2,https://www.goodreads.com/work/quotes/2970368,Would there be trees if we didn't see them?,,,
q00008,top1937:6761,2970368,1,3,https://www.goodreads.com/work/quotes/2970368,"Anyhow, she thought, they are aware of each other; they live in each other; what else is love, she asked, listening to their laughter.",,,
q00009,top1937:6761,2970368,1,4,https://www.goodreads.com/work/quotes/2970368,"Thinking was torment; why not give up thinking, and drift and dream? But the misery of the world, she thought, forces me to think. Or was that a pose? Was she not seeing herself in the becoming attitude of one who points to his bleeding heart? to whom the miseries of the world are misery, when in fact, she thought, I do not love my kind. Again she saw the ruby-splashed pavement, and faces mobbed at the door of a picture palace; apathetic, passive faces; the faces of people drugged by cheap pleasures; who had not even the courage to be themselves, but must dress up, imitate, pretend.",,,
q00010,top1937:6761,2970368,1,5,https://www.goodreads.com/work/quotes/2970368,"Am I a weed, carried this way, that way, on a tide that comes twice a day without a meaning?",,,
q00011,top1937:6761,2970368,1,6,https://www.goodreads.com/work/quotes/2970368,Millions of things came back to her. Atoms danced apart and massed themselves. But how did they compose what people called a life?,,,
q00012,top1937:6761,2970368,1,7,https://www.goodreads.com/work/quotes/2970368,"She felt as if things were moving past her as she lay stretched on the bed under the single sheet. But it’s not landscape any longer, she thought; it’s people’s lives, their changing lives.",,,
q00013,top1937:6761,2970368,1,8,https://www.goodreads.com/work/quotes/2970368,"Love ought to stop on both sides, don’t you think, simultaneously?’ He spoke without any stress on the words, so as not to wake the sleepers. ‘But it won’t - that’s the devil,’ he added in the same undertone.",,,
q00014,top1937:6761,2970368,1,10,https://www.goodreads.com/work/quotes/2970368,"When shall we be free? When shall we live adventurously, wholly, not like cripples in a cave?",,,
q00015,top1937:6761,2970368,1,11,https://www.goodreads.com/work/quotes/2970368,"It was better to die, like Eugénie and Digby, in the prime of life with all one's faculties about one. But he wasn't like that, she thought, glancing at the press cuttings. 'A man of singularly handsome presence... shot, fished, and played golf.' No, not like that in the least. He had been a curious man; weak; sensitive; liking titles; liking pictures; and often depressed, she guessed , by his wife's exuberance. She pushed the cuttings away and took up her book. It was odd how different the same person seemed to two different people, she thought. There was Martin, liking Eugénie; and she, liking Digby. She began to read.She had always wanted to know about Christianity - how it began; what it meant, originally. God is love, The kingdom of Heaven is within us, sayings like that she thought, turning over the pages, what did they mean? The actual words were very beautiful. But who said them - when? Then the spout of the tea-kettle puffed steam at her and she moved it away. The wind was rattling the windows in the back room; it was bending the little bushes; they still had no leaves on them. It was what a man said under a fig tree, on a hill, she thought. And then another man wrote it down. But suppose that what that man says is just as false as what this man - she touched the press cuttings with her spoon - says about Digby? And here I am, she thought, looking at the china in the Dutch cabinet, in this drawing-room, getting a little spark from what someone said all those years ago - here it comes (the china was changing from blue to livid) skipping over all those mountains, all those seas. She found her place and began to read.",,,
q00016,top1937:6761,2970368,1,14,https://www.goodreads.com/work/quotes/2970368,"Or was there always, he thought, as he too rose and looked for his hat, something that came to the surface, inappropriately, unexpectedly, from the depths of people, and made ordinary actions, ordinary words, expressive of the whole being …",,,
q00017,top1937:6761,2970368,1,15,https://www.goodreads.com/work/quotes/2970368,"But this man Brown - it was difficult to place him at once. He talked, spreading his fingers out with the volubility of a man who will in the end become a bore. And Eleanor wandered about, holding a cup, telling people about her shower-bath. He wished they would stick to he point. Talk interested him. Serious talk on abstract subjects. 'Was solitude good; was society bad?' That was interesting; but they hopped from thing to thing. When the large man said, 'Solitary confinement is the greatest torture we inflict,' the meagre old woman with the wispy hair at once piped up, laying her hand on her heart, 'It ought to be abolished!' She visited prisons, it seemed.",,,
q00018,top1937:6761,2970368,1,16,https://www.goodreads.com/work/quotes/2970368,"She left the room without looking in the glass. From which we deduce the fact, he said to himself, as if he were writing a novel, that Miss Sarah Pargiter has never attracted the love of men. Or had she? He did not know. These little snapshot pictures of people left much to be desired, these little surface pictures that one made, like a fly crawling over a face, and feeling, here’s the nose, here’s the brow.",,,
q00019,top1937:6761,2970368,1,17,https://www.goodreads.com/work/quotes/2970368,"And for some reason she held the sentence suspended without meaning in her mind’s ear, “…quite enough for everybody at present,” she repeated. After all the foreign languages she had been hearing, it sounded to her pure English. What a lovely language, she thought, saying over to herself again the common place words…",,,
q00020,top1937:6761,2970368,1,18,https://www.goodreads.com/work/quotes/2970368,"How terrible old age was, she thought; shearing off all one’s faculties, one by one, but leaving something alive in the centre.",,,
q00021,top1937:6761,2970368,1,19,https://www.goodreads.com/work/quotes/2970368,"Where does she begin, and where do I end? she thought... On they drove. They were two living people, driving across London; two sparks of life enclosed in two separate bodies; and those sparks of life enclosed in two separate bodies are at this moment, she thought, driving past a picture palace. But what is this moment; and what are we?",,,
q00022,top1937:6761,2970368,1,20,https://www.goodreads.com/work/quotes/2970368,It was January. Snow was falling; snow had fallen all day. The sky spread like a grey goose's wing from which feathers where falling all over England.,,,
