quote_id,sample_id,gr_work_id,page,idx,source_url,quote_text,bucket,tense,note
q00001,top2001:3158,1234249,1,0,https://www.goodreads.com/work/quotes/1234249,"There are threads in our lives. You pull one, and everything else gets affected.",,,
q00002,top2001:3158,1234249,1,1,https://www.goodreads.com/work/quotes/1234249,"She blew a stream of smoke up at the empty clotheslines. 'These silly dreams you have when you're young. I mean, what, Katie and Brendan Harris were going ot make a life in Las Vegas? How long would that little Eden have lasted? Maybe they'd be on their second trailer park, second kid, but it would have hit them sooner or later - life isn't happily ever after and golden sunsets and shit like that. It's work. The person you love is rarely worthy of how big your love is. Because no one is worthy of that and maybe no one deserves the burden of it, either. You'll be let down. You'll be disappointed and have your trust broken and have a lot of real sucky days. You lose more than you win. You hate the person you love as much as you love him. But, shit, you roll up your sleeves and work - at everything -because that's what growing older is.",,,
q00003,top2001:3158,1234249,1,3,https://www.goodreads.com/work/quotes/1234249,"Lately, though, he'd just been tired in general. Tired of people. Tired of books and TV and the nightly news and songs on the radio he'd heard years before and hadn't liked much in the first place. He was tired of his clothes and tired of his hair and tired of other people's clothes and other people's hair. He was tired of wishing things made sense. He'd gotten to a point where he was pretty sure he'd heard everything anyone had to say on any given subject and so it seemed he spent his days listening to old recordings of things that hadn't seemed fresh the first time he'd heard them.Maybe he was simply tired of life, of the absolute effort it took to get up every goddamned morning and walk out with into the same fucking day with only slight variations in the weather and food.He wondered if this was what clinical depression felt like, a total numbness, a weary lack of hope.",,,
q00004,top2001:3158,1234249,1,4,https://www.goodreads.com/work/quotes/1234249,"Happiness comes in moments, & then it's gone until the next time. Could be years. But sadness settles it.",,,
q00005,top2001:3158,1234249,1,5,https://www.goodreads.com/work/quotes/1234249,"Men. If you give them half a chance, they'll fuck you over just to prove they can.",,,
q00006,top2001:3158,1234249,1,6,https://www.goodreads.com/work/quotes/1234249,"He wanted to go on for hours. He wanted someone to listen to him and to understand that speech wasn't just about communicating ideas or opinions. Sometimes, it was about trying to convey whole human lives. And while you knew even before you opened your mouth that you'd fail, somehow the trying was what mattered. The trying was all you had.",,,
q00007,top2001:3158,1234249,1,7,https://www.goodreads.com/work/quotes/1234249,"It had occurred to Sean once - on a bender about ten years before with some buddies, Sean and a bloodstream full of bourbon turning philosophical - that maybe they HAD gotten in that car. All three of them. And what they now thought of as their life was just a dream state. That all three of them were, in reality, still eleven-year-old boys trapped in some cellar, imagining what they'd become if they ever escaped and grew up.",,,
q00008,top2001:3158,1234249,1,10,https://www.goodreads.com/work/quotes/1234249,scarred by wisdom she'd never asked for.,,,
q00009,top2001:3158,1234249,1,11,https://www.goodreads.com/work/quotes/1234249,"Dave put his head down and ate his eggs. He heard his mother leave the kitchen, humming Old MacDonald all the way down the hall.Standing in the yard now, knuckles aching, he could hear it too. Old MacDonald had a farm. And everything was hunky-dory on it. You farmed and tilled and reaped and sowed and everything was just fucking great. Everyone got along, even the chickens and the cows, and no one needed to talk about anything, because nothing bad ever happened and nobody had any secrets because secrets were for bad people, people who climbed in cars that smelled of apples with strange men and disappeared for four days, only to come back home and find everyone they'd known had disappeared, too, been replaced with smiley-faced look-alikes who'd do just about anything but listen to you.",,,
q00010,top2001:3158,1234249,1,12,https://www.goodreads.com/work/quotes/1234249,This woman was hard-core. Fuck with her at your peril.,,,
q00011,top2001:3158,1234249,1,13,https://www.goodreads.com/work/quotes/1234249,"When it came down to it, though, you had to remember all those assholes cutting you off in traffic and walking the streets and shouting in bars and turning their music up too loud and mugging you and raping you and selling you lemon cars-all those assholes were just children who'd aged. No miracle. Nothing sacred in that.",,,
q00012,top2001:3158,1234249,1,14,https://www.goodreads.com/work/quotes/1234249,"The harsh light above them caught her face, and Sean could see what she'd look like when she was much older - a handsome woman, scarred by wisdom she never asked for.",,,
q00013,top2001:3158,1234249,1,15,https://www.goodreads.com/work/quotes/1234249,"It was the lack of a clear reason that got to her most, & it stabbed her that a relationship that had once seemed unbreakable could slip apart so easily due to nothing more than time, family turmoil, & growth spurts.",,,
q00014,top2001:3158,1234249,1,17,https://www.goodreads.com/work/quotes/1234249,"She was his wife, mother, best friend, sister, lover, and priest.",,,
q00015,top2001:3158,1234249,1,18,https://www.goodreads.com/work/quotes/1234249,"Brendan Harris loved everyone now because he loved Katie and Katie loved him. Brendan loved traffic and smog and the sound of jackhammers. He loved his worthless old man who hadn't sent him a single birthday or Christmas card since he'd walked out on Brendan and his mother when Brendan was six. He loved Monday mornings, sitcoms that couldn't make a retard laugh, and standing in line at the RMV. He even loved his job, though he wouldn't be going in ever again.",,,
