sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
1990-1999:1939,1990-1999,post45,1939,FROM POTTER'S FIELD,Patricia Cornwell,1995,1995-08-20,0684195984,31900546.0,1,
1990-1999:2746,1990-1999,post45,2746,LONDON,Edward Rutherfurd,1997,1997-06-08,0517591812,36528386.0,5,
1990-1999:4830,1990-1999,post45,4830,THE CHRISTMAS BOX,Richard Paul Evans,1995,1995-11-05,0684814994,32625293.0,1,
1990-1999:5778,1990-1999,post45,5778,THE MATARESE COUNTDOWN,Robert Ludlum,1997,1997-11-02,0553106678,37260848.0,3,
1990-1999:3553,1990-1999,post45,3553,POLGARA THE SORCERESS,David and Leigh Eddings,1997,1997-11-02,,,11,
1990-1999:1390,1990-1999,post45,1390,DECIDER,Dick Francis,1993,1993-10-31,0399138714,28378370.0,7,
1990-1999:78,1990-1999,post45,78,A CUP OF CHRISTMAS TEA,Tom Hegg,1993,1993-01-17,,14366766.0,11,
1990-1999:3132,1990-1999,post45,3132,MUTANT MESSAGE DOWN UNDER,Marlo Morgan,1994,1994-09-11,0060171928,30399301.0,9,
1990-1999:7061,1990-1999,post45,7061,UNDUE INFLUENCE,Steve Martini,1994,1994-07-31,,30030844.0,9,
1990-1999:606,1990-1999,post45,606,BE COOL,Elmore Leonard,1999,1999-02-28,0385333919,39523390.0,4,
1990-1999:3628,1990-1999,post45,3628,PRIVATE EYES,Jonathan Kellerman,1992,1992-01-26,055308013X,23689219.0,6,
1990-1999:6264,1990-1999,post45,6264,THE SEVENTH COMMANDMENT,Lawrence Sanders,1991,1991-04-28,0399136118,22239376.0,7,
1990-1999:3389,1990-1999,post45,3389,ONE PERFECT ROSE,Mary Jo Putney,1997,1997-06-22,0449000176,37007404.0,16,
1990-1999:6622,1990-1999,post45,6622,THE VOLCANO LOVER,Susan Sontag,1992,1992-08-30,,25874591.0,4,
1990-1999:7236,1990-1999,post45,7236,WHERE IS JOE MERCHANT?,Jimmy Buffett,1992,1992-08-30,,25833688.0,1,
1990-1999:299,1990-1999,post45,299,ACCORDION CRIMES,E. Annie Proulx,1996,1996-06-23,0684195488,34515071.0,9,
1990-1999:2236,1990-1999,post45,2236,HOMELAND,John Jakes,1993,1993-07-18,0385417241,27068931.0,15,
1990-1999:144,1990-1999,post45,144,A LITTLE YELLOW DOG,Walter Mosley,1996,1996-07-21,0393039242,34046313.0,15,
1990-1999:1947,1990-1999,post45,1947,FUGITIVE NIGHTS,Joseph Wambaugh,1992,1992-02-09,0688111289,23767167.0,7,
1990-1999:2370,1990-1999,post45,2370,IMMORTALITY,Milan Kundera,1991,1991-06-02,0802111114,22983257.0,9,
1990-1999:5338,1990-1999,post45,5338,THE GROUND BENEATH HER FEET,Salman Rushdie,1999,1999-05-09,0805053085,39796091.0,14,
1990-1999:5234,1990-1999,post45,5234,THE GENERAL IN HIS LABYRINTH,Gabriel Garcia Marquez,1990,1990-09-23,0394582586,21595045.0,3,
1990-1999:3613,1990-1999,post45,3613,PRINCE CHARMING,Julie Garwood,1994,1994-05-29,0671870955,30380326.0,9,
1990-1999:5293,1990-1999,post45,5293,THE GOLDEN MEAN,Nick Bantock,1993,1993-09-12,0811802981,27265700.0,4,
1990-1999:5577,1990-1999,post45,5577,THE LAST COMMAND,Timothy Zahn,1993,1993-04-25,0553091867,27068836.0,3,
1990-1999:1097,1990-1999,post45,1097,COLD HARBOUR,Jack Higgins,1990,1990-01-21,0671684256,20755352.0,4,
1990-1999:5135,1990-1999,post45,5135,THE FINAL JUDGMENT,Richard North Patterson,1995,1995-12-17,0679429891,32853775.0,10,
1990-1999:5677,1990-1999,post45,5677,THE LIVING,Annie Dillard,1992,1992-05-17,0060168706,24794993.0,9,
1990-1999:6339,1990-1999,post45,6339,THE SMITHSONIAN INSTITUTION,Gore Vidal,1998,1998-04-05,0375501215,37742286.0,14,
1990-1999:5537,1990-1999,post45,5537,THE KILLING GAME,Iris Johansen,1999,1999-09-19,0553106244,41049506.0,9,
1990-1999:1710,1990-1999,post45,1710,EYES OF A CHILD,Richard North Patterson,1995,1995-01-22,0679429883,30736382.0,4,
1990-1999:6110,1990-1999,post45,6110,THE RED HORSEMAN,Stephen Coonts,1993,1993-06-20,0671748874,27897975.0,14,
1990-1999:399,1990-1999,post45,399,ALONG CAME A SPIDER,James Patterson,1993,1993-02-07,0316693642,25995508.0,4,
1990-1999:4289,1990-1999,post45,4289,STAR TREK GENERATIONS,J.M. Dillard,1994,1994-12-04,0671517422,31491225.0,13,
1990-1999:4838,1990-1999,post45,4838,THE CHRISTMAS TREE,Julie Salamon,1996,1996-12-22,0679452532,34669334.0,6,
1990-1999:2667,1990-1999,post45,2667,LEGEND,Jude Deveraux,1996,1996-09-29,0671744615,35118321.0,8,
1990-1999:1382,1990-1999,post45,1382,DEBT OF HONOR,Tom Clancy,1994,1994-09-04,0399139540,30739194.0,1,
1990-1999:7085,1990-1999,post45,7085,UP ISLAND,Anne Rivers Siddons,1997,1997-06-15,,36423427.0,4,
1990-1999:181,1990-1999,post45,181,A NIGHT WITHOUT ARMOR,Jewel Kilcher,1998,1998-06-14,,,7,
1990-1999:576,1990-1999,post45,576,BAD LOVE,Jonathan Kellerman,1994,1994-01-23,0553089196,28422909.0,5,
1990-1999:1460,1990-1999,post45,1460,DINOTOPIA,James Gurney,1992,1992-12-27,1878685236,26611705.0,13,
1990-1999:6014,1990-1999,post45,6014,THE PIRANHAS,Harold Robbins,1991,1991-07-07,0671524798,23733626.0,9,
1990-1999:1245,1990-1999,post45,1245,DAMASCUS GATE,Robert Stone,1998,1998-05-17,0395665698,38002668.0,13,
1990-1999:403,1990-1999,post45,403,ALWAYS A RECKONING,Jimmy Carter,1995,1995-02-05,0812924347,30319875.0,9,
1990-1999:3812,1990-1999,post45,3812,RIVER GOD,Wilbur Smith,1994,1994-04-03,0312106122,29427843.0,10,
1990-1999:4904,1990-1999,post45,4904,THE CROSSING,Cormac McCarthy,1994,1994-06-26,0394574753,29844718.0,3,
1990-1999:6273,1990-1999,post45,6273,THE SHADOW RISING,Robert Jordan,1992,1992-10-18,9780312854317,26217516.0,7,
1990-1999:6127,1990-1999,post45,6127,THE RETURN,William Shatner with Judith and Garfield Reeves-Stevens,1996,1996-03-31,,,4,
1990-1999:4450,1990-1999,post45,4450,TARA ROAD,Maeve Binchy,1999,1999-03-21,0385333951,39545507.0,3,
1990-1999:2110,1990-1999,post45,2110,HARLOT'S GHOST,Norman Mailer,1991,1991-10-20,0394588320,21976470.0,12,
1990-1999:4796,1990-1999,post45,4796,THE CELESTINE PROPHECY,James Redfield,1994,1994-03-06,044651862X,29768419.0,1,
1990-1999:6653,1990-1999,post45,6653,THE WATERWORKS,E.L. Doctorow,1994,1994-07-03,,29548564.0,5,
1990-1999:715,1990-1999,post45,715,BLACK NOTICE,Patricia Cornwell,1999,1999-08-22,,41211522.0,1,
1990-1999:1385,1990-1999,post45,1385,DECEPTION,Amanda Quick,1993,1993-06-27,0553095099,27678865.0,15,
1990-1999:7255,1990-1999,post45,7255,WHISPERS,Belva Plain,1993,1993-05-09,,26854884.0,11,
1990-1999:947,1990-1999,post45,947,CARNAL INNOCENCE,Nora Roberts,1999,1999-07-25,,40521314.0,7,
1990-1999:6266,1990-1999,post45,6266,THE SEVENTH GATE,Margaret Weis and Tracy Hickman,1994,1994-08-28,,,14,
1990-1999:2333,1990-1999,post45,2333,I'LL BE SEEING YOU,Mary Higgins Clark,1993,1993-05-09,0671673661,27727642.0,3,
1990-1999:2829,1990-1999,post45,2829,LOVERS,Judith Krantz,1994,1994-04-17,0517593335,29467608.0,6,
1990-1999:1462,1990-1999,post45,1462,DIRT,Stuart Woods,1996,1996-09-29,0060176660,35038083.0,13,
1990-1999:1904,1990-1999,post45,1904,FORWARD THE FOUNDATION,Isaac Asimov,1993,1993-04-11,0385247931,27267037.0,7,
1990-1999:6723,1990-1999,post45,6723,THE WITNESS,Sandra Brown,1995,1995-07-02,,31434484.0,5,
1990-1999:4464,1990-1999,post45,4464,TEMPLE OF THE WINDS,Terry Goodkind,1997,1997-10-26,0312890532,36807298.0,8,
1990-1999:1471,1990-1999,post45,1471,DISNEY'S POCAHONTAS,NO AUTHOR,1995,1995-07-16,,,9,
