sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top1931:5304,top1931,post45_topn,5304,THE GOOD EARTH,Pearl S. Buck,1931,1931-10-12,9780743272933,56471219.0,1,10
top1931:2878,top1931,post45_topn,2878,MAID IN WAITING,John Galsworthy,1931,1931-11-16,,365619.0,1,9
top1931:7209,top1931,post45_topn,7209,WESTWARD PASSAGE,Margaret Ayer Barnes,1931,1931-12-21,,299657.0,2,5
top1932:5193,top1932,post45_topn,5193,THE FOUNTAIN,Charles Morgan,1932,1932-06-13,,366987.0,1,18
top1932:2916,top1932,post45_topn,2916,MARY'S NECK,Booth Tarkington,1932,1932-02-08,,275617.0,1,9
top1932:1865,top1932,post45_topn,1865,FLOWERING WILDERNESS,John Galsworthy,1932,1932-11-21,,365619.0,1,8
top1933:481,top1933,post45_topn,481,ANTHONY ADVERSE,Hervey Allen,1933,1933-07-03,,280131.0,1,86
top1933:472,top1933,post45_topn,472,ANN VICKERS,Sinclair Lewis,1933,1933-01-30,,288770.0,1,12
top1933:518,top1933,post45_topn,518,AS THE EARTH TURNS,Gladys Hasty Carroll,1933,1933-05-08,,5343887.0,1,10
top1934:2031,top1934,post45_topn,2031,"GOOD-BYE, MR. CHIPS",James Hilton,1934,1934-07-23,0316364207,6581203.0,2,41
top1934:4182,top1934,post45_topn,4182,SO RED THE ROSE,Stark Young,1934,1934-07-30,,778848.0,1,27
top1934:2626,top1934,post45_topn,2626,LAMB IN HIS BOSOM,Caroline Miller,1934,1934-05-21,,169502.0,1,24
top1935:2055,top1935,post45_topn,2055,GREEN LIGHT,Lloyd C. Douglas,1935,1935-03-18,,1443750.0,1,31
top1935:2467,top1935,post45_topn,2467,IT CAN'T HAPPEN HERE,Sinclair Lewis,1935,1935-10-28,,288938.0,1,31
top1935:3338,top1935,post45_topn,3338,OF TIME AND THE RIVER,Thomas Wolfe,1935,1935-03-18,0684147394,1387489.0,1,25
top1936:2026,top1936,post45_topn,2026,GONE WITH THE WIND,Margaret Mitchell,1936,1936-07-06,9781416548898,290058.0,1,78
top1936:1558,top1936,post45_topn,1558,DRUMS ALONG THE MOHAWK,Walter D. Edmonds,1936,1936-08-10,,764419.0,1,46
top1936:5608,top1936,post45_topn,5608,THE LAST PURITAN,George Santayana,1936,1936-02-10,0684131323,275564.0,1,29
top1937:4844,top1937,post45_topn,4844,THE CITADEL,A. J. Cronin,1937,1937-09-20,9780316161831,366023.0,1,60
top1937:3291,top1937,post45_topn,3291,NORTHWEST PASSAGE,Kenneth Roberts,1937,1937-07-12,,1834475.0,1,53
top1937:6097,top1937,post45_topn,6097,THE RAINS CAME,Louis Bromfield,1937,1937-11-01,9997405099,279952.0,3,28
top1938:6760,top1938,post45_topn,6760,THE YEARLING,Marjorie Kinnan Rawlings,1938,1938-04-11,,285927.0,1,42
top1938:389,top1938,post45_topn,389,ALL THIS AND HEAVEN TOO,Rachel Field,1938,1938-10-31,,284018.0,1,38
top1938:3727,top1938,post45_topn,3727,REBECCA,Daphne Du Maurier,1938,1938-10-03,0380778556,33984918.0,1,32
top1939:5317,top1939,post45_topn,5317,THE GRAPES OF WRATH,John Steinbeck,1939,1939-04-24,0670347914,289946.0,1,35
top1939:2600,top1939,post45_topn,2600,KITTY FOYLE,Christopher Morley,1939,1939-11-13,,466657.0,1,25
top1939:5861,top1939,post45_topn,5861,THE NAZARENE,Sholem Asch,1939,1939-10-30,,734794.0,1,24
top1940:2286,top1940,post45_topn,2286,HOW GREEN WAS MY VALLEY,Richard Llewellyn,1940,1940-02-19,,366043.0,1,35
top1940:3120,top1940,post45_topn,3120,MRS. MINIVER,Jan Struther,1940,1940-08-05,,852920.0,1,29
top1940:1886,top1940,post45_topn,1886,FOR WHOM THE BELL TOLLS,Ernest Hemingway,1940,1940-10-28,0684803356,285606.0,1,23
top1941:5530,top1941,post45_topn,5530,THE KEYS OF THE KINGDOM,A. J. Cronin,1941,1941-07-28,,364263.0,1,31
