sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top1931:413,top1931,post45_topn,413,AMERICAN BEAUTY,Edna Ferber,1931,1931-11-16,,284232.0,2,2
top1932:4639,top1932,post45_topn,4639,THE BISHOP'S JAEGERS,Thorne Smith,1932,1932-11-07,,3401275.0,2,5
top1934:2791,top1934,post45_topn,2791,LOST HORIZON,James Hilton,1934,1934-10-22,0895773619,23047473.0,1,23
top1934:5191,top1934,post45_topn,5191,THE FORTY DAYS OF MUSA DAGH,Franz Werfel,1934,1934-12-03,,3492372.0,1,20
top1934:7359,top1934,post45_topn,7359,WORK OF ART,Sinclair Lewis,1934,1934-01-29,,546764.0,1,13
top1937:6769,top1937,post45_topn,6769,THEATRE,Somerset Maugham,1937,1937-03-15,,1162927.0,1,19
top1937:3337,top1937,post45_topn,3337,OF MICE AND MEN,John Steinbeck,1937,1937-03-08,0670347914,289946.0,4,16
top1939:3039,top1939,post45_topn,3039,MOMENT IN PEKING,Lin Yutang,1939,1939-12-04,,365709.0,1,16
top1942:450,top1942,post45_topn,450,AND NOW TOMORROW,Rachel Field,1942,1942-06-08,,180318.0,1,19
top1942:5820,top1942,post45_topn,5820,THE MOON IS DOWN,John Steinbeck,1942,1942-03-16,014006222X,289940.0,1,18
top1942:533,top1942,post45_topn,533,ASSIGNMENT IN BRITTANY,Helen MacInnes,1942,1942-07-20,,168962.0,2,12
top1943:2298,top1943,post45_topn,2298,HUNGRY HILL,Daphne du Maurier,1943,1943-06-28,0837604141,12888953.0,2,15
top1943:5439,top1943,post45_topn,5439,THE HUMAN COMEDY,William Saroyan,1943,1943-03-08,0151422990,5755567.0,2,15
top1943:3122,top1943,post45_topn,3122,MRS. PARKINGTON,Louis Bromfield,1943,1943-01-11,,13019098.0,2,14
top1944:6102,top1944,post45_topn,6102,THE RAZOR'S EDGE,Somerset Maugham,1944,1944-05-14,1400034205,2437607.0,1,31
top1944:5334,top1944,post45_topn,5334,THE GREEN YEARS,A. J. Cronin,1944,1944-12-10,,366024.0,1,28
top1944:50,top1944,post45_topn,50,A BELL FOR ADANO,John Hersey,1944,1944-03-05,,284933.0,2,28
top1946:3027,top1946,post45_topn,3027,MISTER ROBERTS,Thomas Heggen,1946,1946-09-15,,284836.0,8,28
top1946:505,top1946,post45_topn,505,ARCH OF TRIUMPH,Erich Maria Remarque,1946,1946-02-10,,296103.0,1,27
top1948:6765,top1948,post45_topn,6765,THE YOUNG LIONS,Irwin Shaw,1948,1948-10-24,,275267.0,1,34
top1948:3709,top1948,post45_topn,3709,RAINTREE COUNTY,Ross Lockridge,1948,1948-01-25,,288566.0,1,29
top1948:1215,top1948,post45_topn,1215,"CRY, THE BELOVED COUNTRY",Alan Paton,1948,1948-02-29,,366807.0,11,25
top1949:4715,top1949,post45_topn,4715,THE BRAVE BULLS,Tom Lea,1949,1949-05-08,,4622973.0,3,22
top1950:4286,top1950,post45_topn,4286,STAR MONEY,Kathleen Winsor,1950,1950-04-30,,291060.0,3,22
top1950:4518,top1950,post45_topn,4518,THE ADVENTURER,Mika Waltari,1950,1950-10-08,,337909.0,3,22
top1950:302,top1950,post45_topn,302,ACROSS THE RIVER AND INTO THE TREES,Ernest Hemingway,1950,1950-09-24,0684153130,284565.0,1,21
top1952:3138,top1952,post45_topn,3138,MY COUSIN RACHEL,Daphne du Maurier,1952,1952-02-17,,366156.0,1,36
top1953:6863,top1953,post45_topn,6863,TIME AND TIME AGAIN,James Hilton,1953,1953-09-06,,365031.0,2,27
top1954:2545,top1954,post45_topn,2545,KATHERINE,Anya Seton,1954,1954-10-17,9780395081730,310288.0,2,29
top1954:3192,top1954,post45_topn,3192,"NEVER VICTORIOUS, NEVER DEFEATED",Taylor Caldwell,1954,1954-05-16,,360824.0,2,29
top1954:6168,top1954,post45_topn,6168,THE ROYAL BOX,Frances Parkinson Keyes,1954,1954-06-27,,285353.0,3,26
top1956:2374,top1956,post45_topn,2374,IMPERIAL WOMAN,Pearl S. Buck,1956,1956-04-15,,280746.0,2,24
top1956:5761,top1956,post45_topn,5761,THE MANDARINS,Simone de Beauvoir,1956,1956-06-10,,8304981.0,3,24
top1957:3363,top1957,post45_topn,3363,ON THE BEACH,Nevil Shute,1957,1957-08-11,9780899683652,366779.0,2,29
top1958:1484,top1958,post45_topn,1484,DOCTOR ZHIVAGO,Boris Pasternak,1958,1958-09-28,,321288.0,1,57
top1958:2745,top1958,post45_topn,2745,LOLITA,Vladimir Nabokov,1958,1958-08-31,0679410430,289704.0,1,54
top1958:6715,top1958,post45_topn,6715,THE WINTHROP WOMAN,Anya Seton,1958,1958-03-09,,310292.0,2,31
top1959:4970,top1959,post45_topn,4970,THE DEVIL'S ADVOCATE,Morris L. West,1959,1959-10-04,0688014534,367823.0,4,38
top1959:3111,top1959,post45_topn,3111,MRS. ARRIS GOES TO PARIS,Paul Gallico,1959,1959-01-04,9780739480397,284506.0,6,37
top1959:2619,top1959,post45_topn,2619,LADY CHATTERLY'S LOVER,D.H. Lawrence,1959,1959-05-17,0670408123,415297.0,2,27
top1962:1715,top1962,post45_topn,1715,FAIL-SAFE,Eugene Burdick and Harvey Wheeler,1962,1962-11-04,,,2,30
top1962:7404,top1962,post45_topn,7404,YOUNGBLOOD HAWKE,Herman Wouk,1962,1962-05-27,,1408992.0,2,26
top1968:1167,top1968,post45_topn,1167,COUPLES,John Updike,1968,1968-04-14,0394420667,193251.0,1,36
top1968:3155,top1968,post45_topn,3155,MYRA BRECKINRIDGE,Gore Vidal,1968,1968-03-03,,438548.0,2,30
top1976:23,top1976,post45_topn,23,1876,Gore Vidal,1976,1976-03-21,0394497503,1859740.0,1,25
top1979:6383,top1979,post45_topn,6383,THE STAND,Stephen King,1979,1979-01-21,0385121687,4195644.0,1,38
top1979:6972,top1979,post45_topn,6972,TRIPLE,Ken Follett,1979,1979-09-09,,5312782.0,1,34
top1979:4944,top1979,post45_topn,4944,THE DEAD ZONE,Stephen King,1979,1979-09-09,0670315419,6277645.0,1,32
top1983:5671,top1983,post45_topn,5671,THE LITTLE DRUMMER GIRL,John le Carré,1983,1983-03-20,0394530152,8976169.0,1,34
top1983:3506,top1983,post45_topn,3506,PET SEMATARY,Stephen King,1983,1983-11-06,0385182449,9576009.0,1,32
top1983:1047,top1983,post45_topn,1047,CHRISTINE,Stephen King,1983,1983-04-10,0670220264,8931575.0,2,32
top1984:5352,top1984,post45_topn,5352,THE HAJ,Leon Uris,1984,1984-04-15,0385034598,10207589.0,2,24
top1984:6293,top1984,post45_topn,6293,THE SICILIAN,Mario Puzo,1984,1984-11-18,0671435647,11030814.0,1,23
top1984:6462,top1984,post45_topn,6462,THE TALISMAN,Stephen King and Peter Straub,1984,1984-10-28,,,1,23
top1988:352,top1988,post45_topn,352,ALASKA,James A. Michener,1988,1988-07-03,0394569814,17441704.0,1,33
top1988:831,top1988,post45_topn,831,BREATHING LESSONS,Anne Tyler,1988,1988-09-25,,17917014.0,2,33
top1988:5454,top1988,post45_topn,5454,THE ICARUS AGENDA,Robert Ludlum,1988,1988-03-13,0394543971,16901124.0,1,27
top1990:4003,top1990,post45_topn,4003,SEPTEMBER,Rosamunde Pilcher,1990,1990-04-22,0312044194,20932164.0,1,26
top1990:4708,top1990,post45_topn,4708,THE BOURNE ULTIMATUM,Robert Ludlum,1990,1990-03-18,0394584082,20320080.0,1,26
top1990:2956,top1990,post45_topn,2956,MEMORIES OF MIDNIGHT,Sidney Sheldon,1990,1990-08-26,0688084885,21336519.0,1,24
top1992:7158,top1992,post45_topn,7158,WAITING TO EXHALE,Terry McMillan,1992,1992-05-31,,25048160.0,2,38
top1992:1979,top1992,post45_topn,1979,GERALD'S GAME,Stephen King,1992,1992-07-19,0670846503,25131056.0,1,28
top1992:3894,top1992,post45_topn,3894,SABINE'S NOTEBOOK,Nick Bantock,1992,1992-10-18,0811801802,25201874.0,4,23
