sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top1996:1735,top1996,post45_topn,1735,FALLING UP,Shel Silverstein,1996,1996-06-09,0060248025,34736959.0,3,30
top1997:1098,top1997,post45_topn,1098,COLD MOUNTAIN,Charles Frazier,1997,1997-07-13,0871136791,36352242.0,1,61
top1998:2118,top1998,post45_topn,2118,HARRY POTTER AND THE SORCERER'S STONE,J. K. Rowling,1998,1998-12-27,0590353403,37975719.0,1,82
top1999:6488,top1999,post45_topn,6488,THE TESTAMENT,John Grisham,1999,1999-02-21,,40173200.0,1,30
top2000:4719,top2000,post45_topn,4719,THE BRETHREN,John Grisham,2000,2000-02-20,0385497482,54083777.0,1,31
top2001:4136,top2001,post45_topn,4136,SKIPPING CHRISTMAS,John Grisham,2001,2001-11-25,0385505833,54083800.0,1,35
top2002:3606,top2002,post45_topn,3606,PREY,Michael Crichton,2002,2002-12-15,0066214122,50511161.0,1,15
top2003:5543,top2003,post45_topn,5543,THE KING OF TORTS,John Grisham,2003,2003-02-23,0385508042,51033987.0,1,23
top2004:6172,top2004,post45_topn,6172,THE RULE OF FOUR,Ian Caldwell and Dustin Thomason,2004,2004-05-30,0743529731,55077472.0,2,22
top2005:535,top2005,post45_topn,535,AT FIRST SIGHT,Nicholas Sparks,2005,2005-11-06,0446578770,61131778.0,1,18
top2006:5615,top2006,post45_topn,5615,THE LAST TEMPLAR,Raymond Khoury,2006,2006-02-05,9780525949411,62866704.0,4,12
top2007:257,top2007,post45_topn,257,A THOUSAND SPLENDID SUNS,Khaled Hosseini,2007,2007-06-10,9781594489501,85783363.0,1,49
top2008:5343,top2008,post45_topn,5343,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,2008,2008-08-17,9780385340991,191089812.0,3,33
top2009:5257,top2009,post45_topn,5257,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,2009,2009-08-16,9780307269980,262433336.0,1,21
top2010:1923,top2010,post45_topn,1923,FREEDOM,Jonathan Franzen,2010,2010-09-19,9780374158460,548616620.0,1,19
top2011:5670,top2011,post45_topn,5670,THE LITIGATORS,John Grisham,2011,2011-11-13,9780385535137,732788050.0,1,16
top2012:6524,top2012,post45_topn,6524,THE TIME KEEPER,Mitch Albom,2012,2012-09-23,,788292762.0,1,15
top2013:4426,top2013,post45_topn,4426,SYCAMORE ROW,John Grisham,2013,2013-11-10,9780385537131,844752219.0,1,22
top2014:2048,top2014,post45_topn,2048,GRAY MOUNTAIN,John Grisham,2014,2014-11-09,9780385537148,877911289.0,1,20
top2015:3851,top2015,post45_topn,3851,ROGUE LAWYER,John Grisham,2015,2015-11-08,9780385539432,913098460.0,1,19
