sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top1996:4957,top1996,post45_topn,4957,THE DEEP END OF THE OCEAN,Jacquelyn Mitchard,1996,1996-09-22,0670865796,33443698.0,1,29
top1996:3608,top1996,post45_topn,3608,PRIMARY COLORS,Anonymous,1996,1996-02-11,,1036772188.0,1,25
top1998:6419,top1998,post45_topn,6419,THE STREET LAWYER,John Grisham,1998,1998-02-22,,57003872.0,1,27
top1998:3707,top1998,post45_topn,3707,RAINBOW SIX,Tom Clancy,1998,1998-08-23,0399143904,39069409.0,1,25
top1999:4450,top1999,post45_topn,4450,TARA ROAD,Maeve Binchy,1999,1999-03-21,0385333951,39545507.0,3,23
top2000:5766,top2000,post45_topn,5766,THE MARK,Tim LaHaye and Jerry B. Jenkins,2000,2000-12-03,,,1,21
top2000:5469,top2000,post45_topn,5469,THE INDWELLING,Tim LaHaye and Jerry B. Jenkins,2000,2000-06-11,,,1,19
top2001:2511,top2001,post45_topn,2511,JOURNEY THROUGH HEARTSONGS,Mattie J. T. Stepanek,2001,2001-11-18,0786869429,56191915.0,1,22
top2002:5854,top2002,post45_topn,5854,THE NANNY DIARIES,Emma McLaughlin and Nicola Kraus,2002,2002-03-24,,,1,30
top2002:6436,top2002,post45_topn,6436,THE SUMMONS,John Grisham,2002,2002-02-24,,48258563.0,1,23
top2003:730,top2003,post45_topn,730,BLEACHERS,John Grisham,2003,2003-09-28,,52644759.0,1,18
top2004:5593,top2004,post45_topn,5593,THE LAST JUROR,John Grisham,2004,2004-02-22,0385510438,53989269.0,1,14
top2004:2311,top2004,post45_topn,2311,I AM CHARLOTTE SIMMONS,Tom Wolfe,2004,2004-11-28,0374281580,54931646.0,3,14
top2005:2917,top2005,post45_topn,2917,"MARY, MARY",James Patterson,2005,2005-12-04,031615976X,58055394.0,1,15
top2006:1196,top2006,post45_topn,1196,CROSS,James Patterson,2006,2006-12-03,0316159794,67375102.0,1,15
top2006:610,top2006,post45_topn,610,BEACH ROAD,James Patterson and Peter de Jonge,2006,2006-05-21,,,1,14
top2007:3537,top2007,post45_topn,3537,PLAYING FOR PIZZA,John Grisham,2007,2007-10-14,9780385525008,154309113.0,1,17
top2008:5415,top2008,post45_topn,5415,THE HOST,Stephenie Meyer,2008,2008-05-25,9780316068048,163708271.0,1,59
top2008:4560,top2008,post45_topn,4560,THE APPEAL,John Grisham,2008,2008-02-17,9780385515047,180190918.0,1,15
top2009:5709,top2009,post45_topn,5709,THE LOST SYMBOL,Dan Brown,2009,2009-10-04,9780385504225,399843314.0,1,29
top2010:4878,top2010,post45_topn,4878,THE CONFESSION,John Grisham,2010,2010-11-14,9780385528047,645774879.0,1,18
top2011:15,top2011,post45_topn,15,11/22/63,Stephen King,2011,2011-11-27,9781451627282,706026997.0,1,21
top2012:6093,top2012,post45_topn,6093,THE RACKETEER,John Grisham,2012,2012-11-11,9780385535144,793326683.0,1,18
top2012:901,top2012,post45_topn,901,CALICO JOE,John Grisham,2012,2012-04-29,,759916032.0,1,15
top2013:2418,top2013,post45_topn,2418,INFERNO,Dan Brown,2013,2013-06-02,9780385537858,824345998.0,1,29
top2014:691,top2014,post45_topn,691,BIG LITTLE LIES,Liane Moriarty,2014,2014-08-17,,881453612.0,1,15
top2015:2000,top2015,post45_topn,2000,GO SET A WATCHMAN,Harper Lee,2015,2015-08-02,9780062409850,902725212.0,1,33
top1996:6178,top1996,post45_topn,6178,THE RUNAWAY JURY,John Grisham,1996,1996-06-02,0385472943,34208175.0,1,23
top1996:2287,top1996,post45_topn,2287,HOW STELLA GOT HER GROOVE BACK,Terry McMillan,1996,1996-05-19,0670869902,34417970.0,1,21
top1996:3056,top1996,post45_topn,3056,MOONLIGHT BECOMES YOU,Mary Higgins Clark,1996,1996-04-21,0684810387,34321030.0,1,17
top1997:7085,top1997,post45_topn,7085,UP ISLAND,Anne Rivers Siddons,1997,1997-06-15,,36423427.0,4,17
top1997:4239,top1997,post45_topn,4239,SPECIAL DELIVERY,Danielle Steel,1997,1997-07-13,0385316917,36350593.0,1,15
top1997:5647,top1997,post45_topn,5647,THE LETTER,Richard Paul Evans,1997,1997-10-26,0684834723,37451885.0,4,15
top1997:3602,top1997,post45_topn,3602,PRETEND YOU DON'T SEE HER,Mary Higgins Clark,1997,1997-04-27,0684810395,36454987.0,1,14
top1998:4378,top1998,post45_topn,4378,SUMMER SISTERS,Judy Blume,1998,1998-06-07,0385324057,38239320.0,2,22
top1998:705,top1998,post45_topn,705,BLACK AND BLUE,Anna Quindlen,1998,1998-02-15,,37044050.0,2,20
top1999:2095,top1999,post45_topn,2095,HANNIBAL,Thomas Harris,1999,1999-06-27,038529929X,41315462.0,1,18
top1999:5256,top1999,post45_topn,5256,THE GIRL WHO LOVED TOM GORDON,Stephen King,1999,1999-04-25,0684867621,40948415.0,1,18
top1999:6870,top1999,post45_topn,6870,TIMELINE,Michael Crichton,1999,1999-12-05,,39348527.0,4,17
top1999:2144,top1999,post45_topn,2144,HEARTS IN ATLANTIS,Stephen King,1999,1999-10-03,0684853515,41266031.0,4,16
top2000:5605,top2000,post45_topn,5605,THE LAST PRECINCT,Patricia Cornwell,2000,2000-11-05,0399146253,44683434.0,1,14
top2000:5666,top2000,post45_topn,5666,THE LION'S GAME,Nelson DeMille,2000,2000-01-23,0446520659,42719934.0,3,14
top2001:916,top2001,post45_topn,916,CANE RIVER,Lalita Tademy,2001,2001-07-08,,44683424.0,2,17
top2001:4678,top2001,post45_topn,4678,THE BONESETTER'S DAUGHTER,Amy Tan,2001,2001-03-11,0399146431,44883576.0,2,16
top2001:28,top2001,post45_topn,28,1ST TO DIE,James Patterson,2001,2001-03-25,0316666009,44728132.0,1,13
top2002:4599,top2002,post45_topn,4599,THE BEACH HOUSE,James Patterson and Peter de Jonge,2002,2002-06-30,1586212877,49916804.0,1,14
top2002:1911,top2002,post45_topn,1911,FOUR BLIND MICE,James Patterson,2002,2002-12-08,0316693006,49719186.0,1,13
top2002:1681,top2002,post45_topn,1681,EVERYTHING'S EVENTUAL,Stephen King,2002,2002-04-07,0743235150,48876610.0,1,11
top2003:5341,top2003,post45_topn,5341,THE GUARDIAN,Nicholas Sparks,2003,2003-04-27,0446527793,51088144.0,2,14
top2003:6472,top2003,post45_topn,6472,THE TEETH OF THE TIGER,Tom Clancy,2003,2003-08-31,,52424139.0,1,13
top2003:767,top2003,post45_topn,767,BLOW FLY,Patricia Cornwell,2003,2003-11-02,,52891481.0,1,13
top2003:1206,top2003,post45_topn,1206,CROSSROADS OF TWILIGHT,Robert Jordan,2003,2003-01-26,0312864590,51304280.0,1,12
top2004:664,top2004,post45_topn,664,BERGDORF BLONDES,Plum Sykes,2004,2004-04-25,,54997444.0,7,14
top2004:1998,top2004,post45_topn,1998,GLORIOUS APPEARING,Tim LaHaye and Jerry B. Jenkins,2004,2004-04-18,,,1,12
top2004:3908,top2004,post45_topn,3908,SAM'S LETTERS TO JENNIFER,James Patterson,2004,2004-07-18,0316710571,56794435.0,1,12
top2005:4729,top2005,post45_topn,4729,THE BROKER,John Grisham,2005,2005-01-30,0385510454,57236073.0,1,14
top2005:3593,top2005,post45_topn,3593,PREDATOR,Patricia Cornwell,2005,2005-11-13,0399152830,61200772.0,1,12
top2005:4751,top2005,post45_topn,4751,THE CAMEL CLUB,David Baldacci,2005,2005-11-13,0446577383,60557367.0,3,12
top2005:1045,top2005,post45_topn,1045,CHRIST THE LORD: OUT OF EGYPT,Anne Rice,2005,2005-11-20,0375412018,58843312.0,4,12
top2006:7186,top2006,post45_topn,7186,WATER FOR ELEPHANTS,Sara Gruen,2006,2006-06-25,,61362217.0,7,12
top2006:4505,top2006,post45_topn,4505,THE 5TH HORSEMAN,James Patterson and Maxine Paetro,2006,2006-03-05,,,1,11
top2006:2519,top2006,post45_topn,2519,JUDGE & JURY,James Patterson and Andrew Gross,2006,2006-08-20,,,1,10
top2007:1506,top2007,post45_topn,1506,DOUBLE CROSS,James Patterson,2007,2007-12-02,9780316015059,128237623.0,1,12
top2007:4327,top2007,post45_topn,4327,STONE COLD,David Baldacci,2007,2007-11-25,9780446577397,153772808.0,1,12
top2007:6087,top2007,post45_topn,6087,THE QUICKIE,James Patterson and Michael Ledwidge,2007,2007-07-22,,,1,12
top2007:4316,top2007,post45_topn,4316,STEP ON A CRACK,James Patterson and Michael Ledwidge,2007,2007-02-25,9780316013949,731391457.0,1,11
top2008:4835,top2008,post45_topn,4835,THE CHRISTMAS SWEATER,Glenn Beck with Kevin Balfe and Jason Wright,2008,2008-11-30,,,1,13
top2008:1198,top2008,post45_topn,1198,CROSS COUNTRY,James Patterson,2008,2008-12-07,9780316018722,225870340.0,1,11
top2008:3947,top2008,post45_topn,3947,SCARPETTA,Patricia Cornwell,2008,2008-12-21,0399152199,55044519.0,1,11
top2009:4576,top2009,post45_topn,4576,THE ASSOCIATE,John Grisham,2009,2009-02-15,9780385517836,232980206.0,1,14
top2009:2340,top2009,post45_topn,2340,"I, ALEX CROSS",James Patterson,2009,2009-12-06,0316159794,67375102.0,1,13
top2009:3665,top2009,post45_topn,3665,PURSUIT OF HONOR,Vince Flynn,2009,2009-11-01,9781416595168,456977533.0,2,10
top2009:4045,top2009,post45_topn,4045,SHANGHAI GIRLS,Lisa See,2009,2009-06-14,9781400067114,276228926.0,4,10
top2010:4272,top2010,post45_topn,4272,SQUIRREL SEEKS CHIPMUNK,David Sedaris,2010,2010-10-17,9780316038393,548642157.0,5,13
top2010:1335,top2010,post45_topn,1335,DEAD OR ALIVE,Tom Clancy with Grant Blackwood,2010,2010-12-26,,,1,12
top2010:1199,top2010,post45_topn,1199,CROSS FIRE,James Patterson,2010,2010-12-05,9780316036177,490809825.0,1,10
top2010:1330,top2010,post45_topn,1330,DEAD IN THE FAMILY,Charlaine Harris,2010,2010-05-23,9780441018642,457151413.0,1,10
top2011:4311,top2011,post45_topn,4311,STATE OF WONDER,Ann Patchett,2011,2011-06-26,0062049801,649701863.0,3,15
top2011:5571,top2011,post45_topn,5571,THE LAND OF PAINTED CAVES,Jean M. Auel,2011,2011-04-17,9780517580516,636565825.0,1,11
top2011:1336,top2011,post45_topn,1336,DEAD RECKONING,Charlaine Harris,2011,2011-05-22,9780441020317,679931000.0,1,10
top2011:2552,top2011,post45_topn,2552,KILL ALEX CROSS,James Patterson,2011,2011-12-04,9780316198738,707967708.0,1,9
top2012:5475,top2012,post45_topn,5475,THE INNOCENT,David Baldacci,2012,2012-05-06,9780446572996,756585752.0,1,12
top2012:1202,top2012,post45_topn,1202,CROSS ROADS,Wm. Paul Young,2012,2012-12-02,,,6,11
top2012:2555,top2012,post45_topn,2555,KILL SHOT,Vince Flynn,2012,2012-02-26,9781416595205,747819325.0,1,10
top2013:5695,top2013,post45_topn,5695,THE LONGEST RIDE,Nicholas Sparks,2013,2013-10-06,9781455520657,829744527.0,1,16
top2013:5154,top2013,post45_topn,5154,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,2013,2013-12-01,0062294377,851566394.0,1,15
top2013:4914,top2013,post45_topn,4914,THE CUCKOO'S CALLING,Robert Galbraith,2013,2013-08-04,9780316206846,819383765.0,1,11
top2014:4204,top2014,post45_topn,4204,SOMEWHERE SAFE WITH SOMEBODY GOOD,Jan Karon,2014,2014-09-21,9780399167447,870098164.0,2,15
top2014:5071,top2014,post45_topn,5071,THE ESCAPE,David Baldacci,2014,2014-12-07,9781455521197,872420678.0,1,13
top2014:4696,top2014,post45_topn,4696,THE BOSTON GIRL,Anita Diamant,2014,2014-12-28,1439199353,884882199.0,6,12
top2014:2250,top2014,post45_topn,2250,HOPE TO DIE,James Patterson,2014,2014-12-14,9780316210966,872420262.0,1,11
top2015:3992,top2015,post45_topn,3992,SEE ME,Nicholas Sparks,2015,2015-11-01,9781455520619,907096993.0,1,18
top2015:234,top2015,post45_topn,234,A SPOOL OF BLUE THREAD,Anne Tyler,2015,2015-03-01,9781101874271,897346174.0,3,13
top2015:4598,top2015,post45_topn,4598,THE BAZAAR OF BAD DREAMS,Stephen King,2015,2015-11-22,9781501111679,911135109.0,1,11
top2015:5250,top2015,post45_topn,5250,THE GIRL IN THE SPIDER'S WEB,David Lagercrantz,2015,2015-09-27,9780385354288,922639657.0,2,11
