sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top1996:293,top1996,post45_topn,293,ABSOLUTE POWER,David Baldacci,1996,1996-02-11,0446519960,32665645.0,2,17
top1996:1431,top1996,post45_topn,1431,DESPERATION,Stephen King,1996,1996-10-13,9780670868360,34618058.0,1,15
top1996:5634,top1996,post45_topn,5634,THE LAWS OF OUR FATHERS,Scott Turow,1996,1996-11-03,0374184232,34590928.0,2,14
top1996:6117,top1996,post45_topn,6117,THE REGULATORS,Richard Bachman,1996,1996-10-13,0525941908,34771979.0,2,14
top1996:2330,top1996,post45_topn,2330,I WAS AMELIA EARHART,Jane Mendelsohn,1996,1996-05-12,0679450548,34079054.0,6,14
top1997:6712,top1997,post45_topn,6712,THE WINNER,David Baldacci,1997,1997-12-21,,37513081.0,2,14
top1997:957,top1997,post45_topn,957,CAT & MOUSE,James Patterson,1997,1997-11-23,,,2,14
top1997:64,top1997,post45_topn,64,A CERTAIN JUSTICE,P. D. James,1997,1997-12-14,,37475194.0,3,14
top1997:5238,top1997,post45_topn,5238,THE GHOST,Danielle Steel,1997,1997-11-23,038531695X,37179626.0,1,13
top1997:7070,top1997,post45_topn,7070,UNNATURAL EXPOSURE,Patricia Cornwell,1997,1997-08-03,,35262491.0,1,13
top1998:156,top1998,post45_topn,156,A MAN IN FULL,Tom Wolfe,1998,1998-11-22,0374270325,39339625.0,1,19
top1998:2322,top1998,post45_topn,2322,I KNOW THIS MUCH IS TRUE,Wally Lamb,1998,1998-07-05,0060391626,39465167.0,1,19
top2000:3866,top2000,post45_topn,3866,ROSES ARE RED,James Patterson,2000,2000-12-10,0316693251,43641257.0,2,13
top2000:1965,top2000,post45_topn,1965,GAP CREEK,Robert Morgan,2000,2000-02-06,1565122429,41488832.0,4,13
top2000:5435,top2000,post45_topn,5435,THE HOUSE ON HOPE STREET,Danielle Steel,2000,2000-07-16,0385333064,43540488.0,1,11
top2000:7326,top2000,post45_topn,7326,WINTER SOLSTICE,Rosamunde Pilcher,2000,2000-08-20,,44039870.0,1,11
top2001:7137,top2001,post45_topn,7137,VIOLETS ARE BLUE,James Patterson,2001,2001-12-09,,46976631.0,2,13
top2001:567,top2001,post45_topn,567,BACK WHEN WE WERE GROWNUPS,Anne Tyler,2001,2001-05-20,0375412530,47965249.0,3,13
top2001:5621,top2001,post45_topn,5621,THE LAST TIME THEY MET,Anita Shreve,2001,2001-04-15,0316781142,45387456.0,8,13
top2002:1936,top2002,post45_topn,1936,FROM A BUICK 8,Stephen King,2002,2002-10-13,0743211375,48397452.0,1,11
top2002:3237,top2002,post45_topn,3237,NIGHTS IN RODANTHE,Nicholas Sparks,2002,2002-10-06,0446531332,49576256.0,1,11
top2003:509,top2003,post45_topn,509,ARMAGEDDON,Tim LaHaye and Jerry B. Jenkins,2003,2003-04-27,,,1,12
top2003:5567,top2003,post45_topn,5567,THE LAKE HOUSE,James Patterson,2003,2003-06-29,0316603287,50913549.0,1,10
top2004:4540,top2004,post45_topn,4540,THE AMATEUR MARRIAGE,Anne Tyler,2004,2004-01-25,1400042070,52729037.0,4,12
top2004:2747,top2004,post45_topn,2747,LONDON BRIDGES,James Patterson,2004,2004-11-28,9780316710596,56012146.0,1,11
top2004:4133,top2004,post45_topn,4133,SKINNY DIP,Carl Hiaasen,2004,2004-08-01,0375411089,54349637.0,2,11
top2005:39,top2005,post45_topn,39,4TH OF JULY,James Patterson and Maxine Paetro,2005,2005-05-22,,,1,11
top2005:7423,top2005,post45_topn,7423,“S” IS FOR SILENCE,Sue Grafton,2005,2005-12-25,,60550855.0,1,11
top2006:3202,top2006,post45_topn,3202,NEXT,Michael Crichton,2006,2006-12-17,0060872985,73503259.0,2,10
top2006:7290,top2006,post45_topn,7290,WILD FIRE,Nelson DeMille,2006,2006-11-26,,70291934.0,2,10
top2006:4670,top2006,post45_topn,4670,THE BOLEYN INHERITANCE,Philippa Gregory,2006,2006-12-24,0743272501,71810153.0,10,10
top2006:5450,top2006,post45_topn,5450,THE HUSBAND,Dean Koontz,2006,2006-06-18,0553804790,67392945.0,1,9
top2006:7028,top2006,post45_topn,7028,TWO LITTLE GIRLS IN BLUE,Mary Higgins Clark,2006,2006-04-23,,63297986.0,1,9
top2007:4507,top2007,post45_topn,4507,THE 6TH TARGET,James Patterson and Maxine Paetro,2007,2007-05-27,,,1,11
top2007:4699,top2007,post45_topn,4699,THE BOURNE BETRAYAL,Eric Van Lustbader,2007,2007-06-24,9780446580373,81861474.0,8,11
top2007:805,top2007,post45_topn,805,BOOK OF THE DEAD,Patricia Cornwell,2007,2007-11-11,,155126690.0,1,10
top2008:1017,top2008,post45_topn,1017,CHASING HARRY WINSTON,Lauren Weisberger,2008,2008-06-15,9780743290111,191933817.0,4,11
top2008:164,top2008,post45_topn,164,A MERCY,Toni Morrison,2008,2008-11-30,9780307264237,212855125.0,5,11
top2009:1835,top2009,post45_topn,1835,FIRST FAMILY,David Baldacci,2009,2009-05-10,9780446539753,297206848.0,1,9
top2009:1890,top2009,post45_topn,1890,FORD COUNTY,John Grisham,2009,2009-11-22,9780385532457,317926293.0,1,9
top2009:4223,top2009,post45_topn,4223,SOUTH OF BROAD,Pat Conroy,2009,2009-08-30,9780385413053,264669827.0,1,9
top2009:7053,top2009,post45_topn,7053,UNDER THE DOME,Stephen King,2009,2009-11-29,,310397784.0,1,9
top2010:2158,top2010,post45_topn,2158,HELL'S CORNER,David Baldacci,2010,2010-11-28,9780446195522,606759822.0,1,10
top2010:2284,top2010,post45_topn,2284,HOUSE RULES,Jodi Picoult,2010,2010-03-21,9780743296434,423388522.0,1,9
top2011:3309,top2011,post45_topn,3309,NOW YOU SEE HER,James Patterson and Michael Ledwidge,2011,2011-07-17,,,1,9
top2011:5131,top2011,post45_topn,5131,THE FIFTH WITNESS,Michael Connelly,2011,2011-04-24,9780316069359,668192488.0,1,9
top2012:5180,top2012,post45_topn,5180,THE FORGOTTEN,David Baldacci,2012,2012-12-09,9780446573054,794361680.0,2,10
top2013:5912,top2013,post45_topn,5912,THE OCEAN AT THE END OF THE LANE,Neil Gaiman,2013,2013-07-07,9780062255655,813286810.0,1,10
top2013:4475,top2013,post45_topn,4475,TENTH OF DECEMBER,George Saunders,2013,2013-01-27,9780812993806,785558855.0,2,10
top2013:1127,top2013,post45_topn,1127,COMMAND AUTHORITY,Tom Clancy with Mark Greaney,2013,2013-12-22,,,1,9
top2013:1201,top2013,post45_topn,1201,CROSS MY HEART,James Patterson,2013,2013-12-15,9780316210911,827082618.0,1,9
