sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top1996:2012,top1996,post45_topn,2012,GODS AND GENERALS,Jeff Shaara,1996,1996-06-30,0345404920,34080227.0,9,13
top1996:2436,top1996,post45_topn,2436,INTENSITY,Dean Koontz,1996,1996-01-21,067942525X,33078930.0,1,12
top1996:967,top1996,post45_topn,967,CAUSE OF DEATH,Patricia Cornwell,1996,1996-07-21,,33079081.0,1,12
top1997:7138,top1997,post45_topn,7138,VIOLIN,Anne Rice,1997,1997-11-02,,35360666.0,2,13
top1997:5778,top1997,post45_topn,5778,THE MATARESE COUNTDOWN,Robert Ludlum,1997,1997-11-02,0553106678,37260848.0,3,13
top1997:1762,top1997,post45_topn,1762,FAT TUESDAY,Sandra Brown,1997,1997-06-29,0446516325,36343448.0,2,12
top2000:4665,top2000,post45_topn,4665,THE BLUEST EYE,Toni Morrison,2000,2000-05-14,9780452282193,30110136.0,3,11
top2000:1600,top2000,post45_topn,1600,EASY PREY,John Sandford,2000,2000-05-28,039914613X,43445655.0,1,10
top2001:1425,top2001,post45_topn,1425,DESECRATION,Tim LaHaye and Jerry B. Jenkins,2001,2001-11-18,,,1,12
top2001:3367,top2001,post45_topn,3367,ON THE STREET WHERE YOU LIVE,Mary Higgins Clark,2001,2001-05-06,0743206029,45751658.0,1,12
top2002:6281,top2002,post45_topn,6281,THE SHELTERS OF STONE,Jean M. Auel,2002,2002-05-19,0609610597,48892350.0,1,11
top2002:5048,top2002,post45_topn,5048,THE EMPEROR OF OCEAN PARK,Stephen L. Carter,2002,2002-06-23,9780375413636,47221835.0,3,11
top2003:4623,top2003,post45_topn,4623,THE BIG BAD WOLF,James Patterson,2003,2003-12-07,0316602906,52478614.0,2,10
top2003:4054,top2003,post45_topn,4054,SHEPHERDS ABIDING,Jan Karon,2003,2003-11-09,0670031208,54778276.0,4,10
top2004:211,top2004,post45_topn,211,A SALTY PIECE OF LAND,Jimmy Buffett,2004,2004-12-19,0316908452,56600851.0,3,11
top2005:3787,top2005,post45_topn,3787,REVENGE OF THE SITH,Matthew Stover,2005,2005-04-17,0345428838,57186397.0,2,10
top2005:2241,top2005,post45_topn,2241,HONEYMOON,James Patterson and Howard Roughan,2005,2005-03-06,0739449672,57474753.0,1,9
top2005:2603,top2005,post45_topn,2603,KNIFE OF DREAMS,Robert Jordan,2005,2005-10-30,0312873077,60742113.0,1,8
top2006:978,top2006,post45_topn,978,CELL,Stephen King,2006,2006-02-12,,62712711.0,1,9
top2006:6800,top2006,post45_topn,6800,THIRTEEN MOONS,Charles Frazier,2006,2006-10-22,,74270968.0,2,9
top2006:913,top2006,post45_topn,913,CAN'T WAIT TO GET TO HEAVEN,Fannie Flagg,2006,2006-07-23,,69680148.0,3,9
top2007:3544,top2007,post45_topn,3544,PLUM LOVIN’,Janet Evanovich,2007,2007-02-04,9780312306342,76864675.0,1,9
top2009:3884,top2009,post45_topn,3884,RUN FOR YOUR LIFE,James Patterson and Michael Ledwidge,2009,2009-02-22,9780316018746,972127851.0,2,9
top2009:6983,top2009,post45_topn,6983,TRUE BLUE,David Baldacci,2009,2009-11-15,,351329621.0,3,9
top2011:26,top2011,post45_topn,26,1Q84,Haruki Murakami,2011,2011-11-13,9780307593313,701017688.0,2,9
top2013:275,top2013,post45_topn,275,A WEEK IN WINTER,Maeve Binchy,2013,2013-03-03,9780307273574,818292968.0,1,9
top2013:5397,top2013,post45_topn,5397,THE HIT,David Baldacci,2013,2013-05-12,9781455521210,828921079.0,1,9
