sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top1996:6484,top1996,post45_topn,6484,THE TENTH INSIGHT,James Redfield,1996,1996-05-12,,34348857.0,2,24
top1996:349,top1996,post45_topn,349,AIRFRAME,Michael Crichton,1996,1996-12-22,0679446486,35723547.0,1,17
top1997:2746,top1997,post45_topn,2746,LONDON,Edward Rutherfurd,1997,1997-06-08,0517591812,36528386.0,5,18
top1998:582,top1998,post45_topn,582,BAG OF BONES,Stephen King,1998,1998-10-11,0684853507,39069511.0,1,20
top1998:276,top1998,post45_topn,276,A WIDOW FOR ONE YEAR,John Irving,1998,1998-05-17,0375501371,37955786.0,1,20
top1999:7269,top1999,post45_topn,7269,WHITE OLEANDER,Janet Fitch,1999,1999-05-23,,40460011.0,2,18
top2000:4071,top2000,post45_topn,4071,SHOPGIRL,Steve Martin,2000,2000-10-29,0786866586,43864358.0,4,15
top2000:6124,top2000,post45_topn,6124,THE RESCUE,Nicholas Sparks,2000,2000-10-08,0446525502,43985509.0,1,14
top2001:1543,top2001,post45_topn,1543,DREAMCATCHER,Stephen King,2001,2001-04-08,0743211383,45558901.0,1,15
top2002:2697,top2002,post45_topn,2697,LIFE OF PI,Yann Martel,2002,2002-12-29,0151008116,47893052.0,10,12
top2002:543,top2002,post45_topn,543,ATONEMENT,Ian McEwan,2002,2002-03-31,0385503954,47665315.0,4,14
top2003:6664,top2003,post45_topn,6664,THE WEDDING,Nicholas Sparks,2003,2003-09-28,,52218692.0,2,13
top2004:4310,top2004,post45_topn,4310,STATE OF FEAR,Michael Crichton,2004,2004-12-26,0066214130,59011544.0,2,13
top2004:5499,top2004,post45_topn,5499,THE JANE AUSTEN BOOK CLUB,Karen Joy Fowler,2004,2004-05-23,0399151613,52574555.0,7,13
top2005:4206,top2005,post45_topn,4206,SON OF A WITCH,Gregory Maguire,2005,2005-10-16,0060548932,60359529.0,2,14
top2006:1357,top2006,post45_topn,1357,DEAR JOHN,Nicholas Sparks,2006,2006-11-26,0446528056,70167742.0,1,11
top2006:7008,top2006,post45_topn,7008,TWELVE SHARP,Janet Evanovich,2006,2006-07-09,,70078334.0,1,10
top2007:4821,top2007,post45_topn,4821,THE CHILDREN OF HÚRIN,J. R. R. Tolkien,2007,2007-05-06,9780618894642,78790549.0,1,13
top2008:5420,top2008,post45_topn,5420,THE HOUR I FIRST BELIEVED,Wally Lamb,2008,2008-11-30,9780060393496,213854514.0,4,12
top2008:2818,top2008,post45_topn,2818,LOVE THE ONE YOU’RE WITH,Emily Giffin,2008,2008-06-01,,,2,14
top2009:2091,top2009,post45_topn,2091,HANDLE WITH CARE,Jodi Picoult,2009,2009-03-22,9780743296410,232979134.0,1,10
top2010:3859,top2010,post45_topn,3859,ROOM,Emma Donoghue,2010,2010-10-03,9780316098335,542263633.0,8,18
top2010:1728,top2010,post45_topn,1728,FALL OF GIANTS,Ken Follett,2010,2010-10-17,9780525951650,462899076.0,1,14
top2011:1365,top2011,post45_topn,1365,DEATH COMES TO PEMBERLEY,P. D. James,2011,2011-12-25,9780307959850,769623772.0,3,13
top2012:6166,top2012,post45_topn,6166,THE ROUND HOUSE,Louise Erdrich,2012,2012-10-21,9780062065247,778314690.0,12,12
top2012:7323,top2012,post45_topn,7323,WINTER OF THE WORLD,Ken Follett,2012,2012-10-07,,757471420.0,1,14
top2013:1483,top2013,post45_topn,1483,DOCTOR SLEEP,Stephen King,2013,2013-10-13,1476727651,793575424.0,1,21
top2014:2662,top2014,post45_topn,2662,LEAVING TIME,Jodi Picoult,2014,2014-11-02,9780345544926,884139270.0,1,12
top2014:1609,top2014,post45_topn,1609,EDGE OF ETERNITY,Ken Follett,2014,2014-10-05,9780525953098,860755389.0,1,15
top2015:2844,top2015,post45_topn,2844,LUCKIEST GIRL ALIVE,Jessica Knoll,2015,2015-05-31,9781476789637,883147884.0,7,16
