sample_id,quote_id,quote_text
top2017:72,q01637,"When a man is certain that he knows God’s will, and is resolved to do it regardless of the cost, he is the most dangerous person in the world."
top2017:72,q01638,Trials rarely found men not guilty. The general view was that if a man were innocent he would not have got into trouble in the first place.
top2017:72,q01639,"Changing your beliefs with every change of monarch was called “policy,” and people who did it were “politicians."
top2017:72,q01640,"After all, if you can't kill a man in front of God's face you probably shouldn't kill him at all."
top2017:72,q01641,"there are no saints in politics, but imperfect people can make the world a better place."
top2017:72,q01642,I will marry a man who is clever and thoughtful and who wants his wife to be more than just the most senior of his servants.
top2017:72,q01643,"I may yet go through anguish in hell for my sin. But if I had to live that time again I would do the same, to end Margery’s ordeal. I preferred to suffer myself than to know that her agony continued. Her well-being was more important to me than my own. I have learned, during the course of a long life, that that is the meaning of love."
top2017:72,q01644,"Some men craved deference; others craved wine, or the bodies of beautiful women, or the monastic life of order and obedience. What did Ned crave? The answer came into his mind with a speed and effortlessness that took him by surprise: justice."
top2017:72,q01645,My father taught us to learn as much as possible of any tongue we came across. He says it’s better than money in the bank.
top2017:72,q01646,The simple idea that people should be allowed to worship as they wished caused more suffering than the ten plagues of Egypt.
top2017:72,q01647,"Our work isn’t finished.” “Perhaps it never will be, until the Last Trump.” “All the more reason to carry on."
top2017:72,q01648,"I learned the meaning of the word bittersweet, the acid taste of loss and the honey of hope in one bright fruit."
top2017:72,q01649,"Justice was done. Swithin was a murderer and a rapist who deserved to die. But I found that my conscience was not untroubled. I had lured him into an ambush. In a way the death of poor George Cox was my responsibility. I had meddled in things that should have been left to the law or, failing that, to God. I may yet go through anguish in hell for my sin. But if I had to live that time again I would do the same,"
top2017:72,q01650,His mind was like a house he had spent his life furnishing.
top2017:72,q01651,"Alison was relieved: she would have hated to see Mary lose her dignity as well as her life. “Follow me,” said the sheriff. Mary turned back momentarily and took an ivory crucifix from its hook on the wall over the altar. With the cross pressed to her heavy bosom and the prayer book in her other hand she walked behind the sheriff, and Alison followed."
top2017:72,q01652,"A child will always be what he is, she thought, and not what you want him to be."
top2017:72,q01653,"They demanded tolerance, and the right to worship as they wished, but they were never satisfied with that, he thought with exasperation. They believed their rivals were not just mistaken but evil. Catholic practices—the ways in which Europeans had worshipped for hundreds of years—were blasphemous, they said, and must be abolished. They did not practice the tolerance they preached."
top2017:72,q01654,"he thinks the aldermen’s job is to make decisions and then enforce them. When your father was mayor he said that aldermen should rule the town by serving it.” Ned said impatiently: “That sounds like two ways of looking at the same thing.” “It’s not, though,” said his mother. “It’s two different worlds."
top2017:72,q01655,You said that there are no saints in politics
top2017:72,q01656,When priests get to run the government it’s bad for business.
top2017:72,q01657,"Slavery was a major industry in West Africa. Since before anyone could remember, the kings and chieftains of the region had sold their fellow men to Arab buyers who took them to the slave markets of the Middle East. The new European traders horned in on an existing business."
top2017:72,q01658,"In the eyes of the church, the Bible was the most dangerous of all banned books—especially translated into French or English, with marginal notes explaining how certain passages proved the correctness of Protestant teaching. Priests said that ordinary people were unable to rightly interpret God’s word, and needed guidance. Protestants said the Bible opened men’s eyes to the errors of the priesthood. Both sides saw reading the Bible as the central issue of the religious conflict that had swept Europe."
