sample_id,quote_id,quote_text
top2021:THE CELLIST|Daniel Silva,q06560,"QAnon isn’t a conspiracy theory. It’s a toxic, extremist ideology that borrows heavily from anti-Semitic tropes such as the blood libel and the Protocols of the Elders of Zion. And thanks to the pandemic, it has arrived in Western Europe."
top2021:THE CELLIST|Daniel Silva,q06561,"It was the German powerhouse Deutsche Bank AG, not my fictitious RhineBank, that financed the construction of the extermination camp at Auschwitz and the nearby factory that manufactured Zyklon B pellets. And it was Deutsche Bank that earned millions of Nazi reichsmarks through the Aryanization of Jewish-owned businesses. Deutsche Bank also incurred massive multibillion-dollar fines for helping rogue nations such as Iran and Syria evade US economic sanctions; for manipulating the London interbank lending rate; for selling toxic mortgage-backed securities to unwitting investors; and for laundering untold billions’ worth of tainted Russian assets through its so-called Russian Laundromat. In 2007 and 2008, Deutsche Bank extended an unsecured $1 billion line of credit to VTB Bank, a Kremlin-controlled lender that financed the Russian intelligence services and granted cover jobs to Russian intelligence officers operating abroad. Which meant that Germany’s biggest lender, knowingly or unknowingly, was a silent partner in Vladimir Putin’s war against the West and liberal democracy. Increasingly, that war is being waged by Putin’s wealthy cronies and by privately owned companies like the Wagner Group and the Internet Research Agency, the St. Petersburg troll factory that allegedly meddled in the 2016 US presidential election. The IRA was one of three"
top2021:THE CELLIST|Daniel Silva,q06562,"Gabriel thought it was the darkest day in American history since 9/11, though somehow worse. The attack had been launched not by a distant enemy but by the occupant of the Oval Office."
top2021:THE CELLIST|Daniel Silva,q06563,The first attempted coup in the history of the United States of America had failed.
top2021:THE CELLIST|Daniel Silva,q06564,"Intentionally rude and vulgar, he took pleasure in the discomfort of others."
top2021:THE CELLIST|Daniel Silva,q06565,"The Russian president is not a statesman, Isabel. He is the godfather of a nuclear-armed gangster regime. They are not ordinary, run-of-the-mill gangsters. They are Russian gangsters, which means they are among the cruelest, most violent people on earth."
top2021:THE CELLIST|Daniel Silva,q06566,A nuclear bomb can only be dropped once. But money can be wielded every day with no fallout and no threat of mutually assured destruction.
top2021:THE CELLIST|Daniel Silva,q06567,"Steven Lee Myers, The New Tsar: The Rise and Reign of Vladimir Putin; Masha Gessen, The Man Without a Face: The Unlikely Rise of Vladimir Putin; Anders Åslund, Russia’s Crony"
top2021:THE CELLIST|Daniel Silva,q06568,the importance of art and culture in an age of conflict and uncertainty.
top2021:THE CELLIST|Daniel Silva,q06569,"She checked the time on her wristwatch—a Jaeger-LeCoultre Rendez-Vous, diamond accent, a gift from Martin—and saw that it was noon precisely."
top2021:THE CELLIST|Daniel Silva,q06570,"removal of the old varnish and surface grime using cotton wool swabs soaked with a carefully calibrated mixture of acetone, methyl proxitol, and mineral spirits."
top2021:THE CELLIST|Daniel Silva,q06571,"Martin pointed out the Mont Blanc massif, where the Planpincieux glacier was in danger of imminent collapse after several days of above-normal temperatures."
top2021:THE CELLIST|Daniel Silva,q06572,"A politically divided and destabilized America - an America drifting toward white nationalism, authoritarianism, and isolationism - will pose no challenge (...). Page 467."
top2021:THE CELLIST|Daniel Silva,q06573,Akimov had decided to throw caution to the wind and host a blowout
top2021:THE CELLIST|Daniel Silva,q06574,"if dubious figure, a look he described as dignified depravity. He was peering into his Sancerre and pretending to listen to something that Jeremy Crabbe, the director of the Old Master department at Bonhams, was murmuring excitedly into his ear."
top2021:THE CELLIST|Daniel Silva,q06575,"Two minutes after she entered the building, a light appeared in a third-floor window. A rapid check of a government property database indicated that the unit in question was owned by an Isabel Brenner, a citizen of the Federal Republic of Germany. A further check revealed that she served as a compliance officer in the Zurich office of RhineBank AG, otherwise known as the world’s dirtiest bank"
top2021:THE CELLIST|Daniel Silva,q06576,who famously dismissed the clientele of the Hôtel Grand Courchevel as “the elderly and their parents.
