sample_id,quote_id,quote_text
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05411,"This is the terrible thing about a tragedy. It isn't with you every minute. You forget it, and then you remember it again."
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05412,"He never understood that I wasn’t scared of someone leaving me, I was scared that the wrong person would stay."
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05413,This is the thing about good and evil. They aren't so far apart - and they often start from the same valiant place of wanting something to be different.
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05414,"How do you explain it when you find in someone what you’ve been waiting for your whole life? Do you call it fate? It feels lazy to call it fate. It’s more like finding your way home—where home is a place you secretly hoped for, a place you imagined, but where you’d never before been. Home. When you weren’t sure you’d ever get to have one."
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05415,"There are parts I wish didn’t exist, parts I can’t look away from now. In one way or another, this is the deal we all sign when we love someone. For better or worse. It’s the deal we have to sign again and again to keep that love. We don’t turn away from the parts of someone we don’t want to see. However quickly or long it takes to see them. We accept them if we are strong enough. Or we accept them enough to not let the bad parts become the entire story."
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05416,The could-have been boys still love you.
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05417,Most people don't want to hear the thing that will make it work better... They want to hear what will make it easier.
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05418,People don’t tend to work that way. We have our opinion and we filter information into a paradigm that supports it.
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05419,"Which is when I understand, in a flash, what I’ve been doing wrong with her—what I’ve been doing wrong in how I’ve been trying to connect with her. I thought if I were nice enough, sweet enough, she’d understand she could count on me. But that’s not how you learn you can count on someone. You learn it in the moments when everyone’s too tired to be sweet, too tired to try hard. You learn it by what they do for you then."
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05420,"Einstein said, So far as the theories of mathematics are about reality, they are not certain; so far as they are certain, they are not about reality."
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05421,"We forget all sorts of things that no one helps us remember,"
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05422,That sometimes you find your way to the place that wants you most.
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05423,"Maybe we are all fools, one way or another, when it comes to seeing the totality of the people who love us—the people we try to love."
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05424,"Sometimes your passion takes work and you shouldn't give up on it just because it isn't easy...[Owen Michaels, as quoted by daughter Bailey]"
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05425,"Watching my grandfather work taught me that not everything was fluid. There were certain things that you hit from different angles, but you never gave up on. You did the work that was needed, wherever that work took you."
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05426,You cannot make a deal with the devil and expect it to turn out okay.
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05427,It’s a terrible thing to know everything about someone long after you want to.
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05428,you fill in the blanks—with stories and memories from the people who love you.
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05429,It’s never about someone else the moment you realize it is up to you to get yourself to a better place. It’s only about figuring out how to get there.
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05430,"...there are certain things we can't erase, certain things that we reveal to the people closest to us despite what we may or may not know we are telling them.[Hannah Hall]"
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05431,"Each species of wood has its own distinctive patterns and colors, which are revealed when the bowl is turned. —Philip Moulthrop"
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05432,"problems came when I tried to fit myself into someone else’s life,"
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05433,This was something we sometimes did on days we got home late—on days we were too tired to get into the big stuff. We each picked one thing from the day to tell each other about. One good thing from our separate lives.
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05434,"I hear the crazy. She sounds crazy. Maybe that’s what happens when the bottom falls out, you lose the ability to modulate—to make your words make sense to the rest of the world."
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05435,"He raised a glass to them and said, wherever they were, he was grateful to them for not being what I needed, so he got to be the one sitting across from me."
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05436,"When the world goes quiet again, it will take everything I am not to allow the grief of his loss to level me."
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05437,"A defense attorney, at least a good defense attorney, never tries to convince anyone of anything. We do the opposite. We remind everyone you can’t know anything for sure."
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05438,"every minute. You forget it, and then you remember it again. And you see it with a stark quality: This is what is required of you now, just to get along."
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05439,"We always have a choice. That’s what Grady said too. What does that even mean? That there is a right thing to do and there is a wrong thing to do. Simple. Judgmental. And if you are the person someone is asking that question about, you have chosen wrong—as if the world is divided between the people who have never made a big mistake. And the people who have."
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05440,"Then he stands up and starts to head out, the way he came. And it’s then that he says the one thing that only he would say to me. “The could-have-been boys still love you,” Owen says. He isn’t looking at me when he says it, his voice low. The way you say hello. The way you say goodbye."
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05441,"It leaves you in the same strange place, trying to figure out how to navigate the world without the most important person watching."
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05442,"When she was a little girl, when we first got to Sausalito, she was scared to walk down the docks. I think it was because the day after we moved in, Mrs. Hahn slipped and fell and Bailey saw her almost go down, almost land in the water.” “That’s terrible!” I say. “Yeah, well, for those first couple of months, she would make me hold her hand the whole way down the docks. From our front door, all the way to the parking lot. And she’d ask as we went, Daddy, you’re going to keep me safe, right? Daddy, you’re not going to let me fall? It took us like six and a half hours to get from the front door to the car.” I laughed. “It drove me crazy. The hundredth time I had to do it, I actually think I went a little crazy.” He paused. “And you know the only thing worse than that? The day she stopped."
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05443,another small reminder how lucky I was to love him.
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05444,"But I’m left sitting here, without him, anyway. Doesn’t that make me as ridiculous as my mother is? Doesn’t it make me the same as her? Both of us putting our faith in someone else above everything else—calling it love. What good is love, if this is where it leads you?"
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05445,Time to leave the party; Time to reach for me; Time to give me room to breathe.
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05446,"As she reads, I listen to her"
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05447,(let’s go said henot too far said shewhat’s too far said hewhere you are said she)
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05448,"I have little patience with scientists who take a board of wood, look for its thinnest part, and drill a great number of holes where drilling is easy. —Albert Einstein"
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05449,Don’t Ask a Question You Don’t Want the Answer To
top2021:THE LAST THING HE TOLD ME|Laura Dave,q05450,"Gotta pick a piece of wood,” I said. “It all starts with picking a good piece of wood. If that’s no good, you have nowhere good to go.” “How"
