sample_id,quote_id,quote_text
top2021:THE MAIDENS|Alex Michaelides,q06426,"After all, everyone’s entitled to be the hero of their own story. So I must be permitted to be the hero of mine. Even though I’m not. I’m the villain."
top2021:THE MAIDENS|Alex Michaelides,q06427,Reading about life was no preparation for living it.
top2021:THE MAIDENS|Alex Michaelides,q06428,"Love isn’t conditional,” Ruth said. “It’s not dependent on jumping through hoops to please someone—and always failing. You can’t love someone if you’re afraid of them, Mariana. I know it’s hard to hear. It’s a kind of blindness—but unless you wake up and see clearly, it will persist throughout your whole life, affecting how you see yourself, and others too."
top2021:THE MAIDENS|Alex Michaelides,q06429,"Ruth always said that forgiveness could not be coerced – it was experienced spontaneously, as an act of grace, appearing only when a person was ready."
top2021:THE MAIDENS|Alex Michaelides,q06430,"That was the horror of it. We all secretly hope that tragedy will only ever happen to other people... sooner or later, it happens to you."
top2021:THE MAIDENS|Alex Michaelides,q06431,Don’t glorify the events of your life and try to give them meaning. There is no meaning. Life means nothing. Death means nothing. But she didn’t always think that way.
top2021:THE MAIDENS|Alex Michaelides,q06432,"If you’re not aware of the transcendent, if you’re not awake to the glorious mystery of life and death that you’re lucky enough to be part of—if that doesn’t fill you with joy and strike you with awe … you might as well not be alive. That’s the message of the tragedies. Participate in the wonder. For your sake (...) -live it."
top2021:THE MAIDENS|Alex Michaelides,q06433,"Once you kill another human being there is no going back… it’s a bit like being reborn, I suppose. But no ordinary birth—it’s a metamorphosis. What emerges from the ashes is not a phoenix, but an uglier creature: deformed, incapable of flight, a predator using its claws to cut and rip."
top2021:THE MAIDENS|Alex Michaelides,q06434,No one ever told me that grief felt so like fear.
top2021:THE MAIDENS|Alex Michaelides,q06435,"There was a word for this moment in Greek tragedy: anagnorisis—recognition—the moment the hero finally sees the truth and understands his fate—and how it’s always been there, the whole time, in front of him. Mariana used to wonder what that moment felt like. Now she knew."
top2021:THE MAIDENS|Alex Michaelides,q06436,"As a therapist, she knew a baby’s first sense of self comes through its parents’ gaze. We are born being watched—our parents’ expressions, what we see reflected in the mirror of their eyes, determines how we see ourselves."
top2021:THE MAIDENS|Alex Michaelides,q06437,"You’re wrong about my father,” she said. “I know he’s difficult—but he loves me. And I love him.” “No,” said Ruth firmly. “At best, let’s call it a desire to be loved. At worst, it’s a pathological attachment to a narcissistic man: a melting pot of gratitude, fear, expectation, and dutiful obedience that has nothing to do with love in the true sense of the word. You don’t love him. Nor do you know or love yourself."
top2021:THE MAIDENS|Alex Michaelides,q06438,"She sometimes felt she had been cursed, as if by some malevolent goddess in a Greek myth, to lose everyone she ever loved."
top2021:THE MAIDENS|Alex Michaelides,q06439,"Freud’s writings about grief and loss. And he argued that, following the death of a loved one, the loss had to be psychologically accepted and that person relinquished, or else you ran the risk of succumbing to pathological mourning, which he called melancholia—and we call depression."
top2021:THE MAIDENS|Alex Michaelides,q06440,"A monster with a knife was among them, unseen, prowling the streets, apparently able to strike and then melt away invisibly into the darkness … His invisibility made him into something more than human, something supernatural: a creature born from myth, a phantom.Except Mariana knew he wasn’t a phantom, or a monster. He was just a man, and he didn’t merit being mythologized; he didn’t deserve it.He deserved only—if she could summon it in her heart—pity and fear. The very qualities, according to Aristotle, that constituted catharsis in tragedy."
top2021:THE MAIDENS|Alex Michaelides,q06441,"My argument with so much of psychoanalysis is the preconception that suffering is a mistake, or a sign of weakness, or a sign even of illness. When in fact, possibly the greatest truths we know have come out of people’s suffering. —ARTHUR MILLER"
top2021:THE MAIDENS|Alex Michaelides,q06442,"she was still in love and didn’t know what to do with all this love of hers. There was so much of it, and it was so messy: leaking, spilling, tumbling out of her, like stuffing falling out of an old rag doll that was coming apart at the seams."
top2021:THE MAIDENS|Alex Michaelides,q06443,"Mariana no longer saw the world in color. Life was muted and gray and far away, behind a veil—behind a mist of sadness."
top2021:THE MAIDENS|Alex Michaelides,q06444,"It doesn’t take much to save a childhood.” A little kindness, some understanding or validation: someone to recognize and acknowledge a child’s reality—and save his sanity."
top2021:THE MAIDENS|Alex Michaelides,q06445,The most intelligent minds are often female… is that so hard to accept?
