sample_id,quote_id,quote_text
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06892,"How similar does someone have to be to you before you remember to see them, first, as human?"
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06893,"Sometimes, making the world a better place just involves creating space for the people who are already in it."
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06894,"If you want to understand something, you first need to accept the fact of your own ignorance. And then, you need to talk to people who know more than you do, people who have not just thought about the facts, but lived them."
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06895,"Being gay or straight,” says Elizabeth, “is about who you want to go tobed with. Being trans—or cis—is about who you want to go to bed as."
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06896,"Life can only be understood backwards, but it must be lived forwards. Søren Kierkegaard"
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06897,"being a woman has meant being someone who gets talked over in conversations or ignored; someone who gets judged as a body instead of as a sentient soul; someone who, no matter who you are or what you are doing, always has to be on guard, lest someone else decide that you’re going to be his victim."
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06898,"We are so lucky to have our children, even for a little while, but we take them for granted. We make the stupid assumption that as long as we are here, they will be, too, though that’s never been part of the contract."
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06899,"I don't think it's an invisible chromosome, or the inability to get pregnant, or anything else, that makes people so cruel to transgender folks. I think what they hate is difference. What they hate is that the world is complicated in ways they can't understand. People want the world to be simple."
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06900,"People want the world to be simple. But gender isn’t simple, much as some might want it to be. The fact that it’s complicated—that there’s a whole spectrum of ways of being in the world—is what makes it a blessing. Surely nature—or god, or the universe—is full of miracles and wild invention and things way beyond our understanding, no matter how hard we try. We aren’t here on earth in order to bend over backwards to resemble everybody else. We are here to be ourselves, in our gnarly brilliance”."
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06901,"People always talk about how their love for you is unconditional. Then you reveal your most private self to them, and you find out how many conditions there are in unconditional love."
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06902,"Where is the line between keeping something private, and being dishonest?"
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06903,you don’t ever recover from losing someone you love—even the ones you leave behind because you’re better off without them.
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06904,"What’s shocking to you isn’t that the justice system is flawed, Olivia. It’s that you were naïve enough to believe all this time that it wasn’t."
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06905,"there is still something about faith that I cannot let go of. I do not know what this world is, but I know that it contains miracles that I cannot explain, and the love that people have for each other is the biggest mystery of all."
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06906,"HOPE CAKES 2 tablespoons butter 8 ounces cream cheese 3 bananas 1 teaspoon vanilla 2 cups white sugar 2 eggs, refrigerated 3 cups flour ½ teaspoon baking powder ½ teaspoon baking soda ½ teaspoon salt Topping 1 tablespoon flour ⅔ cup brown sugar 1 cup butter ½ cup nuts Preheat oven to 350 degrees. Grease a big baking pan with butter. In a large bowl, mix together the butter, cream cheese, bananas, vanilla, and white sugar. Add the eggs. Add the flour, baking powder, baking soda, and salt, mixing all the while. Pour the batter into the pan. To make the topping, in a medium bowl combine flour and brown sugar, then mix in the butter and the nuts. Using a fork, gently lay the topping on the batter. Bake in oven for 40 minutes, or until an impossible thing comes true. Whichever comes first. AUTHORS’ NOTES JENNIFER FINNEY BOYLAN"
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06907,"Is it really lying if all you’re doing is keeping your mouth shut, about something that’s nobody’s business anyway?"
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06908,wonder if it would be like being forced to wear size two clothes when you are a size twelve. You wouldn’t be able to move comfortably. You’d always be aware of the fact that something pinched. There would be wardrobe malfunctions and embarrassment when you thought people were looking at you oddly. You’d be thinking constantly about taking off the outfit just so you could breathe.
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06909,"In the absence of knowledge, the mind is an amazing Tilt-A-Whirl of worst-case scenarios."
top2022:MAD HONEY|Jodi Picoult and Jennifer Finn,q06910,"It takes a dozen bees to gather enough nectar to make a teaspoon of honey, each of them alighting on roughly 2,600 flowers and flying 850 miles back and forth. A worker bee weighs little more than a breath—around 100 milligrams—but she can carry half her body weight in nectar."
