sample_id,quote_id,quote_text
top2024:CAMINO GHOSTS|John Grisham,q09098,"Bruce poured ice-cold Chablis and wanted to know all about Scotland. Steven Mahon arrived fifteen minutes late, with apologies. He had met Mercer at the bookstore but she did not remember him. He had also just reread Lovely’s book and was up to speed. “Bruce says you may want to write the story,” he said. Mercer frowned at Bruce and wanted to say, Well, Bruce, as always, has a big mouth. But she demurred with “We’ll see. It’s interesting.” “It’s fascinating,” Steven agreed. “And now the plot is getting really thick.” Mercer asked Bruce, “Do you think Lovely will talk to me? I’ll have to tell her up front that I’m a writer and I’m thinking of borrowing her story.” “I have no idea. She’s a pleasant person but very guarded. I always get the impression"
top2024:CAMINO GHOSTS|John Grisham,q09099,"Is the curse still lifted, or is it back on the island?” “I’m not sure. Why don’t you go find out?"
top2024:CAMINO GHOSTS|John Grisham,q09100,"Nothing, though, riled the island, and sold newspapers, like the gossip that yet another high-rolling developer from “down south” was gobbling up property and planning a million condos. “Down south” always meant Miami, a place famous not only for its drug traffickers but the legions of bankers and developers who laundered their money. For most Floridians, every project originating from down south was to be treated with great suspicion."
top2024:CAMINO GHOSTS|John Grisham,q09101,"Now, all the rightful owners are gone but me. Everybody else has passed. I’m the true owner of my island and it’s wrong for somebody else to say otherwise."
top2024:CAMINO GHOSTS|John Grisham,q09102,"Everyone needed a laugh and enjoyed one. Steven felt like he was on a roll and kept going, “The first step is to beat them to the courthouse and file a lawsuit to get a good title. It’s called an action to quiet a title. Legal jargon. That will start a big fight in the court and it will drag on for some time. You will be named as the plaintiff, another legal term, which means you’re the person bringing the lawsuit."
top2024:CAMINO GHOSTS|John Grisham,q09103,"Lovely was stunning. She wore a bright yellow robe that flowed almost to the floor. On her head was a tall turban-style wrap that set high and was a mix of loud colors. Her necklace was a row of large shark’s teeth. Miss Naomi was stylish too, dressed for church or some gathering, but no match for her friend. Mercer"
top2024:CAMINO GHOSTS|John Grisham,q09104,"By morning the other two were dead. Joseph ordered them cut down and dragged to the small dock hidden from the ocean. Using a boat they had confiscated from the last slave traders who’d paid a visit, they took the bodies out to sea and dumped them without ceremony. The island had no place for a white man, dead or alive."
top2024:CAMINO GHOSTS|John Grisham,q09105,"Nalla stepped forward, took the stick from Joseph, and clubbed Monk three times on the head, each blow drawing blood and painful grunts. The villagers were startled by the attack. Then she hit him again and again and he fell to the ground. Loosa, another woman from the ship, stepped forward, took the stick from Nalla, and began beating one of the other two. Nalla whispered to Joseph and explained that the men had repeatedly raped them on the ship. It was time for revenge."
top2024:CAMINO GHOSTS|John Grisham,q09106,Joseph had been captured and sold when he was seventeen years old. He came ashore in Savannah
top2024:CAMINO GHOSTS|John Grisham,q09107,"Nalla and the other women and children were fed and clothed. One of the men was Joseph, who was slightly older and seemed to command the respect of the others. He was also from the Kongo and spoke Bantu. Nalla"
top2024:CAMINO GHOSTS|John Grisham,q09108,"Just part of my job,” Bruce said with a smile. “Reading great books, drinking great wine."
top2024:CAMINO GHOSTS|John Grisham,q09109,"From 1737 to 1771, Mr. Fancher’s three ships made 228 voyages across the Atlantic and delivered about 110,000 kidnapped slaves to American markets, primarily Norfolk, Charleston, Savannah. He was considered to be the largest American slave trader and became very rich."
top2024:CAMINO GHOSTS|John Grisham,q09110,In her world survival was more important than honesty.
top2024:CAMINO GHOSTS|John Grisham,q09111,"What is discovery?” she asked. “Both sides get to poke around in the other’s case. Live depositions, written interrogatories, document swaps, the like."
top2024:CAMINO GHOSTS|John Grisham,q09112,"denied that President Jefferson had kept Ms. Hemings as his concubine, in spite of ample anecdotal evidence. DNA testing resolved the issue in 1998 when one of his descendants was genetically linked to one of hers."
