sample_id,quote_id,quote_text
top2025:NEVER FLINCH|Stephen King,q09871,"unless and until it’s used, talent is just an illusion."
top2025:NEVER FLINCH|Stephen King,q09872,"I want to close tonight by asking you to remember the words of John the Apostle. He said, ‘If any man loves the world, the love of God the Father is not in him.’ But theology as practiced by Christian fundamentalists is all about the world. Mixing religion with politics is dangerous. Not the road to Calvary but the one that leads to fascism."
top2025:NEVER FLINCH|Stephen King,q09873,"Tolliver doesn’t look at her. He keeps his eyes on Tom. Izzy isn’t surprised; when she works with a male partner, male subjects usually discount her. Women do, too."
top2025:NEVER FLINCH|Stephen King,q09874,I think the religions of the world are responsible for a shitpot of trouble.
top2025:NEVER FLINCH|Stephen King,q09875,"extreme horror is, in it's own way, merciful - it doesn't let you look ahead to the end"
top2025:NEVER FLINCH|Stephen King,q09876,"He turns the key and a chime bings, but nothing else happens. His car is dead. God is punishing him. He doesn’t believe in God, but God is punishing him nevertheless."
top2025:NEVER FLINCH|Stephen King,q09877,Nobody goes to Iowa City. At least not of their own free will.
top2025:NEVER FLINCH|Stephen King,q09878,"Two or three dozen attendees gather near the butt can by the entrance and light up, because freebasing nicotine is one of two addictions left to them, and after an hour in the basement they need that hit."
top2025:NEVER FLINCH|Stephen King,q09879,that popcorn is just an excuse to eat butter.
top2025:NEVER FLINCH|Stephen King,q09880,Also because it’s her. Holly.” Jerome nods. “Got that right.” He smiles and holds a fist out over the table. “Always Holly.” John bumps knuckles with him and repeats it. “Always Holly.
top2025:NEVER FLINCH|Stephen King,q09881,"He’s dangerous because he thinks he’s sane.” She pauses. “To belabor something else that’s obvious, he’s not."
top2025:NEVER FLINCH|Stephen King,q09882,"Oh. Is that all.” Holly waves it away, and then says something so much a part of her that it seems neither ridiculously overmodest nor in the slightest extraordinary. “I don’t care about credit, I just like to find answers."
top2025:NEVER FLINCH|Stephen King,q09883,The bastards don’t get to win.
top2025:NEVER FLINCH|Stephen King,q09884,"The really dangerous ones, the ones who are crazy and not crazy at the same time, they give me nightmares."
top2025:NEVER FLINCH|Stephen King,q09885,deeply religious people in every sect or faith can always find justification for what they want to do in one holy book or another. Deacon
top2025:NEVER FLINCH|Stephen King,q09886,"It’s not courage she lacks, it’s the fundamental self-worth necessary to call someone out on their hurtful behavior."
top2025:NEVER FLINCH|Stephen King,q09887,this is just another human being. A fellow rider on the journey from cradle to coffin.
top2025:NEVER FLINCH|Stephen King,q09888,They also serve who only stand and wait.
top2025:NEVER FLINCH|Stephen King,q09889,"Matthew, chapter 19, verse 12: For there are some eunuchs, which were so born from their mother’s womb: and there are some eunuchs, which were made eunuchs of men: and there be eunuchs, which have made themselves eunuchs for the kingdom of heaven’s sake. He that is able to receive it, let him receive"
top2025:NEVER FLINCH|Stephen King,q09890,"Straight Circle is, in fact, the Church of the Crashed and Burned."
top2025:NEVER FLINCH|Stephen King,q09891,"A lady’s name should be in the newspaper only three times—birth, marriage, death."
top2025:NEVER FLINCH|Stephen King,q09892,"Exodus 21:22” Holly says. She opens her iPad and reads. “ ‘If men strive, and hurt a woman with child, so that her fruit depart from her, and yet no mischief follow: he shall be surely punished, according as the woman’s husband will lay upon him; and he shall pay as the judges determine.’"
top2025:NEVER FLINCH|Stephen King,q09893,"This isn’t the country I grew up in, it’s Funhouse America now."
