sample_id,quote_id,quote_text
top2025:THE EMPEROR OF GLADNESS|Ocean Vuong,q10203,"Because to remember is to fill the present with the past, which meant that the cost of remembering anything, anything at all, is life itself. We murder ourselves, he thought, by remembering"
top2025:THE EMPEROR OF GLADNESS|Ocean Vuong,q10204,"The hardest thing in the world is to live only once. But it’s beautiful here, even the ghosts agree."
top2025:THE EMPEROR OF GLADNESS|Ocean Vuong,q10205,"Okay.” Hai nodded, but his mind was somewhere else. “Hey. Do you think a life you can’t remember is still a good life?” The question sounded almost silly aloud. “I mean, like—” “Yes,” said Sony. “Why’s that?” “Because someone else will remember it."
top2025:THE EMPEROR OF GLADNESS|Ocean Vuong,q10206,"To be alive and try to be a decent person, and not turn into anything big or grand, that's the hardest thing of all. You think being president is hard? Ha. Don't you see that every president becomes a millionaire after he leaves office? If you can be nobody, and stand on your own two feet for as long as I have, that's enough. Look at my girl, all that talent and for what, just to drown in Bud Light?"" [...] ""People don't know what's enough, Labas. That's their problem. They think they suffer, but they're really just bored. They don't eat enough carrots."
top2025:THE EMPEROR OF GLADNESS|Ocean Vuong,q10207,"You see, carrots become bright orange because it’s so dark in the ground. They make their own light because the sun never reaches that far—like those fish in the ocean who glow from nothing? So when you eat it, you take in the carrot’s will to go upward. To heaven."
top2025:THE EMPEROR OF GLADNESS|Ocean Vuong,q10208,"Words cast spells. You should know this as a writer. That's why it's called spelling, Labas."
top2025:THE EMPEROR OF GLADNESS|Ocean Vuong,q10209,"Somebody goes ahead and dies and all of a sudden you become a box for them, he thought, you store these things that no one has ever seen and you go on living like that, your head a coffin to keep memories of the dead alive. But what do you do with that kind of box? Where do you put it down?"
top2025:THE EMPEROR OF GLADNESS|Ocean Vuong,q10210,"How strange to feel something so close to mercy, whatever that was, and stranger still that it should be found in here of all places, at the end of a road of ruined houses by a toxic river. That among a pile of salvaged trash, he would come closest to all he ever wanted to be: a consciousness sitting under a light-bulb reading his days away, warm and alone, alone and yet, somehow, still somebody's son."
top2025:THE EMPEROR OF GLADNESS|Ocean Vuong,q10211,He wanted too much of one feeling—and I guess his heart gave out because of it. I don’tthink we’re made to hold too much of any one thing.
top2025:THE EMPEROR OF GLADNESS|Ocean Vuong,q10212,"You say I'm so smart, right? Cause I went to college and all that? Then listen to me."" He put both hands on Sony's shoulders. ""Most people are soft and scared. They're fucking mushy. We are a mushy species. You talk to anybody for more than half an hour and you realize everything they do is a sham to keep themselves from falling apart. From prison guards to teachers, to managers, psychiatrists, even fathers, anybody - even your stupid generals. People put on this facade of strength. They act like they have a purpose and a mission and their whole life is supposed to lead to this grand fucking thesis of who they are."
