sample_id,quote_id,quote_text
top2025:THE INTRUDER|Freida McFadden,q09974,"Everyone’s brain works differently. Just because the teachers don’t explain stuff to you in a way you understand it, that doesn’t mean you’re not smart."
top2025:THE INTRUDER|Freida McFadden,q09975,"We can play any game you would like,” I offer. “What games do you know?” “Roblox. Minecraft. Fortnite."
top2025:THE INTRUDER|Freida McFadden,q09976,"And as I close the door behind us, I can’t push away the feeling that I have made a grave mistake by inviting her in."
top2025:THE INTRUDER|Freida McFadden,q09977,"I’m Ella,” I finally manage. Then I think better of it and give my full name: “Elizabeth Casey."
top2025:THE INTRUDER|Freida McFadden,q09978,"My father might be gone, but I can still learn from his life lessons."
top2025:THE INTRUDER|Freida McFadden,q09979,The only thing that seemed to make her feel better was going shopping.
top2025:THE INTRUDER|Freida McFadden,q09980,This is New England—a rainstorm is barely a blip out here.
top2025:THE INTRUDER|Freida McFadden,q09981,So why can’t I shake the feeling that something terrible is going to happen tonight?
top2025:THE INTRUDER|Freida McFadden,q09982,"I pile spaghetti and sauce onto a large plate for my guest,"
top2025:THE INTRUDER|Freida McFadden,q09983,Her wrath was aimed at another woman. Someone who resembled me in scribble form.
top2025:THE INTRUDER|Freida McFadden,q09984,"and he always talked about how one of these days, he was going to be ready for our dad."
top2025:THE INTRUDER|Freida McFadden,q09985,who would believe that such a young girl would kill her mother?
top2025:THE INTRUDER|Freida McFadden,q09986,"Once again, I have gotten away with murder."
top2025:THE INTRUDER|Freida McFadden,q09987,She is far smarter and crueler than she looks. I think of the cigarette burns on her skinny arms as well as the bruises. I took the girl for a victim when I first saw her. But now I’m starting to wonder. I’ve got to get out of here.
top2025:THE INTRUDER|Freida McFadden,q09988,Somebody is out there. There’s an intruder hiding in my toolshed
top2025:THE INTRUDER|Freida McFadden,q09989,"I don’t have as much experience with adult men being disappointed with me, because I don’t have a father. I mean, I have a father—obviously—but I’ve never met him, so he’s never had a chance to be disappointed in me."
top2025:THE INTRUDER|Freida McFadden,q09990,"I look up at the roof of my house. It will probably hold. And the tree probably won’t fall down. I probably won’t die tonight. And if I do, the good news is that nobody will miss me."
top2025:THE INTRUDER|Freida McFadden,q09991,You need to learn to relax a little. That was my goal when I moved out to this cabin in The Middle of Nowhere
top2025:THE INTRUDER|Freida McFadden,q09992,I miss my students. I would have done anything for those kids. Except that’s what got me into trouble.
