sample_id,quote_id,quote_text
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10316,Mana Toast. This is toast. It refills your mana. That’s it. Nothing more. Fuck you.
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10317,"Cats are assholes. I get it. But do you know why people like cats, despite their asshole-ness? It’s because they don’t fucking talk. If they did, and they were all like you, they’d all be extinct because we’d have killed you all by now."
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10318,"If we get to the point where we don’t help each other anymore, that’s when we stop being human."
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10319,Did we really just start a meth war between the goblins and the llamas?
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10320,"Question: What’s the only thing standing between an innocent child and a happy, fulfilling life? Answer: You. The answer is you."
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10321,"You’re not going to break me,” I said. “You might hurt me, or kill me, but you’re not going to break me."
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10322,Reward: I SAID THE GHOST OF STEVE IRWIN SMILES DOWN UPON YOU.
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10323,"Being eaten by a bugbear makes me uncomfortable, Carl. So if your boyfriend ogling your tootises keeps these easy-peasy bugs coming at us instead of more of those lava-spitting llamas, then you better buck up, get over your human male privilege, and take one for your princess."
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10324,The last time the walls shook like this was when your mom came over for a visit.
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10325,"New achievement! You’ve killed an armed mob with your bare fucking hands! Holy crap, dude. That’s kinda fucked up. Reward: You’ve received a Bronze Weapon Box!"
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10326,"Donut: CARL IT IS ANOTHER VILE MURDERER. Carl: I don’t think so, not this time. Also, I know you don’t have to type in all caps. I’ve seen you do it before. It makes you sound like you are yelling. Donut: I AM YELLING CARL."
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10327,New Achievement! You read a book! You managed to make it all the way through the first Dungeon Crawler Carl book without throwing it against the wall! Reward: You get to read the next book!
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10328,"Nor am I wearing a cloak that makes me look like I won a participation trophy at the special needs comic con, Carl. I’m a cat. Cats don’t wear pants."
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10329,"When the Black Death swept through 14th century Europe, killing upwards of 200 million people and forever altering the course of human history, one of the original culprits of the epidemic was said to be the black rat, carrying plague-infested fleas into population centers to wreak their destruction. This is, in fact, not true. The true perpetrator was actually the Asian great gerbil, who took advantage of the warmer climate to travel the silk road and bring the disease into Europe. This is only important to know because Ralph, champion pit fighter of the kobold training grounds, lives his life in a perpetual state of rage. Why? Because he feels that human death toll of 200 million is much too low, and he will do everything in his power to triple that number. Starting with you. The only survivor of a family of gerbils left to starve by a child who’d grown bored with the pets, Ralph had to commit unspeakable acts of cannibalism in order to endure. Part earth rodent, part the embodiment of death, Frenzied Gerbils are regular mobs one might encounter on the fifth or seventh floors. But Ralph here is special. He has dedicated his existence to fighting and training in hopes that one day he might exact his revenge against the humans he so despises. He is fast, he is angry,"
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10330,"So if you read this and enjoyed it, please review it. It’s against Amazon’s rules to offer a prize to those who review books, but I will risk Amazon’s wrath and offer my services to be the father of your babies if you post a review."
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10331,"Bad Llama. Level 3. It’s a llama, but it’s bad. If he were human, he’d be covered in prison tattoos and would be hanging out in front of the Circle K hitting on 14-year-old girls. They might be willing to sell you something if you have good stuff to trade. You won’t want to get hit by their spit."
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10332,"Mongo shrieked with joy and began to vigorously devour the remains, filling himself up so much his stomach bulged afterward. The little dinosaur puked on the floor and then ate that, too."
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10333,"I am already one of god’s most perfect creatures, so I won’t be changing race when the opportunity arises. I was born a cat, and I will die a cat. In fact, I’m going to have to insist that Carl choose a cat race as well."
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10334,"Your creature crapped in my mother’s ashes,” Mordecai said, shaking his head. “This is so not worth it. Not worth it at all."
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10335,There was a difference between giving aid and sacrificing yourself for people you didn’t even know.
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10336,Princess Donut has named your party The Royal Court of Princess Donut. Princess Donut has changed your title to Royal Bodyguard. Princess Donut has changed her title to Grand Champion Best in Dungeon.
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10337,There are no gods here. Just those who pay for the privilege.
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10338,"You attacked and caused damage to a mob that is more than 75 levels above your own. The fact that you’re reading this suggests you’re the luckiest fucker in the dungeon. Just remember, luck goes both ways, like your mom. Reward: You’ve received a Platinum Lucky Bastard Box!"
top2025:DUNGEON CRAWLER CARL|Matt Dinniman,q10339,"If we die, I want you to know that I love you, Carl,” Donut said. “I don’t love you as much as I love Miss Beatrice, because she’s, you know, she’s my person. Or as much as I love Ferdinand. But I love you."
