sample_id,quote_id,quote_text
top2011:81,q02200,"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one."
top2011:81,q02201,"I rose too high, loved too hard, dared too much. I tried to grasp a star, overreached, and fell."
top2011:81,q02202,"Kill the boy, Jon Snow. Winter is almost upon us. Kill the boy and let the man be born."
top2011:81,q02203,"A man might befriend a wolf, even break a wolf, but no man could truly tame a wolf."
top2011:81,q02204,"Foes and false friends are all around me, Lord Davos. They infest my city like roaches, and at night I feel them crawling over me.” The fat man’s fingers coiled into a fist, and all his chins trembled. “My son Wendel came to the Twins a guest. He ate Lord Walder’s bread and salt, and hung his sword upon the wall to feast with his friends. And they murdered him. Murdered, I say, and may the Freys choke upon their fables. I drink with Jared, jape with Symond, promise Rhaegar the hand of my own beloved granddaughter…but never think that means I have forgotten. The north remembers, Lord Davos. The north remembers, and the mummer’s farce is almost done. My son is home."
top2011:81,q02205,"The strongest trees are rooted in the dark places of the earth. Darkness will be your cloak, your shield, your mother's milk. Darkness will make you strong."
top2011:81,q02206,"I am Cersei of House Lannister, a lion of the Rock, the rightful queen of these Seven Kingdoms, trueborn daughter of Tywin Lannister. And hair grows back."
top2011:81,q02207,Keep walking. If I look back I am lost.
top2011:81,q02208,Not all men were meant to dance with dragons.
top2011:81,q02209,"‎[Melisandre] ""His Grace is growing fond of you.""[Jon] ""I can tell. He only threatened to behead me twice.""Page 58"
top2011:81,q02210,"Men are men, vows are words, and words are wind."
top2011:81,q02211,"Are you a maid, Penny?"" She blushed. ""Yes. Of course. Who would have –""""Stay that way. Love is madness, and lust is poison."
top2011:81,q02212,He'll be down with the books. My old septon used to say books are dead men talking. Dead men should keep quiet is what I say. No one wants to hear a dead man's yabber.
top2011:81,q02213,"Bear Island knows no king but the King in the North, whose name is STARK."
top2011:81,q02214,"She never forgets a slight, real or imagined. She takes caution for cowardice and dissent for defiance. And she is greedy. Greedy for power, for honour, for love."
top2011:81,q02215,"Perhaps I cannot make my people good, she told herself, but I should at least try to make them a little less bad."
top2011:81,q02216,"Men's lives have meaning, not their deaths."
top2011:81,q02217,You are the blood of the dragon. You can make a hat.
top2011:81,q02218,"And what lesson can we draw from Volantene history?”“If you want to conquer the world, you best have dragons."
top2011:81,q02219,"I think life is a jape. Yours, mine, everyone's"
top2011:81,q02220,"She wants fire, and Dorne sent her mud.You could make a poultice out of mud to cool a fever. You could plant seeds in mud and grow a crop to feed your children. Mud would nourish you, where fire would only consume you, but fools and children and young girls would choose fire every time."
top2011:81,q02221,"Men live their lives trapped in an eternal present, between the mists of memory and the sea of shadow that is all we know of the days to come."
top2011:81,q02222,"Asha Greyjoy did not intend to be taken alive. She would die as she had lived, with an axe in her hand and a laugh upon her lips."
top2011:81,q02223,"The ruby at Melisandre's throat gleamed red. ""It is not those foes who curse you to your face that you must fear, but those who smile when you are looking and sharpen their knives when you turn your back. You would do well to keep your wolf close beside you. Ice, I see, and daggers in the dark. Blood frozen red and hard, and naked steel. It was very cold.""""It is always cold on the Wall.""""You think so?""""I know so, my lady.""""Then you know nothing, Jon Snow,"" she whispered."
top2011:81,q02224,"The past remains the past. We can learn from it, but we cannot change it."
top2011:81,q02225,Still ... in this world only winter is certain.
top2011:81,q02226,"I know nothing, Ygritte, he [Jon Snow] thought, and perhaps I never will."
top2011:81,q02227,"She had no time for sleep, with the weight of the world upon her shoulders. And she feared to dream. Sleep is a little death, dreams the whisperings of the Other, who would drag us all into his eternal night."
top2011:81,q02228,"So young,"" said Wyman Manderly, ""Though mayhaps this was a blessing. Had he lived he would've grown up to be a Frey."
top2011:81,q02229,"Give me priests who are fat and corrupt and cynical,(...) the sort who like to sit on soft satin cushions, nibble sweetmeats, and diddle little boys. It's the ones who believe in gods who make the trouble. (Tyrion)"
top2011:81,q02230,I am the blood of the dragon. Do not presume to teach me lessons.
top2011:81,q02231,Pissing is the least of my talents. You ought to see me shit
top2011:81,q02232,"An admiral without ships, a hand without fingers, in service of a king without a throne. Is this a knight who comes before us, or the answer to a child's riddle?"
top2011:81,q02233,"Man wants to be the king o’ the rabbits, he best wear a pair o’ floppy ears."
