sample_id,quote_id,quote_text
top2008:5343,q01688,"I don't want to be married just to be married. I can't think of anything lonelier than spending the rest of my life with someone I can't talk to, or worse, someone I can't be silent with."
top2008:5343,q01689,"That's what I love about reading: one tiny thing will interest you in a book, and that tiny thing will lead you to another book, and another bit there will lead you onto a third book. It's geometrically progressive - all with no end in sight, and for no other reason than sheer enjoyment."
top2008:5343,q01690,Reading good books ruins you for enjoying bad books.
top2008:5343,q01691,Perhaps there is some secret sort of homing instinct in books that brings them to their perfect readers. How delightful if that were true.
top2008:5343,q01692,Men are more interesting in books than they are in real life.
top2008:5343,q01693,"Have you ever noticed that when your mind is awakened or drawn to someone new, that person's name suddenly pops up everywhere you go? My friend Sophie calls it coincidence, and Mr. Simpless, my parson friend, calls it Grace. He thinks that if one cares deeply about someone or something new one throws a kind of energy out into the world, and ""fruitfulness"" is drawn in."
top2008:5343,q01694,"I love seeing the bookshops and meeting the booksellers-- booksellers really are a special breed. No one in their right mind would take up clerking in a bookstore for the salary, and no one in his right mind would want to own one-- the margin of profit is too small. So, it has to be a love of readers and reading that makes them do it-- along with first dibs on the new books."
top2008:5343,q01695,"All my life I thought that the story was over when the hero and heroine were safely engaged -- after all, what's good enough for Jane Austen ought to be good enough for anyone. But it's a lie. The story is about to begin, and every day will be a new piece of the plot."
top2008:5343,q01696,Think of it! We could have gone on longing for one another and pretending not to notice forever. This obsession with dignity can ruin your life if you let it.
top2008:5343,q01697,"Life goes on."" What nonsense, I thought, of course it doesn't. It's death that goes on."
top2008:5343,q01698,"I have gone to [this bookshop] for years, always finding the one book I wanted - and then three more I hadn’t known I wanted."
top2008:5343,q01699,We clung to books and to our friends; they reminded us that we had another part to us.
top2008:5343,q01700,Isola doesn't approve of small talk and believes in breaking the ice by stomping on it.
top2008:5343,q01701,"I sometimes think I prefer suitors in books rather than right in front of me. How awful, backward, cowardly, and mentally warped that will be if it turns out to be true."
top2008:5343,q01702,I am to cover the philosophical side of the debate and so far my only thought is that reading keeps you from going gaga.
top2008:5343,q01703,"Then I imagined a lifetime of having to cry to get him to be kind, and I went back to no again."
top2008:5343,q01704,"It was amazing to me then, and still is, that so many people who wander into bookshops don't really know what they're after--they only want to look around and hope to see a book that will strike their fancy. And then, being bright enough not to trust the publisher's blurb, they will ask the book clerk the three questions: (1) What is it about? (2) Have you read it? (3) Was it any good?"
top2008:5343,q01705,My worries travel around in my head on their well worn path
top2008:5343,q01706,"Naturally curly hair is a curse, and don't ever let anyone tell you different."
top2008:5343,q01707,"Will Thisbee gave me The Beginner's Cook-Book for Girl Guides. It was just the thing; the writer assumes you know nothing about cookery and writes useful hints - ""When adding eggs, break the shells first."
top2008:5343,q01708,"Your questions regarding that gentleman are very delicate, very subtle, very much like being smacked in the head with a mallet...it's a tuba among the flutes."
top2008:5343,q01709,"If I could have anything I wanted, I would choose story without end, and it seems I have lots of company in that."
top2008:5343,q01710,Do you arrange your books alphabetically? (I hope not.)
top2008:5343,q01711,"Treat a dog right and he'll treat you right. ... Cats is different, but I never held it against them."
top2008:5343,q01712,Humour is the best way to make the unbearable bearable.
top2008:5343,q01713,I am a grown woman-- mostly-- and I can guzzle champagne with whomever I choose.
