sample_id,quote_id,quote_text
top2008:4835,q01406,Sometimes the hardest part of the journey is believing you're worthy of the trip.
top2008:4835,q01407,Most times we're so focused on what we think we want that we can't appreciate how happy we already are. It's only when we forget about our problems and help others forget theirs that we realize how good we really have it.
top2008:4835,q01408,"When you choose the path, you choose the destination."
top2008:4835,q01409,"Everyone wants to feel loved, but when all you feel is alone it's tough to accomplish anything else."
top2008:4835,q01410,Sometimes our strengths are also our weaknesses. Sometimes to be strong you have to first be weak. You have to share your burdens; you have to lean on other people while you face your problems and yourself.
top2008:4835,q01411,Everyone needs a place where they can go to just ponder for a while. Silence is important; it's the only time you can hear the whispering of truth.
top2008:4835,q01412,"You can either complain about how hard your life is, or you can realize that only you are responsible for it."
top2008:4835,q01413,"God thank you for everything you've given us. For the time we have together. And for the miracle of Christmas. Thank you for the Atonement, the chance to start all over again. Help us to always remember who we are and to trust that we are worthy to make it through our storms. Amen>"
top2008:4835,q01414,"I collapsed to my knees and looked up at the predawn sky. ""I hate you,"" I said softly.""I love you,"" the voice whispered back."
top2008:4835,q01415,"I considered him and felt the now familiar crush of emotions weighing on me, begging me to cave in and fall into his strong arms.I pushed back with every ounce of energy I had left. Every time I trusted someone, I got hurt. Every time I let go, I was let down. Not again. I would drive them away before the left."
top2008:4835,q01416,"If you treat an animal right, they don't run away. They're not like us. They run away from people they don't trust; most times we run away from ourselves."
top2008:4835,q01417,"I wonder sometimes how many of us don't face ourselves because we are convinced that we're only worthy of only a certain level of happiness. We are limited by our imaginations and thoughts of worthiness and joy. We become comfortable in our misery because it is all we know. Or maybe it's just that we don't look for the ""real"" us because we are afraid that there isn't any real us to find."
top2008:4835,q01418,"The government,"" he told me one night, ""is there to act as a safety net, not a candy machine."
top2008:4835,q01419,"People probably ask you all the time what you want to be when you grow up, but that's the wrong question, isn't it? That is like saying this horse is a workhorse, instead of saying what she really is: good, gentle and faithful. See the difference? The 'what' doesn't matter. The question people should really ask is, WHO do you want to be when you grown up?"
top2008:4835,q01420,"I said, “Mom…” “Yes?” “Thank you for all you do for me. For how much you work and change your schedule to be with me.” “How did you know I did that?” “I just don’t say thank you enough.” She looked at me and her eyes filled. “Do you know why I do it, Eddie?” “Why?” “Because you’re my greatest joy, Eddie. You’re my joy."
top2008:4835,q01421,"You don't have to move past it, but you do have to move through it."
top2008:4835,q01422,"The world isn't against you, Eddie,"" he continued. ""You are against you. You have to realize that no one is meant to carry the load alone. We're all in this together. Once you realize that you can ask for help, your whole world will change."
